image,mask,otsu_iou,otsu_choice,multi_otsu_iou,multi_otsu_choice,adaptive_iou,adaptive_choice,chan_vese_iou,chan_vese_choice,watershed_iou,watershed_choice
malignant (127).png,malignant (127)_mask.png,0.33478301464915255,inverted,0.32575647254546336,class_2_inverted,0.2810233075562217,inverted,0.33635210821092676,normal,0.33478301464915255,normal
malignant (71).png,malignant (71)_mask.png,0.2986145408229576,inverted,0.2985402779718412,class_2_inverted,0.23935867562588056,inverted,0.2943147847768677,normal,0.2986145408229576,normal
benign (108).png,benign (108)_mask.png,0.05332815383121298,normal,0.09710079585996001,class_2_normal,0.03127721794304121,inverted,0.05621453717125699,inverted,0.053220420401806814,inverted
benign (77).png,benign (77)_mask.png,0.04128866117653371,inverted,0.7963249944653531,class_0_normal,0.043684473290064904,normal,0.6928936367858801,normal,0.04129863160719077,normal
benign (312).png,benign (312)_mask.png,0.1454997101929287,inverted,0.22563726164808784,class_1_normal,0.1436064903713102,inverted,0.13845802792758197,normal,0.1454997101929287,normal
malignant (97).png,malignant (97)_mask.png,0.23822474682273287,normal,0.274682889129957,class_1_normal,0.1630673965579808,inverted,0.2399639672933894,inverted,0.2384846194370004,inverted
malignant (75).png,malignant (75)_mask.png,0.5326327809573007,normal,0.5575124985688662,class_1_inverted,0.20458563754370704,inverted,0.5134375204341856,inverted,0.5306318625526326,inverted
benign (404).png,benign (404)_mask.png,0.4897785170637611,inverted,0.5002295828794194,class_2_inverted,0.4154168436222043,inverted,0.46772074066266117,normal,0.4897785170637611,normal
malignant (56).png,malignant (56)_mask.png,0.24850720770557416,inverted,0.24917220561485984,class_0_normal,0.1952128669301258,inverted,0.26133425743116,normal,0.24857495087089726,normal
benign (331).png,benign (331)_mask.png,0.037916152897657214,normal,0.06740629762612042,class_0_normal,0.1171612113796268,normal,0.05196056422344446,normal,0.037916152897657214,inverted
benign (49).png,benign (49)_mask.png,0.6311033666734456,inverted,0.6675790645538527,class_0_normal,0.3293795225617232,inverted,0.6333778259393443,normal,0.6311033666734456,normal
malignant (66).png,malignant (66)_mask.png,0.10586238482676869,inverted,0.13589002020522167,class_0_normal,0.059481662358131786,inverted,0.10778277489199042,normal,0.10586238482676869,normal
malignant (31).png,malignant (31)_mask.png,0.5014652293655216,inverted,0.5104967948717949,class_2_inverted,0.38729783037475346,inverted,0.49973260394766383,normal,0.5014652293655216,normal
malignant (21).png,malignant (21)_mask.png,0.3315434908802053,inverted,0.3511938857339247,class_0_normal,0.2191999590510071,inverted,0.3373601754904554,normal,0.3315966784565671,normal
benign (94).png,benign (94)_mask.png,0.03867036654513478,normal,0.053711001488332036,class_2_normal,0.02248054871068511,inverted,0.10251469313035938,normal,0.03882669572683442,inverted
benign (16).png,benign (16)_mask.png,0.8805272108843537,inverted,0.7478373702422145,class_0_normal,0.3052497883149873,normal,0.8790697674418605,normal,0.8805272108843537,normal
benign (376).png,benign (376)_mask.png,0.24154841286571768,inverted,0.31285801483707393,class_1_normal,0.22835675920217507,inverted,0.2272002874412513,normal,0.2415644937586685,normal
benign (219).png,benign (219)_mask.png,0.12986801368746945,inverted,0.17313563017880507,class_1_inverted,0.06144794901127635,normal,0.09870893936917798,normal,0.12986801368746945,normal
malignant (70).png,malignant (70)_mask.png,0.0626252923488139,inverted,0.06966824644549763,class_1_normal,0.0498148135182631,inverted,0.05903886680136436,normal,0.06263935376405286,normal
benign (59).png,benign (59)_mask.png,0.06959733158212993,inverted,0.5797426257952574,class_0_normal,0.046976113487013665,inverted,0.7289551826531316,normal,0.06959733158212993,normal
malignant (68).png,malignant (68)_mask.png,0.3157209560674177,inverted,0.42686423952983765,class_1_normal,0.2649127454834464,inverted,0.3024430062387033,normal,0.3157209560674177,normal
benign (307).png,benign (307)_mask.png,0.33644767899291894,inverted,0.6592806945018602,class_0_normal,0.12649262949847648,normal,0.36132278936017254,inverted,0.33644767899291894,normal
benign (422).png,benign (422)_mask.png,0.25334418938692743,inverted,0.3154435626823748,class_1_inverted,0.1843415156536982,inverted,0.33157391353270016,normal,0.25334418938692743,normal
benign (345).png,benign (345)_mask.png,0.38595825426944974,inverted,0.07033398821218075,class_0_normal,0.11482176360225141,normal,0.4419591207096028,normal,0.38595825426944974,normal
benign (245).png,benign (245)_mask.png,0.5958023019634394,inverted,0.36797066014669927,class_0_normal,0.11290596837272572,normal,0.5343170899107755,normal,0.5958023019634394,normal
benign (274).png,benign (274)_mask.png,0.182577450368014,inverted,0.36135966399707825,class_0_normal,0.13520957757233631,inverted,0.18666666666666668,normal,0.182577450368014,normal
benign (37).png,benign (37)_mask.png,0.022371375792309186,inverted,0.02421097893077254,class_0_normal,0.018432156340217633,normal,0.024310279456698707,normal,0.022371375792309186,normal
malignant (210).png,malignant (210)_mask.png,0.5174899852302068,inverted,0.547128089230563,class_0_normal,0.23593000472941017,inverted,0.515388611640245,normal,0.5174899852302068,normal
malignant (86).png,malignant (86)_mask.png,0.35814778509079026,inverted,0.6087485584039375,class_0_normal,0.24702610275946965,inverted,0.38446766450155323,inverted,0.35814778509079026,normal
benign (254).png,benign (254)_mask.png,0.5301085883514314,inverted,0.8527493010251631,class_2_inverted,0.5927687916270219,normal,0.3010858835143139,normal,0.5301085883514314,normal
benign (115).png,benign (115)_mask.png,0.8153172866520788,inverted,0.7801306600585718,class_0_normal,0.3369159903487607,normal,0.8112087912087912,normal,0.8153172866520788,normal
benign (393).png,benign (393)_mask.png,0.35826219103383544,inverted,0.48010784327142836,class_1_inverted,0.2537902629167081,inverted,0.4860728125265728,normal,0.35828140784380336,normal
malignant (101).png,malignant (101)_mask.png,0.24723343506941026,inverted,0.20648047049481363,class_0_normal,0.1434781389348515,inverted,0.24637116512322554,inverted,0.24723343506941026,normal
benign (410).png,benign (410)_mask.png,0.1216342567787618,normal,0.1647556149804843,class_1_normal,0.10916803916840699,inverted,0.19886543916157878,inverted,0.12285696342969583,inverted
benign (142).png,benign (142)_mask.png,0.7785383086774122,inverted,0.8672793331908527,class_2_inverted,0.12277227722772277,normal,0.7839095744680851,normal,0.7785383086774122,normal
benign (242).png,benign (242)_mask.png,0.1377667146239162,inverted,0.18620212565247468,class_0_normal,0.07671289052923426,inverted,0.14950572493675943,normal,0.1377667146239162,normal
malignant (99).png,malignant (99)_mask.png,0.2597788840757742,inverted,0.1077312149051994,class_1_normal,0.05630914756188345,inverted,0.265468416628952,normal,0.2597788840757742,normal
benign (155).png,benign (155)_mask.png,0.2646767623430015,inverted,0.634371661649024,class_0_normal,0.13758386043322096,inverted,0.26260777217277087,normal,0.2646767623430015,normal
malignant (149).png,malignant (149)_mask.png,0.13097520127524767,inverted,0.12419098568554852,class_2_inverted,0.08026839151886786,inverted,0.13160949396886212,normal,0.13097520127524767,normal
benign (181).png,benign (181)_mask.png,0.12034590439586837,inverted,0.16477166682841976,class_0_normal,0.07301616272231348,inverted,0.126058752352783,normal,0.12037353437413237,normal
benign (416).png,benign (416)_mask.png,0.05123997519707024,normal,0.17289841809386847,class_1_inverted,0.0323448408377634,normal,0.051990037670924014,inverted,0.05113154656091891,inverted
benign (3).png,benign (3)_mask.png,0.6785565289945765,inverted,0.7614172167587229,class_0_normal,0.11090599261573417,normal,0.6805044666316342,normal,0.6785565289945765,normal
