rank,modality,method,mean_iou,median_iou,std_iou,min_iou,max_iou
1,modality_0,multi_otsu,0.871109,0.874838,0.052201,0.804247,0.941808
2,modality_3,multi_otsu,0.650116,0.592294,0.205456,0.345859,0.905985
3,modality_2,multi_otsu,0.301399,0.319920,0.112028,0.160872,0.471509
4,modality_1,multi_otsu,0.269497,0.240486,0.122527,0.118291,0.440461
5,modality_2,morphological_snakes,0.210715,0.248229,0.077955,0.115894,0.305518
6,modality_2,adaptive,0.171094,0.153036,0.043884,0.112078,0.224078
7,modality_3,morphological_snakes,0.160615,0.136760,0.080189,0.066548,0.281312
8,modality_3,adaptive,0.159050,0.159918,0.066801,0.063158,0.266161
9,modality_0,otsu,0.158392,0.148431,0.044373,0.105592,0.229801
10,modality_0,watershed,0.158037,0.148431,0.043996,0.105352,0.228482
11,modality_0,chan_vese,0.155337,0.147613,0.042060,0.103965,0.222702
12,modality_1,otsu,0.153701,0.148431,0.038646,0.106777,0.216561
13,modality_1,watershed,0.153570,0.148388,0.038668,0.106444,0.216346
14,modality_3,otsu,0.153046,0.146814,0.040288,0.103927,0.217613
15,modality_3,watershed,0.153011,0.146814,0.040259,0.103897,0.217518
16,modality_0,random_walker,0.152269,0.147644,0.039922,0.102856,0.216550
17,modality_1,morphological_snakes,0.152057,0.105594,0.097926,0.090618,0.347148
18,modality_3,chan_vese,0.151841,0.147191,0.039587,0.102680,0.215062
19,modality_1,chan_vese,0.151628,0.147380,0.038622,0.103389,0.213698
20,modality_1,random_walker,0.151435,0.148217,0.038483,0.102067,0.211606
21,modality_2,chan_vese,0.151102,0.149735,0.038580,0.101297,0.210653
22,modality_2,random_walker,0.150751,0.150908,0.038417,0.100821,0.210868
23,modality_2,otsu,0.150334,0.150830,0.035714,0.102570,0.201033
24,modality_2,watershed,0.150261,0.150797,0.035700,0.102438,0.200887
25,modality_3,random_walker,0.150119,0.146137,0.039113,0.100970,0.213009
26,modality_1,adaptive,0.137367,0.153568,0.056257,0.045233,0.217242
27,modality_0,morphological_snakes,0.102671,0.089405,0.034923,0.065555,0.149094
28,modality_0,adaptive,0.090807,0.073916,0.047257,0.039985,0.154988
