rank,modality,method,mean_iou,median_iou,std_iou,min_iou,max_iou
1,modality_3,multi_otsu,0.526456,0.555612,0.268102,0.005217,0.910598
2,modality_0,multi_otsu,0.511642,0.568716,0.363138,0.001809,0.973480
3,modality_2,multi_otsu,0.265587,0.237546,0.188890,0.002317,0.763071
4,modality_1,multi_otsu,0.242369,0.207227,0.174154,0.002100,0.714210
5,modality_2,morphological_snakes,0.200836,0.178587,0.142336,0.000402,0.530940
6,modality_2,adaptive,0.161062,0.152304,0.091132,0.001092,0.417384
7,modality_1,morphological_snakes,0.157997,0.125501,0.139920,0.000406,0.636885
8,modality_1,adaptive,0.155222,0.147543,0.082120,0.001139,0.336022
9,modality_0,otsu,0.134392,0.116433,0.094345,0.001658,0.471127
10,modality_0,watershed,0.134236,0.116295,0.094286,0.001652,0.471127
11,modality_3,otsu,0.132983,0.123511,0.094618,0.001573,0.538202
12,modality_3,watershed,0.132811,0.122213,0.094457,0.001573,0.538202
13,modality_0,chan_vese,0.132049,0.112865,0.093868,0.001656,0.466532
14,modality_3,adaptive,0.131247,0.122310,0.085176,0.001936,0.361196
15,modality_1,otsu,0.129132,0.118173,0.086609,0.001638,0.358270
16,modality_1,watershed,0.128965,0.118117,0.086526,0.001633,0.358270
17,modality_2,otsu,0.127927,0.112766,0.086547,0.001671,0.360533
18,modality_2,watershed,0.127868,0.113613,0.086518,0.001667,0.361464
19,modality_3,chan_vese,0.125438,0.111553,0.084699,0.001581,0.356609
20,modality_1,chan_vese,0.125285,0.113880,0.083613,0.001616,0.355996
21,modality_2,chan_vese,0.124638,0.113292,0.083753,0.001668,0.363062
22,modality_0,adaptive,0.124634,0.107464,0.095208,0.001789,0.482126
23,modality_2,random_walker,0.110006,0.102049,0.085242,0.000451,0.353065
24,modality_3,random_walker,0.109794,0.100693,0.085746,0.000451,0.356769
25,modality_1,random_walker,0.109785,0.102563,0.084795,0.000451,0.358842
26,modality_0,random_walker,0.107921,0.095735,0.085226,0.000451,0.359524
27,modality_3,morphological_snakes,0.083889,0.061046,0.084484,0.000399,0.427518
28,modality_0,morphological_snakes,0.081920,0.045805,0.088739,0.000395,0.469852
