slice,selected_modality,selected_candidate,unsupervised_score,iou_after_selection,area_ratio,contrast,edge_alignment,solidity,compactness,agreement,border_fraction
volume_104_slice_104.h5,modality_0,random_walker_dark_inverted_component_1,1.008805,0.058672,0.249444,1.000000,1.000000,0.979839,0.836593,0.236588,0.000000
volume_37_slice_51.h5,modality_3,random_walker_dark_inverted_component_1,1.001980,0.231070,0.239826,1.000000,1.000000,0.944398,0.675301,0.206401,0.000000
volume_286_slice_73.h5,modality_0,multi_otsu_class_2_normal_component_1,0.999281,0.033287,0.239375,1.000000,1.000000,0.943807,0.525936,0.154199,0.000000
volume_250_slice_40.h5,modality_1,adaptive_41_3_inverted_component_3,0.994761,0.000000,0.010451,1.000000,1.000000,0.953231,0.814152,0.035528,0.000000
volume_262_slice_51.h5,modality_0,morphological_snakes_normal_component_9,0.998286,0.000000,0.012049,1.000000,1.000000,0.973645,0.725226,0.044793,0.000000
volume_202_slice_102.h5,modality_1,random_walker_dark_inverted_component_1,1.006822,0.001601,0.238542,1.000000,1.000000,0.970994,0.802011,0.223464,0.000000
volume_186_slice_96.h5,modality_2,adaptive_21_7_inverted_component_2,1.005598,0.054090,0.234861,1.000000,1.000000,0.971716,0.787617,0.196804,0.000000
volume_149_slice_82.h5,modality_1,adaptive_21_7_inverted_component_2,1.003588,0.254317,0.241424,1.000000,0.995624,0.973078,0.721314,0.165656,0.000000
volume_205_slice_106.h5,modality_3,random_walker_dark_inverted_component_1,1.006770,0.015794,0.229740,1.000000,1.000000,0.972327,0.812834,0.218411,0.000000
volume_326_slice_87.h5,modality_0,adaptive_21_7_inverted_component_2,1.008368,0.126506,0.238924,1.000000,1.000000,0.983773,0.845008,0.216046,0.000000
volume_62_slice_70.h5,modality_3,random_walker_dark_inverted_component_1,1.004927,0.046889,0.249184,1.000000,1.000000,0.967610,0.803530,0.195708,0.000000
volume_366_slice_99.h5,modality_1,adaptive_31_5_inverted_component_2,0.999723,0.066104,0.248889,1.000000,1.000000,0.934253,0.334048,0.191693,0.000000
volume_157_slice_126.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.004209,0.111985,0.132396,1.000000,1.000000,0.966880,0.774824,0.183548,0.000000
volume_7_slice_37.h5,modality_2,multi_otsu_class_0_inverted_component_2,0.995382,0.000000,0.011354,1.000000,1.000000,0.925419,0.716626,0.131389,0.000000
volume_67_slice_124.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.005300,0.109126,0.133160,1.000000,1.000000,0.965198,0.757658,0.210398,0.000000
volume_223_slice_92.h5,modality_0,adaptive_21_7_inverted_component_2,1.005933,0.215630,0.246458,1.000000,1.000000,0.973991,0.742418,0.196684,0.000000
volume_251_slice_102.h5,modality_0,random_walker_dark_inverted_component_1,1.008893,0.132113,0.229444,1.000000,1.000000,0.979464,0.834991,0.239477,0.000000
volume_275_slice_52.h5,modality_3,random_walker_dark_inverted_component_1,0.995034,0.104473,0.212708,1.000000,1.000000,0.890211,0.622805,0.230036,0.000000
volume_259_slice_108.h5,modality_2,multi_otsu_class_0_inverted_component_1,1.008497,0.229456,0.189080,1.000000,1.000000,0.975909,0.816463,0.242220,0.000000
volume_143_slice_84.h5,modality_1,adaptive_31_5_inverted_component_2,1.007093,0.181219,0.243247,1.000000,1.000000,0.983892,0.817223,0.190185,0.000000
volume_120_slice_117.h5,modality_2,random_walker_dark_inverted_component_1,1.009831,0.129478,0.205017,1.000000,1.000000,0.988355,0.843011,0.231549,0.000000
volume_166_slice_75.h5,modality_2,adaptive_41_3_inverted_component_2,1.007089,0.156467,0.236302,1.000000,1.000000,0.981242,0.829405,0.198054,0.000000
volume_191_slice_83.h5,modality_2,adaptive_21_7_inverted_component_2,1.007833,0.170288,0.243073,1.000000,1.000000,0.978439,0.824537,0.221335,0.000000
volume_28_slice_35.h5,modality_1,otsu_normal_component_2,0.989574,0.000000,0.029045,1.000000,1.000000,0.909350,0.632429,0.063426,0.000000
volume_268_slice_52.h5,modality_2,watershed_inverted_component_1,1.000906,0.072598,0.247031,1.000000,1.000000,0.947136,0.741543,0.176718,0.000000
volume_130_slice_44.h5,modality_1,multi_otsu_class_2_normal_component_3,0.996363,0.000000,0.024167,1.000000,1.000000,0.960203,0.788806,0.046651,0.000000
volume_98_slice_79.h5,modality_1,adaptive_31_5_inverted_component_2,1.005765,0.076560,0.224288,1.000000,1.000000,0.979181,0.811555,0.177758,0.000000
volume_160_slice_79.h5,modality_3,multi_otsu_class_1_normal_component_1,1.005856,0.024193,0.231615,1.000000,1.000000,0.976660,0.791976,0.187134,0.000000
volume_245_slice_75.h5,modality_2,adaptive_31_5_inverted_component_2,1.006091,0.136194,0.242969,1.000000,1.000000,0.975889,0.792946,0.194159,0.000000
volume_157_slice_112.h5,modality_0,random_walker_dark_inverted_component_1,1.007865,0.192503,0.219062,1.000000,1.000000,0.983929,0.842978,0.205504,0.000000
volume_298_slice_66.h5,modality_1,adaptive_31_5_inverted_component_3,1.003538,0.077283,0.238455,1.000000,1.000000,0.957916,0.692053,0.197010,0.000000
volume_227_slice_58.h5,modality_1,random_walker_dark_inverted_component_1,0.999252,0.117740,0.230174,1.000000,1.000000,0.932118,0.577041,0.188677,0.000000
volume_112_slice_73.h5,modality_1,adaptive_41_3_inverted_component_2,0.995942,0.114066,0.223507,1.000000,0.936412,0.977724,0.817528,0.176431,0.000000
volume_67_slice_84.h5,modality_2,adaptive_21_7_inverted_component_2,1.004148,0.111489,0.234219,1.000000,1.000000,0.969953,0.611978,0.173110,0.000000
volume_51_slice_102.h5,modality_1,watershed_inverted_component_1,1.007146,0.176573,0.248559,1.000000,1.000000,0.976700,0.765946,0.212824,0.000000
