slice,selected_modality,selected_candidate,unsupervised_score,iou_after_selection,area_ratio,contrast,edge_alignment,solidity,compactness,agreement,border_fraction
volume_104_slice_104.h5,modality_0,random_walker_dark_inverted_component_1,1.008805,0.058672,0.249444,1.000000,1.000000,0.979839,0.836593,0.236588,0.000000
volume_37_slice_51.h5,modality_0,random_walker_dark_inverted_component_1,1.000342,0.232129,0.238733,1.000000,1.000000,0.937193,0.669343,0.195259,0.000000
volume_286_slice_73.h5,modality_0,multi_otsu_class_2_normal_component_1,0.999281,0.033287,0.239375,1.000000,1.000000,0.943807,0.525936,0.154199,0.000000
volume_250_slice_40.h5,modality_0,multi_otsu_class_2_normal_component_14,0.991941,0.827938,0.028299,1.000000,1.000000,0.929124,0.724355,0.051445,0.000000
volume_262_slice_51.h5,modality_0,morphological_snakes_normal_component_9,0.998286,0.000000,0.012049,1.000000,1.000000,0.973645,0.725226,0.044793,0.000000
volume_202_slice_102.h5,modality_0,random_walker_dark_inverted_component_1,1.006814,0.001630,0.234271,1.000000,1.000000,0.971575,0.805988,0.221547,0.000000
volume_186_slice_96.h5,modality_0,adaptive_21_7_inverted_component_2,0.998759,0.064828,0.207708,1.000000,1.000000,0.932306,0.347415,0.178254,0.000000
volume_149_slice_82.h5,modality_0,adaptive_31_5_inverted_component_2,1.002156,0.278678,0.236441,1.000000,1.000000,0.957856,0.541670,0.169557,0.000000
volume_205_slice_106.h5,modality_0,random_walker_dark_inverted_component_1,1.004925,0.015912,0.228038,1.000000,1.000000,0.970916,0.809252,0.185747,0.000000
volume_326_slice_87.h5,modality_0,adaptive_21_7_inverted_component_2,1.008368,0.126506,0.238924,1.000000,1.000000,0.983773,0.845008,0.216046,0.000000
volume_62_slice_70.h5,modality_0,random_walker_dark_inverted_component_1,1.003974,0.047116,0.247986,1.000000,1.000000,0.968393,0.804096,0.174309,0.000000
volume_366_slice_99.h5,modality_0,adaptive_21_7_inverted_component_2,0.999621,0.076276,0.245747,1.000000,1.000000,0.943201,0.451038,0.162816,0.000000
volume_157_slice_126.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.004209,0.111985,0.132396,1.000000,1.000000,0.966880,0.774824,0.183548,0.000000
volume_7_slice_37.h5,modality_0,multi_otsu_class_0_inverted_component_3,0.993680,0.000000,0.012396,1.000000,1.000000,0.928173,0.697509,0.089081,0.000000
volume_67_slice_124.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.005300,0.109126,0.133160,1.000000,1.000000,0.965198,0.757658,0.210398,0.000000
volume_223_slice_92.h5,modality_0,adaptive_21_7_inverted_component_2,1.005933,0.215630,0.246458,1.000000,1.000000,0.973991,0.742418,0.196684,0.000000
volume_251_slice_102.h5,modality_0,random_walker_dark_inverted_component_1,1.008893,0.132113,0.229444,1.000000,1.000000,0.979464,0.834991,0.239477,0.000000
volume_275_slice_52.h5,modality_0,random_walker_dark_inverted_component_1,0.994457,0.105021,0.211597,1.000000,1.000000,0.889041,0.628245,0.222024,0.000000
volume_259_slice_108.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.007653,0.230812,0.187969,1.000000,1.000000,0.973447,0.809211,0.232715,0.000000
volume_143_slice_84.h5,modality_0,adaptive_41_3_inverted_component_2,1.003607,0.207652,0.244167,1.000000,1.000000,0.963842,0.556537,0.180617,0.000000
volume_120_slice_117.h5,modality_0,random_walker_dark_inverted_component_1,1.008413,0.127215,0.208663,1.000000,1.000000,0.985677,0.839967,0.211230,0.000000
volume_166_slice_75.h5,modality_0,adaptive_21_7_inverted_component_2,1.005482,0.221239,0.246215,1.000000,1.000000,0.973938,0.711715,0.187830,0.000000
volume_191_slice_83.h5,modality_0,adaptive_21_7_inverted_component_2,1.006384,0.216036,0.220747,1.000000,1.000000,0.976975,0.786119,0.196755,0.000000
volume_28_slice_35.h5,modality_0,multi_otsu_class_0_inverted_component_1,0.981862,0.002649,0.196580,1.000000,1.000000,0.824690,0.338426,0.163178,0.000000
volume_268_slice_52.h5,modality_0,random_walker_dark_inverted_component_1,0.994190,0.075105,0.238785,1.000000,1.000000,0.897703,0.514188,0.190694,0.000000
volume_130_slice_44.h5,modality_0,adaptive_41_3_inverted_component_8,0.986533,0.000000,0.035781,1.000000,1.000000,0.888798,0.512354,0.064257,0.000000
volume_98_slice_79.h5,modality_0,adaptive_21_7_inverted_component_2,1.001200,0.107723,0.248021,1.000000,0.958009,0.976625,0.772717,0.220106,0.000000
volume_160_slice_79.h5,modality_0,multi_otsu_class_1_normal_component_1,1.005762,0.029443,0.240590,1.000000,1.000000,0.977321,0.799988,0.183283,0.000000
volume_245_slice_75.h5,modality_0,adaptive_31_5_inverted_component_2,1.000658,0.136367,0.239462,1.000000,1.000000,0.950358,0.460934,0.162084,0.000000
volume_157_slice_112.h5,modality_0,random_walker_dark_inverted_component_1,1.007865,0.192503,0.219062,1.000000,1.000000,0.983929,0.842978,0.205504,0.000000
volume_298_slice_66.h5,modality_0,adaptive_21_7_inverted_component_2,0.993649,0.091382,0.233333,1.000000,1.000000,0.902880,0.278656,0.164332,0.000000
volume_227_slice_58.h5,modality_0,random_walker_dark_inverted_component_1,0.996427,0.110733,0.244740,1.000000,1.000000,0.920786,0.680991,0.166181,0.000000
volume_112_slice_73.h5,modality_0,adaptive_31_5_inverted_component_2,0.979070,0.228369,0.237465,1.000000,0.835784,0.972218,0.685695,0.157396,0.000000
volume_67_slice_84.h5,modality_0,adaptive_21_7_inverted_component_2,0.992475,0.143239,0.236528,1.000000,0.934748,0.961692,0.520325,0.160186,0.000000
volume_51_slice_102.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.005035,0.179240,0.244861,1.000000,1.000000,0.965230,0.708555,0.205003,0.000000
volume_135_slice_99.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.003918,0.460842,0.174462,1.000000,1.000000,0.954303,0.552754,0.215460,0.000000
volume_229_slice_112.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.005574,0.161945,0.179566,1.000000,1.000000,0.966168,0.781065,0.212983,0.000000
volume_231_slice_71.h5,modality_0,random_walker_dark_inverted_component_1,1.007795,0.192712,0.228194,1.000000,1.000000,0.972004,0.824661,0.239889,0.000000
volume_223_slice_115.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.007642,0.159430,0.182726,1.000000,1.000000,0.959015,0.723320,0.275801,0.000000
volume_78_slice_75.h5,modality_0,adaptive_21_7_inverted_component_2,0.986890,0.041459,0.219740,1.000000,0.912772,0.956518,0.488264,0.129934,0.000000
