dataset,image,mask,modality,iou,choice
BUSI,benign/benign (201).png,benign/benign (201)_mask.png,none,0.185756,class_1_normal
BUSI,benign/benign (121).png,benign/benign (121)_mask.png,none,0.077708,class_0_normal
BUSI,benign/benign (352).png,benign/benign (352)_mask.png,none,0.859762,class_2_inverted
BUSI,benign/benign (324).png,benign/benign (324)_mask.png,none,0.558346,class_0_normal
BUSI,benign/benign (304).png,benign/benign (304)_mask.png,none,0.215892,class_1_normal
BUSI,benign/benign (227).png,benign/benign (227)_mask.png,none,0.452122,class_0_normal
BUSI,benign/benign (193).png,benign/benign (193)_mask.png,none,0.828134,class_0_normal
BUSI,malignant/malignant (208).png,malignant/malignant (208)_mask.png,none,0.694814,class_0_normal
BUSI,benign/benign (18).png,benign/benign (18)_mask.png,none,0.340364,class_0_normal
BUSI,malignant/malignant (60).png,malignant/malignant (60)_mask.png,none,0.242060,class_0_normal
BUSI,benign/benign (95).png,benign/benign (95)_mask.png,none,0.790141,class_0_normal
BUSI,benign/benign (128).png,benign/benign (128)_mask.png,none,0.024711,class_0_normal
BUSI,benign/benign (126).png,benign/benign (126)_mask.png,none,0.703381,class_0_normal
BUSI,benign/benign (185).png,benign/benign (185)_mask.png,none,0.187706,class_0_normal
BUSI,benign/benign (30).png,benign/benign (30)_mask.png,none,0.025460,class_0_normal
BUSI,benign/benign (313).png,benign/benign (313)_mask.png,none,0.363831,class_1_normal
BUSI,malignant/malignant (171).png,malignant/malignant (171)_mask.png,none,0.162376,class_1_normal
BUSI,malignant/malignant (71).png,malignant/malignant (71)_mask.png,none,0.298540,class_2_inverted
BUSI,benign/benign (123).png,benign/benign (123)_mask.png,none,0.091879,class_0_normal
BUSI,malignant/malignant (33).png,malignant/malignant (33)_mask.png,none,0.335892,class_0_normal
BUSI,benign/benign (282).png,benign/benign (282)_mask.png,none,0.107751,class_1_normal
BUSI,malignant/malignant (92).png,malignant/malignant (92)_mask.png,none,0.416614,class_0_normal
BUSI,benign/benign (92).png,benign/benign (92)_mask.png,none,0.688885,class_1_inverted
BUSI,benign/benign (301).png,benign/benign (301)_mask.png,none,0.623504,class_0_normal
BUSI,malignant/malignant (119).png,malignant/malignant (119)_mask.png,none,0.155392,class_1_inverted
