image,mask,otsu_iou,otsu_choice,multi_otsu_iou,multi_otsu_choice,adaptive_iou,adaptive_choice,watershed_iou,watershed_choice,random_walker_iou,random_walker_choice,chan_vese_iou,chan_vese_choice,morphological_snakes_iou,morphological_snakes_choice
benign/benign (201).png,benign/benign (201)_mask.png,0.039151,inverted,0.185756,class_1_normal,0.076597,normal,0.039151,normal,0.065861,dark_inverted,0.034743,inverted,0.025249,normal
benign/benign (121).png,benign/benign (121)_mask.png,0.066329,inverted,0.077708,class_0_normal,0.048993,inverted,0.066329,normal,0.074387,dark_normal,0.072893,normal,0.046930,normal
benign/benign (352).png,benign/benign (352)_mask.png,0.729565,inverted,0.859762,class_2_inverted,0.142803,normal,0.729565,normal,0.019067,dark_inverted,0.661179,normal,0.010790,normal
benign/benign (324).png,benign/benign (324)_mask.png,0.690572,inverted,0.558346,class_0_normal,0.355229,normal,0.690572,normal,0.614760,dark_normal,0.704936,normal,0.020753,inverted
benign/benign (304).png,benign/benign (304)_mask.png,0.181947,normal,0.215892,class_1_normal,0.111835,inverted,0.181368,inverted,0.176329,dark_inverted,0.185041,inverted,0.111205,normal
benign/benign (227).png,benign/benign (227)_mask.png,0.059823,inverted,0.452122,class_0_normal,0.092931,normal,0.059823,normal,0.059057,dark_normal,0.166838,normal,0.025940,normal
benign/benign (193).png,benign/benign (193)_mask.png,0.018535,inverted,0.828134,class_0_normal,0.094385,normal,0.018536,normal,0.025973,dark_normal,0.019028,normal,0.010762,normal
malignant/malignant (208).png,malignant/malignant (208)_mask.png,0.465915,inverted,0.694814,class_0_normal,0.362862,inverted,0.465915,normal,0.517179,dark_normal,0.454933,normal,0.627878,inverted
benign/benign (18).png,benign/benign (18)_mask.png,0.319488,inverted,0.340364,class_0_normal,0.198162,inverted,0.319488,normal,0.403408,dark_normal,0.319235,normal,0.202087,inverted
malignant/malignant (60).png,malignant/malignant (60)_mask.png,0.228498,inverted,0.242060,class_0_normal,0.172056,inverted,0.228498,normal,0.251504,dark_normal,0.241856,inverted,0.178629,normal
benign/benign (95).png,benign/benign (95)_mask.png,0.023894,inverted,0.790141,class_0_normal,0.112605,normal,0.023894,normal,0.840193,dark_normal,0.024141,normal,0.041377,inverted
benign/benign (128).png,benign/benign (128)_mask.png,0.023032,inverted,0.024711,class_0_normal,0.109147,normal,0.023032,normal,0.736768,dark_normal,0.024119,normal,0.038244,inverted
benign/benign (126).png,benign/benign (126)_mask.png,0.757732,inverted,0.703381,class_0_normal,0.099559,normal,0.757732,normal,0.664859,dark_normal,0.757248,normal,0.013684,normal
benign/benign (185).png,benign/benign (185)_mask.png,0.515341,inverted,0.187706,class_0_normal,0.067766,normal,0.515341,normal,0.012327,dark_inverted,0.507946,normal,0.007782,normal
benign/benign (30).png,benign/benign (30)_mask.png,0.023493,inverted,0.025460,class_0_normal,0.112390,normal,0.023493,normal,0.775298,dark_normal,0.024696,normal,0.040574,inverted
benign/benign (313).png,benign/benign (313)_mask.png,0.057963,normal,0.363831,class_1_normal,0.130458,normal,0.057872,inverted,0.040638,dark_inverted,0.027407,inverted,0.074458,inverted
malignant/malignant (171).png,malignant/malignant (171)_mask.png,0.098184,inverted,0.162376,class_1_normal,0.092152,inverted,0.098197,normal,0.101725,dark_inverted,0.097237,normal,0.090531,normal
