case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.118780,0.063140,0.001529
benign_benign_10,1,0.001203,0.000602,0.002698
benign_benign_100,2,0.056180,0.028902,0.001703
benign_benign_101,1,0.004034,0.002021,0.000910
benign_benign_102,1,0.026185,0.013266,0.002061
benign_benign_103,1,0.001411,0.000706,0.003689
benign_benign_104,1,0.059618,0.030725,0.001430
benign_benign_105,1,0.040711,0.020778,0.001276
benign_benign_106,1,0.006530,0.003276,0.001571
benign_benign_107,1,0.155034,0.084031,0.001390
