case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.163551,0.089059,0.003350
benign_benign_10,1,0.864629,0.761539,0.002529
benign_benign_100,2,0.425793,0.270481,0.001779
benign_benign_101,1,0.518417,0.349907,0.000882
benign_benign_102,1,0.732784,0.578262,0.001742
benign_benign_103,1,0.863443,0.759700,0.003600
benign_benign_104,1,0.428943,0.273028,0.000735
benign_benign_105,1,0.654100,0.485995,0.001250
benign_benign_106,1,0.755393,0.606933,0.001260
benign_benign_107,1,0.672047,0.506077,0.001245
benign_benign_108,1,0.808823,0.679012,0.001558
benign_benign_109,1,0.773750,0.630988,0.002192
benign_benign_11,1,0.219398,0.123216,0.000534
benign_benign_110,1,0.843655,0.729588,0.002445
benign_benign_111,1,0.302734,0.178366,0.000754
benign_benign_112,1,0.309096,0.182800,0.000999
benign_benign_113,1,0.798267,0.664263,0.001772
benign_benign_114,1,0.783200,0.643655,0.002318
benign_benign_115,1,0.377225,0.232457,0.000801
benign_benign_116,1,0.348053,0.210692,0.000865
benign_benign_117,1,0.678674,0.513631,0.001420
benign_benign_118,1,0.667952,0.501447,0.001039
benign_benign_119,1,0.421423,0.266964,0.000878
benign_benign_12,1,0.190370,0.105198,0.000561
benign_benign_120,1,0.281493,0.163801,0.000555
benign_benign_121,1,0.772893,0.629849,0.001715
benign_benign_122,1,0.573608,0.402139,0.001647
benign_benign_123,1,0.785634,0.646950,0.001823
benign_benign_124,1,0.491927,0.326196,0.001306
benign_benign_125,1,0.363663,0.222242,0.000950
benign_benign_126,1,0.488076,0.322818,0.001000
benign_benign_127,1,0.435976,0.278753,0.000868
benign_benign_128,1,0.205355,0.114427,0.000816
benign_benign_129,1,0.463905,0.302003,0.000897
benign_benign_13,1,0.833882,0.715093,0.003169
benign_benign_130,1,0.747461,0.596757,0.001473
benign_benign_131,1,0.720973,0.563689,0.004666
benign_benign_132,1,0.623479,0.452938,0.000862
benign_benign_133,1,0.912680,0.839385,0.000437
benign_benign_134,1,0.393056,0.244599,0.000503
benign_benign_135,1,0.440585,0.282533,0.001304
benign_benign_136,1,0.811842,0.683278,0.001370
benign_benign_137,1,0.492988,0.327129,0.000847
benign_benign_138,1,0.091541,0.047966,0.000629
benign_benign_139,1,0.691803,0.528822,0.001273
benign_benign_14,1,0.334405,0.200772,0.000823
benign_benign_140,1,0.892332,0.805594,0.003334
benign_benign_141,1,0.855794,0.747937,0.009807
benign_benign_142,1,0.291735,0.170779,0.000820
benign_benign_143,1,0.121283,0.064556,0.000634
benign_benign_144,1,0.280767,0.163309,0.000474
benign_benign_145,1,0.612595,0.441541,0.001126
benign_benign_146,1,0.375385,0.231061,0.000547
benign_benign_147,2,0.404123,0.253229,0.000947
benign_benign_148,1,0.716212,0.557889,0.001021
benign_benign_149,1,0.598796,0.427344,0.001270
benign_benign_15,1,0.430399,0.274209,0.000776
benign_benign_150,1,0.214630,0.120216,0.000593
benign_benign_151,1,0.220848,0.124131,0.000597
benign_benign_152,1,0.836932,0.719590,0.004124
benign_benign_153,1,0.912406,0.838922,0.000554
benign_benign_154,1,0.142184,0.076533,0.000580
benign_benign_155,1,0.842106,0.727274,0.004227
benign_benign_156,2,0.636284,0.466581,0.001203
benign_benign_157,1,0.670729,0.504584,0.001213
benign_benign_158,1,0.820060,0.695002,0.002682
benign_benign_159,1,0.309930,0.183383,0.000687
benign_benign_16,1,0.159292,0.086538,0.000616
benign_benign_160,1,0.527664,0.358386,0.000584
benign_benign_161,1,0.355462,0.216147,0.000718
benign_benign_162,1,0.057463,0.029582,0.000577
benign_benign_163,2,0.273623,0.158496,0.001311
benign_benign_164,1,0.626993,0.456657,0.003205
benign_benign_165,1,0.225221,0.126901,0.000632
benign_benign_166,1,0.413312,0.260487,0.000727
benign_benign_167,1,0.321292,0.191393,0.000698
benign_benign_168,1,0.781737,0.641681,0.001239
benign_benign_169,1,0.124688,0.066489,0.000753
benign_benign_17,1,0.302036,0.177881,0.000865
benign_benign_170,1,0.715604,0.557152,0.001296
benign_benign_171,1,0.123839,0.066007,0.000623
benign_benign_172,1,0.447953,0.288621,0.001238
benign_benign_173,2,0.817033,0.690664,0.003335
benign_benign_174,1,0.870909,0.771337,0.001850
benign_benign_175,1,0.749978,0.599972,0.001775
benign_benign_176,1,0.501214,0.334413,0.000980
benign_benign_177,1,0.353215,0.214488,0.000714
benign_benign_178,1,0.832003,0.712333,0.002353
benign_benign_179,1,0.408309,0.256526,0.000475
benign_benign_18,2,0.764056,0.618197,0.003817
benign_benign_180,1,0.800698,0.667637,0.001078
benign_benign_181,1,0.746074,0.594990,0.002200
benign_benign_182,1,0.473493,0.310180,0.000650
benign_benign_183,2,0.196776,0.109125,0.001055
benign_benign_184,1,0.859420,0.753494,0.001690
benign_benign_185,1,0.206105,0.114892,0.000762
benign_benign_186,1,0.774239,0.631639,0.002329
benign_benign_187,1,0.496660,0.330371,0.000916
benign_benign_188,1,0.900661,0.819275,0.012296
benign_benign_189,1,0.135663,0.072767,0.000844
benign_benign_19,1,0.226185,0.127513,0.000681
benign_benign_190,1,0.808537,0.678608,0.002257
benign_benign_191,1,0.366720,0.224530,0.000770
benign_benign_192,1,0.605888,0.434605,0.001030
benign_benign_193,1,0.547039,0.376499,0.000746
benign_benign_194,1,0.478733,0.314693,0.001326
benign_benign_195,2,0.836958,0.719628,0.010582
benign_benign_196,1,0.109996,0.058199,0.002071
benign_benign_197,1,0.323604,0.193036,0.000773
benign_benign_198,1,0.824731,0.701738,0.002673
benign_benign_199,1,0.568770,0.397400,0.004585
benign_benign_2,1,0.680723,0.515981,0.001145
benign_benign_20,1,0.702364,0.541264,0.000905
benign_benign_200,1,0.694974,0.532537,0.003051
benign_benign_201,1,0.185406,0.102175,0.001260
benign_benign_202,1,0.281907,0.164081,0.000564
benign_benign_203,1,0.731304,0.576422,0.002627
benign_benign_204,1,0.629903,0.459751,0.001491
benign_benign_205,1,0.702383,0.541287,0.004554
benign_benign_206,1,0.530478,0.360986,0.001723
benign_benign_207,1,0.470525,0.307638,0.003038
benign_benign_208,1,0.256539,0.147144,0.000804
benign_benign_209,1,0.565856,0.394560,0.001303
benign_benign_21,1,0.072727,0.037736,0.000654
benign_benign_210,1,0.792715,0.656609,0.002114
benign_benign_211,1,0.556809,0.385818,0.000816
benign_benign_212,1,0.788870,0.651351,0.001864
benign_benign_213,1,0.679715,0.514824,0.001246
benign_benign_214,1,0.535272,0.365442,0.001709
benign_benign_215,1,0.376683,0.232045,0.000956
benign_benign_216,1,0.618826,0.448044,0.001650
benign_benign_217,1,0.433271,0.276545,0.001987
benign_benign_218,1,0.534201,0.364444,0.003032
benign_benign_219,1,0.174495,0.095587,0.001018
benign_benign_22,1,0.650217,0.481720,0.001315
