case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.326633,0.195195,0.003440
benign_benign_10,1,0.968644,0.939195,0.006897
benign_benign_100,2,0.869326,0.768857,0.003459
benign_benign_101,1,0.927462,0.864735,0.001345
benign_benign_102,1,0.937015,0.881493,0.004310
benign_benign_103,1,0.897448,0.813974,0.011153
benign_benign_104,1,0.908687,0.832655,0.001388
benign_benign_105,1,0.921589,0.854580,0.002350
benign_benign_106,1,0.910016,0.834890,0.002918
benign_benign_107,1,0.922925,0.856881,0.002526
benign_benign_108,1,0.724124,0.567550,0.004007
benign_benign_109,1,0.750682,0.600873,0.006462
benign_benign_11,1,0.901117,0.820031,0.001052
benign_benign_110,1,0.868795,0.768026,0.008022
benign_benign_111,1,0.870157,0.770158,0.001004
benign_benign_112,1,0.677530,0.512322,0.001557
benign_benign_113,1,0.941030,0.888627,0.005195
benign_benign_114,1,0.738169,0.584998,0.006033
benign_benign_115,1,0.578991,0.407451,0.001365
benign_benign_116,1,0.736914,0.583424,0.001765
benign_benign_117,1,0.887164,0.797210,0.003398
benign_benign_118,1,0.636994,0.467345,0.001734
benign_benign_119,1,0.810399,0.681235,0.001523
benign_benign_12,1,0.780076,0.639446,0.001060
benign_benign_120,1,0.752077,0.602663,0.000927
benign_benign_121,1,0.944063,0.894052,0.003866
benign_benign_122,1,0.805771,0.674721,0.003987
benign_benign_123,1,0.901456,0.820592,0.005340
benign_benign_124,1,0.671170,0.505084,0.001943
benign_benign_125,1,0.826456,0.704240,0.001767
benign_benign_126,1,0.619698,0.448958,0.001833
benign_benign_127,1,0.811141,0.682286,0.001342
benign_benign_128,1,0.860571,0.755265,0.001259
benign_benign_129,1,0.901971,0.821445,0.001963
benign_benign_13,1,0.971802,0.945151,0.011095
benign_benign_130,1,0.906238,0.828551,0.003174
benign_benign_131,1,0.355732,0.216347,0.015276
benign_benign_132,1,0.924321,0.859291,0.001670
benign_benign_133,1,0.850860,0.740433,0.000816
benign_benign_134,1,0.673684,0.507937,0.000804
benign_benign_135,1,0.715406,0.556912,0.002642
benign_benign_136,1,0.870267,0.770330,0.003541
benign_benign_137,1,0.897721,0.814422,0.001720
benign_benign_138,1,0.899279,0.816990,0.000937
benign_benign_139,1,0.958810,0.920879,0.002466
benign_benign_14,1,0.566852,0.395529,0.001560
benign_benign_140,1,0.797575,0.663305,0.011211
benign_benign_141,1,0.588823,0.417257,0.035105
benign_benign_142,1,0.873670,0.775678,0.001484
benign_benign_143,1,0.870333,0.770434,0.000848
benign_benign_144,1,0.877115,0.781126,0.000773
benign_benign_145,1,0.837601,0.720580,0.002114
benign_benign_146,1,0.810087,0.680795,0.000860
benign_benign_147,2,0.654630,0.486580,0.001643
benign_benign_148,1,0.958682,0.920643,0.002425
benign_benign_149,1,0.941231,0.888985,0.002445
benign_benign_15,1,0.928596,0.866710,0.001263
benign_benign_150,1,0.710406,0.550875,0.000922
benign_benign_151,1,0.919433,0.850881,0.001019
benign_benign_152,1,0.890839,0.803165,0.014832
benign_benign_153,1,0.881849,0.788667,0.001058
benign_benign_154,1,0.900184,0.818487,0.000964
benign_benign_155,1,0.930220,0.869544,0.014753
benign_benign_156,2,0.936303,0.880235,0.002863
benign_benign_157,1,0.934139,0.876417,0.002534
benign_benign_158,1,0.737839,0.584584,0.007869
benign_benign_159,1,0.766113,0.620894,0.001185
benign_benign_16,1,0.856083,0.748379,0.000955
benign_benign_160,1,0.874789,0.777444,0.001178
benign_benign_161,1,0.904488,0.825630,0.001156
benign_benign_162,1,0.797558,0.663281,0.000778
benign_benign_163,2,0.802070,0.669546,0.002118
benign_benign_164,1,0.662136,0.494920,0.009916
benign_benign_165,1,0.728622,0.573096,0.000878
benign_benign_166,1,0.828577,0.707325,0.001086
benign_benign_167,1,0.847860,0.735900,0.000998
benign_benign_168,1,0.956554,0.916727,0.002951
benign_benign_169,1,0.819095,0.693617,0.000814
benign_benign_17,1,0.849445,0.738292,0.001470
benign_benign_170,1,0.943955,0.893858,0.002945
benign_benign_171,1,0.783111,0.643535,0.000912
benign_benign_172,1,0.821653,0.697293,0.002054
benign_benign_173,2,0.930216,0.869537,0.008518
benign_benign_174,1,0.942785,0.891763,0.005727
benign_benign_175,1,0.857700,0.750854,0.005169
benign_benign_176,1,0.621083,0.450414,0.001476
benign_benign_177,1,0.825666,0.703093,0.001146
benign_benign_178,1,0.917247,0.847144,0.007228
benign_benign_179,1,0.630835,0.460744,0.000735
benign_benign_18,2,0.797495,0.663195,0.012973
benign_benign_180,1,0.912233,0.838629,0.002590
benign_benign_181,1,0.761665,0.615072,0.006473
benign_benign_182,1,0.733442,0.579083,0.001143
benign_benign_183,2,0.874226,0.776555,0.001810
benign_benign_184,1,0.925081,0.860605,0.005068
benign_benign_185,1,0.780399,0.639880,0.001132
benign_benign_186,1,0.944254,0.894395,0.007040
benign_benign_187,1,0.485023,0.320152,0.001943
benign_benign_188,1,0.799490,0.665958,0.033836
benign_benign_189,1,0.899766,0.817795,0.001026
benign_benign_19,1,0.702207,0.541078,0.000936
benign_benign_190,1,0.935559,0.878920,0.006369
benign_benign_191,1,0.638977,0.469482,0.001254
benign_benign_192,1,0.921853,0.855034,0.002290
benign_benign_193,1,0.899976,0.818141,0.001301
benign_benign_194,1,0.521691,0.352897,0.002744
benign_benign_195,2,0.905471,0.827269,0.034584
benign_benign_196,1,0.633815,0.463931,0.004523
benign_benign_197,1,0.811072,0.682187,0.001255
benign_benign_198,1,0.788498,0.650844,0.009467
benign_benign_199,1,0.703547,0.542671,0.011438
benign_benign_2,1,0.881001,0.787312,0.002478
benign_benign_20,1,0.708453,0.548531,0.001844
benign_benign_200,1,0.816035,0.689239,0.008276
benign_benign_201,1,0.865997,0.763663,0.002313
benign_benign_202,1,0.828125,0.706667,0.000840
benign_benign_203,1,0.829672,0.708923,0.006349
