case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.204947,0.114173,0.002009
benign_benign_10,1,0.010738,0.005398,0.007708
benign_benign_100,2,0.165743,0.090360,0.004640
benign_benign_101,1,0.107287,0.056684,0.002076
benign_benign_102,1,0.265488,0.153062,0.005151
benign_benign_103,1,0.024923,0.012619,0.010938
benign_benign_104,1,0.213046,0.119223,0.002068
benign_benign_105,1,0.114215,0.060567,0.003074
benign_benign_106,1,0.028167,0.014285,0.003727
benign_benign_107,1,0.272649,0.157843,0.003341
benign_benign_108,1,0.813369,0.685443,0.005169
benign_benign_109,1,0.097938,0.051490,0.006880
benign_benign_11,1,0.174784,0.095761,0.001792
benign_benign_110,1,0.068994,0.035730,0.007667
benign_benign_111,1,0.270088,0.156128,0.001728
benign_benign_112,1,0.111205,0.058876,0.002336
benign_benign_113,1,0.051653,0.026511,0.005531
benign_benign_114,1,0.648857,0.480229,0.007536
benign_benign_115,1,0.225062,0.126800,0.002298
benign_benign_116,1,0.258457,0.148407,0.002472
benign_benign_117,1,0.168841,0.092205,0.004276
benign_benign_118,1,0.234204,0.132634,0.002479
benign_benign_119,1,0.165276,0.090082,0.002235
benign_benign_12,1,0.130006,0.069522,0.001775
benign_benign_120,1,0.237545,0.134781,0.001749
benign_benign_121,1,0.198928,0.110450,0.004496
benign_benign_122,1,0.230523,0.130277,0.004691
benign_benign_123,1,0.257758,0.147946,0.006056
benign_benign_124,1,0.316799,0.188212,0.002725
benign_benign_125,1,0.265579,0.153123,0.002453
benign_benign_126,1,0.303827,0.179125,0.002658
benign_benign_127,1,0.293642,0.172087,0.002203
benign_benign_128,1,0.219241,0.123117,0.002018
benign_benign_129,1,0.227027,0.128049,0.002631
benign_benign_13,1,0.083622,0.043636,0.012076
benign_benign_130,1,0.052197,0.026798,0.004354
benign_benign_131,1,0.530425,0.360938,0.016227
benign_benign_132,1,0.050677,0.025997,0.002642
benign_benign_133,1,0.906486,0.828966,0.001433
benign_benign_134,1,0.068182,0.035294,0.001461
benign_benign_135,1,0.306942,0.181294,0.003785
benign_benign_136,1,0.189073,0.104407,0.004292
benign_benign_137,1,0.124309,0.066274,0.002441
benign_benign_138,1,0.166113,0.090580,0.001639
benign_benign_139,1,0.113487,0.060157,0.003324
benign_benign_14,1,0.126195,0.067347,0.002239
benign_benign_140,1,0.135325,0.072573,0.010693
benign_benign_141,1,0.532921,0.363253,0.035353
benign_benign_142,1,0.292498,0.171302,0.002206
benign_benign_143,1,0.073454,0.038127,0.001541
benign_benign_144,1,0.179987,0.098893,0.001455
benign_benign_145,1,0.241015,0.137019,0.002820
benign_benign_146,1,0.362758,0.221567,0.001475
benign_benign_147,2,0.423686,0.268783,0.002693
benign_benign_148,1,0.075830,0.039409,0.003188
benign_benign_149,1,0.056038,0.028827,0.003123
benign_benign_15,1,0.040034,0.020426,0.002025
benign_benign_150,1,0.126582,0.067568,0.001501
benign_benign_151,1,0.229805,0.129819,0.001703
benign_benign_152,1,0.175932,0.096450,0.015795
benign_benign_153,1,0.309050,0.182767,0.001729
benign_benign_154,1,0.129830,0.069421,0.001681
benign_benign_155,1,0.045602,0.023333,0.014605
benign_benign_156,2,0.182557,0.100447,0.003676
benign_benign_157,1,0.147015,0.079340,0.003490
benign_benign_158,1,0.061538,0.031746,0.007922
benign_benign_159,1,0.217917,0.122282,0.001875
benign_benign_16,1,0.064316,0.033227,0.001685
benign_benign_160,1,0.241939,0.137617,0.001891
benign_benign_161,1,0.233753,0.132345,0.001891
benign_benign_162,1,0.092992,0.048763,0.001489
benign_benign_163,2,0.165208,0.090042,0.003434
benign_benign_164,1,0.576795,0.405279,0.011090
benign_benign_165,1,0.241058,0.137047,0.001554
benign_benign_166,1,0.144706,0.077996,0.001940
benign_benign_167,1,0.247391,0.141156,0.001728
benign_benign_168,1,0.034582,0.017595,0.003590
benign_benign_169,1,0.099612,0.052417,0.001539
benign_benign_17,1,0.197065,0.109302,0.002257
benign_benign_170,1,0.002427,0.001215,0.003571
benign_benign_171,1,0.167157,0.091201,0.001494
benign_benign_172,1,0.249132,0.142290,0.002914
benign_benign_173,2,0.077410,0.040263,0.010801
benign_benign_174,1,0.045683,0.023376,0.006282
benign_benign_175,1,0.237970,0.135054,0.005789
benign_benign_176,1,0.407617,0.255979,0.002284
benign_benign_177,1,0.126948,0.067776,0.001756
benign_benign_178,1,0.249911,0.142799,0.007791
benign_benign_179,1,0.431564,0.275156,0.001343
benign_benign_18,2,0.067977,0.035184,0.013922
benign_benign_180,1,0.333414,0.200058,0.003434
benign_benign_181,1,0.023503,0.011891,0.007050
benign_benign_182,1,0.331453,0.198648,0.001857
benign_benign_183,2,0.118694,0.063091,0.002831
benign_benign_184,1,0.168725,0.092135,0.005862
benign_benign_185,1,0.231584,0.130956,0.001863
benign_benign_186,1,0.063256,0.032661,0.007284
benign_benign_187,1,0.697561,0.535581,0.002720
