case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.193450,0.107083,0.001141
benign_benign_10,1,0.010739,0.005399,0.002611
benign_benign_100,2,0.158834,0.086268,0.001707
benign_benign_101,1,0.093634,0.049116,0.000667
benign_benign_102,1,0.254271,0.145653,0.001420
benign_benign_103,1,0.024368,0.012334,0.002758
benign_benign_104,1,0.211788,0.118436,0.000693
benign_benign_105,1,0.115492,0.061285,0.000946
benign_benign_106,1,0.022729,0.011495,0.001272
benign_benign_107,1,0.264151,0.152174,0.000995
benign_benign_108,1,0.816452,0.689834,0.001392
benign_benign_109,1,0.096831,0.050879,0.001877
benign_benign_11,1,0.167881,0.091632,0.000567
benign_benign_110,1,0.038797,0.019782,0.002110
benign_benign_111,1,0.267163,0.154176,0.000554
benign_benign_112,1,0.108670,0.057457,0.000721
benign_benign_113,1,0.051656,0.026513,0.001683
benign_benign_114,1,0.636456,0.466766,0.001924
benign_benign_115,1,0.198810,0.110377,0.000676
benign_benign_116,1,0.231257,0.130746,0.000775
benign_benign_117,1,0.169157,0.092393,0.001244
benign_benign_118,1,0.229116,0.129380,0.000805
benign_benign_119,1,0.165273,0.090081,0.000626
benign_benign_12,1,0.128920,0.068901,0.000493
benign_benign_120,1,0.230893,0.130514,0.000579
benign_benign_121,1,0.178967,0.098278,0.001528
benign_benign_122,1,0.220865,0.124142,0.001315
benign_benign_123,1,0.235452,0.133435,0.001631
benign_benign_124,1,0.309827,0.183311,0.000826
benign_benign_125,1,0.158061,0.085812,0.000769
benign_benign_126,1,0.301879,0.177772,0.000822
benign_benign_127,1,0.234731,0.132972,0.000698
benign_benign_128,1,0.202161,0.112447,0.000800
benign_benign_129,1,0.230136,0.130031,0.000873
benign_benign_13,1,0.082732,0.043151,0.003119
benign_benign_130,1,0.051336,0.026344,0.001224
benign_benign_131,1,0.463708,0.301836,0.003892
benign_benign_132,1,0.097678,0.051346,0.000817
benign_benign_133,1,0.907170,0.830110,0.000512
benign_benign_134,1,0.065596,0.033910,0.000508
benign_benign_135,1,0.304263,0.179428,0.001076
benign_benign_136,1,0.180651,0.099294,0.001431
benign_benign_137,1,0.069928,0.036231,0.000798
benign_benign_138,1,0.164080,0.089372,0.000565
benign_benign_139,1,0.112247,0.059461,0.001041
benign_benign_14,1,0.068936,0.035698,0.000729
benign_benign_140,1,0.132493,0.070947,0.002756
benign_benign_141,1,0.378896,0.233727,0.007088
benign_benign_142,1,0.289960,0.169564,0.000833
benign_benign_143,1,0.059126,0.030464,0.000499
benign_benign_144,1,0.178763,0.098155,0.000517
benign_benign_145,1,0.239592,0.136100,0.000906
benign_benign_146,1,0.361319,0.220494,0.000534
benign_benign_147,2,0.355587,0.216239,0.000892
