case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.274431,0.159038,0.006725
benign_benign_10,1,0.066792,0.034550,0.036149
benign_benign_100,2,0.362858,0.221641,0.017081
benign_benign_101,1,0.474443,0.310997,0.007376
benign_benign_102,1,0.475974,0.312314,0.031568
benign_benign_103,1,0.213654,0.119604,0.100545
benign_benign_104,1,0.538344,0.368311,0.006965
benign_benign_105,1,0.348093,0.210722,0.011385
benign_benign_106,1,0.409910,0.257791,0.016616
benign_benign_107,1,0.501528,0.334693,0.010744
benign_benign_108,1,0.794247,0.658715,0.022955
benign_benign_109,1,0.304389,0.179516,0.050785
benign_benign_11,1,0.163873,0.089249,0.005310
benign_benign_110,1,0.389305,0.241700,0.063368
benign_benign_111,1,0.540499,0.370331,0.005253
benign_benign_112,1,0.344104,0.207805,0.007986
benign_benign_113,1,0.396699,0.247426,0.039963
benign_benign_114,1,0.635958,0.466231,0.032958
benign_benign_115,1,0.416114,0.262717,0.006884
benign_benign_116,1,0.414867,0.261724,0.007590
benign_benign_117,1,0.355609,0.216256,0.021833
benign_benign_118,1,0.571052,0.399631,0.010156
benign_benign_119,1,0.584641,0.413069,0.008825
benign_benign_12,1,0.518615,0.350088,0.006655
benign_benign_120,1,0.405154,0.254039,0.005384
benign_benign_121,1,0.481029,0.316681,0.120433
benign_benign_122,1,0.355260,0.215998,0.023607
benign_benign_123,1,0.585701,0.414129,0.045747
benign_benign_124,1,0.553588,0.382732,0.011053
benign_benign_125,1,0.401169,0.250914,0.010345
benign_benign_126,1,0.486780,0.321684,0.010042
benign_benign_127,1,0.364184,0.222631,0.005890
benign_benign_128,1,0.356101,0.216620,0.005866
benign_benign_129,1,0.440004,0.282054,0.007632
benign_benign_13,1,0.380223,0.234738,0.101532
benign_benign_130,1,0.293863,0.172239,0.017483
benign_benign_131,1,0.690664,0.527492,0.103327
benign_benign_132,1,0.237035,0.134453,0.008502
benign_benign_133,1,0.906486,0.828966,0.003914
benign_benign_134,1,0.166138,0.090595,0.004135
benign_benign_135,1,0.333919,0.200422,0.013849
benign_benign_136,1,0.463996,0.302080,0.023626
benign_benign_137,1,0.322303,0.192110,0.010125
benign_benign_138,1,0.465863,0.303665,0.005219
benign_benign_139,1,0.286963,0.167517,0.012756
benign_benign_14,1,0.576728,0.405212,0.008602
benign_benign_140,1,0.450343,0.290608,0.103012
benign_benign_141,1,0.716291,0.557986,0.230877
benign_benign_142,1,0.362716,0.221535,0.007838
benign_benign_143,1,0.458296,0.297266,0.004638
benign_benign_144,1,0.277494,0.161099,0.003865
benign_benign_145,1,0.551955,0.381173,0.014693
benign_benign_146,1,0.467564,0.305112,0.008703
benign_benign_147,2,0.481227,0.316853,0.010080
benign_benign_148,1,0.259439,0.149055,0.007166
benign_benign_149,1,0.295509,0.173371,0.011698
benign_benign_15,1,0.237351,0.134656,0.004565
