case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.897721,0.814423,0.032304
benign_benign_10,1,0.981447,0.963570,0.169275
benign_benign_100,2,0.890308,0.802302,0.079653
benign_benign_101,1,0.933166,0.874706,0.026395
benign_benign_102,1,0.875375,0.778370,0.102970
benign_benign_103,1,0.958202,0.919758,0.286428
benign_benign_104,1,0.905451,0.827236,0.035881
benign_benign_105,1,0.943068,0.892269,0.061498
benign_benign_106,1,0.923906,0.858574,0.042376
benign_benign_107,1,0.837532,0.720478,0.043242
benign_benign_108,1,0.804173,0.672482,0.066147
benign_benign_109,1,0.929779,0.868772,0.150429
benign_benign_11,1,0.922074,0.855416,0.030175
benign_benign_110,1,0.937034,0.881527,0.177029
benign_benign_111,1,0.868089,0.766923,0.030872
benign_benign_112,1,0.903337,0.823714,0.043306
benign_benign_113,1,0.955729,0.915213,0.111578
benign_benign_114,1,0.463214,0.301417,0.060508
benign_benign_115,1,0.906524,0.829029,0.037825
benign_benign_116,1,0.796555,0.661896,0.024566
benign_benign_117,1,0.890463,0.802554,0.084280
benign_benign_118,1,0.831162,0.711102,0.030190
benign_benign_119,1,0.900904,0.819678,0.042806
benign_benign_12,1,0.882969,0.790460,0.032839
benign_benign_120,1,0.882982,0.790481,0.020783
benign_benign_121,1,0.875345,0.778324,0.086093
benign_benign_122,1,0.874976,0.777740,0.067372
benign_benign_123,1,0.807639,0.677344,0.044880
benign_benign_124,1,0.830045,0.709468,0.034581
benign_benign_125,1,0.871229,0.771838,0.048432
benign_benign_126,1,0.844440,0.730763,0.052652
benign_benign_127,1,0.868056,0.766871,0.043482
benign_benign_128,1,0.880936,0.787208,0.039050
benign_benign_129,1,0.899498,0.817353,0.049355
benign_benign_13,1,0.958526,0.920355,0.279688
benign_benign_130,1,0.965837,0.933931,0.089401
benign_benign_131,1,0.644034,0.474963,0.169946
benign_benign_132,1,0.934829,0.877632,0.023956
benign_benign_133,1,0.823299,0.699667,0.025840
benign_benign_134,1,0.910190,0.835182,0.025889
benign_benign_135,1,0.511726,0.343838,0.044425
benign_benign_136,1,0.884325,0.792637,0.059289
benign_benign_137,1,0.922875,0.856794,0.043609
benign_benign_138,1,0.925810,0.861868,0.019365
benign_benign_139,1,0.945008,0.895749,0.068130
benign_benign_14,1,0.865610,0.763062,0.041408
benign_benign_140,1,0.902394,0.822147,0.158584
benign_benign_141,1,0.638667,0.469149,0.305799
benign_benign_142,1,0.883050,0.790590,0.027342
benign_benign_143,1,0.936755,0.881033,0.019430
benign_benign_144,1,0.891703,0.804571,0.015865
benign_benign_145,1,0.851566,0.741503,0.049601
benign_benign_146,1,0.866988,0.765206,0.019270
benign_benign_147,2,0.685515,0.521508,0.032006
benign_benign_148,1,0.935335,0.878524,0.067493
benign_benign_149,1,0.907530,0.830715,0.046837
benign_benign_15,1,0.935349,0.878550,0.019539
benign_benign_150,1,0.886165,0.795597,0.018800
benign_benign_151,1,0.889671,0.801268,0.022315
benign_benign_152,1,0.878690,0.783628,0.351183
benign_benign_153,1,0.867353,0.765775,0.021421
benign_benign_154,1,0.901538,0.820728,0.017826
benign_benign_155,1,0.937540,0.882424,0.348594
benign_benign_156,2,0.920103,0.852028,0.051885
benign_benign_157,1,0.930453,0.869951,0.068162
benign_benign_158,1,0.943212,0.892528,0.182371
benign_benign_159,1,0.871769,0.772687,0.017030
benign_benign_16,1,0.905910,0.828003,0.018665
benign_benign_160,1,0.906973,0.829781,0.035484
benign_benign_161,1,0.886225,0.795696,0.034601
benign_benign_162,1,0.912695,0.839410,0.015262
benign_benign_163,2,0.873440,0.775316,0.051842
benign_benign_164,1,0.614841,0.443878,0.218709
benign_benign_165,1,0.880409,0.786366,0.013636
benign_benign_166,1,0.896225,0.811963,0.022295
benign_benign_167,1,0.876994,0.780935,0.027175
benign_benign_168,1,0.960672,0.924320,0.064765
benign_benign_169,1,0.909158,0.833446,0.012159
benign_benign_17,1,0.898170,0.815162,0.032837
benign_benign_170,1,0.924819,0.860152,0.076000
benign_benign_171,1,0.837382,0.720255,0.014835
benign_benign_172,1,0.857444,0.750462,0.055668
benign_benign_173,2,0.960480,0.923965,0.243790
benign_benign_174,1,0.901011,0.819855,0.126776
benign_benign_175,1,0.872052,0.773131,0.122628
benign_benign_176,1,0.771267,0.627694,0.027541
benign_benign_177,1,0.933018,0.874446,0.032624
benign_benign_178,1,0.886252,0.795738,0.144735
benign_benign_179,1,0.800725,0.667674,0.022258
benign_benign_18,2,0.929826,0.868855,0.293902
benign_benign_180,1,0.846169,0.733356,0.047021
benign_benign_181,1,0.906206,0.828497,0.155370
benign_benign_182,1,0.819800,0.694628,0.024613
benign_benign_183,2,0.903928,0.824697,0.029269
benign_benign_184,1,0.899512,0.817375,0.105224
benign_benign_185,1,0.856319,0.748739,0.026616
benign_benign_186,1,0.952140,0.908653,0.149786
benign_benign_187,1,0.511075,0.343251,0.039584
benign_benign_188,1,0.884093,0.792264,0.319178
benign_benign_189,1,0.903671,0.824269,0.020255
benign_benign_19,1,0.886823,0.796660,0.015108
benign_benign_190,1,0.955620,0.915012,0.165888
benign_benign_191,1,0.880643,0.786740,0.037052
benign_benign_192,1,0.929205,0.867771,0.055426
benign_benign_193,1,0.916307,0.845541,0.039013
benign_benign_194,1,0.728530,0.572983,0.051097
benign_benign_195,2,0.919821,0.851544,0.927581
benign_benign_196,1,0.921513,0.854449,0.099965
benign_benign_197,1,0.769639,0.625539,0.027786
benign_benign_198,1,0.950435,0.905551,0.219474
benign_benign_199,1,0.691755,0.528766,0.152395
benign_benign_2,1,0.923911,0.858582,0.063211
benign_benign_20,1,0.892910,0.806538,0.043677
benign_benign_200,1,0.865302,0.762584,0.067438
benign_benign_201,1,0.830116,0.709572,0.042284
benign_benign_202,1,0.840724,0.725214,0.023273
benign_benign_203,1,0.692759,0.529940,0.058480
benign_benign_204,1,0.755044,0.606482,0.032815
benign_benign_205,1,0.584651,0.413079,0.111026
benign_benign_206,1,0.853018,0.743707,0.034255
benign_benign_207,1,0.713692,0.554837,0.118798
benign_benign_208,1,0.881479,0.788075,0.033975
benign_benign_209,1,0.822699,0.698801,0.032539
benign_benign_21,1,0.935955,0.879620,0.016936
benign_benign_210,1,0.451558,0.291621,0.099240
benign_benign_211,1,0.433316,0.276582,0.027299
benign_benign_212,1,0.756606,0.608500,0.073352
benign_benign_213,1,0.864982,0.762086,0.022897
benign_benign_214,1,0.804038,0.672295,0.035544
benign_benign_215,1,0.879586,0.785054,0.043956
benign_benign_216,1,0.818879,0.693306,0.031003
benign_benign_217,1,0.881312,0.787808,0.055320
benign_benign_218,1,0.822381,0.698343,0.076430
benign_benign_219,1,0.755776,0.607427,0.032103
benign_benign_22,1,0.895220,0.810316,0.029530
benign_benign_220,1,0.895289,0.810428,0.025686
benign_benign_221,1,0.857895,0.751152,0.030417
benign_benign_222,1,0.874654,0.777232,0.026730
benign_benign_223,1,0.725737,0.569535,0.026771
benign_benign_224,1,0.401157,0.250904,0.118227
benign_benign_225,1,0.808001,0.677853,0.039677
benign_benign_226,1,0.802781,0.670538,0.064395
benign_benign_227,1,0.872129,0.773252,0.054315
benign_benign_228,1,0.753333,0.604277,0.098611
benign_benign_229,1,0.878343,0.783076,0.086718
benign_benign_23,1,0.828322,0.706954,0.091286
benign_benign_230,1,0.924272,0.859206,0.027918
benign_benign_231,1,0.898164,0.815152,0.078713
benign_benign_232,1,0.769906,0.625892,0.064750
benign_benign_233,1,0.667780,0.501253,0.096065
benign_benign_234,1,0.510520,0.342751,0.074520
benign_benign_235,1,0.866204,0.763986,0.071553
benign_benign_236,1,0.750342,0.600438,0.239097
benign_benign_237,1,0.802648,0.670353,0.079969
benign_benign_238,1,0.880454,0.786439,0.045787
benign_benign_239,1,0.813706,0.685923,0.047518
benign_benign_24,1,0.906685,0.829298,0.037540
benign_benign_240,2,0.818012,0.692065,0.114666
benign_benign_241,1,0.826956,0.704967,0.035646
benign_benign_242,1,0.763140,0.616998,0.066128
benign_benign_243,1,0.754055,0.605208,0.079962
benign_benign_244,1,0.868059,0.766877,0.047918
benign_benign_245,1,0.814762,0.687425,0.047532
benign_benign_246,1,0.051587,0.026477,0.026848
benign_benign_247,1,0.865438,0.762795,0.033949
benign_benign_248,1,0.857143,0.750000,0.020292
benign_benign_249,1,0.772581,0.629436,0.028207
benign_benign_25,2,0.902585,0.822465,0.054439
benign_benign_250,1,0.895307,0.810458,0.044706
benign_benign_251,1,0.861268,0.756339,0.017095
benign_benign_252,1,0.908701,0.832679,0.025472
benign_benign_253,1,0.826116,0.703746,0.018404
benign_benign_254,1,0.896774,0.812865,0.019560
benign_benign_255,1,0.816800,0.690331,0.056085
benign_benign_256,1,0.661179,0.493852,0.050849
benign_benign_257,1,0.735170,0.581241,0.021990
benign_benign_258,1,0.822793,0.698936,0.017985
benign_benign_259,1,0.864768,0.761755,0.025422
benign_benign_26,1,0.966077,0.934381,0.177455
benign_benign_260,1,0.804880,0.673471,0.024031
benign_benign_261,1,0.502813,0.335838,0.063588
benign_benign_262,1,0.649431,0.480857,0.090437
benign_benign_263,1,0.732645,0.578090,0.054049
benign_benign_264,1,0.821263,0.696732,0.088490
benign_benign_265,1,0.755362,0.606893,0.025926
benign_benign_266,1,0.853793,0.744885,0.032058
benign_benign_267,1,0.884368,0.792706,0.021270
benign_benign_268,2,0.878213,0.782870,0.038869
benign_benign_269,1,0.747534,0.596850,0.053651
benign_benign_27,1,0.937126,0.881690,0.046908
benign_benign_270,1,0.873154,0.774865,0.036617
benign_benign_271,1,0.872397,0.773674,0.020012
benign_benign_272,1,0.722858,0.565997,0.039051
benign_benign_273,1,0.508329,0.340778,0.054596
benign_benign_274,1,0.859774,0.754038,0.081482
benign_benign_275,1,0.853948,0.745122,0.027706
benign_benign_276,1,0.537651,0.367662,0.063909
benign_benign_277,1,0.813910,0.686212,0.073573
benign_benign_278,1,0.756833,0.608795,0.068832
benign_benign_279,1,0.836122,0.718393,0.045490
benign_benign_28,1,0.909933,0.834750,0.040006
benign_benign_280,1,0.880526,0.786553,0.082604
benign_benign_281,1,0.809261,0.679629,0.037260
benign_benign_282,1,0.740675,0.588153,0.032538
benign_benign_283,1,0.859769,0.754030,0.027408
benign_benign_284,1,0.867322,0.765727,0.055519
benign_benign_285,1,0.865094,0.762260,0.043416
benign_benign_286,1,0.823959,0.700621,0.073743
benign_benign_287,1,0.734278,0.580126,0.058254
benign_benign_288,1,0.735395,0.581522,0.039314
benign_benign_289,1,0.683773,0.519495,0.043535
benign_benign_29,1,0.883087,0.790650,0.020276
benign_benign_290,1,0.881734,0.788483,0.066779
benign_benign_291,1,0.890173,0.802083,0.019942
benign_benign_292,1,0.852923,0.743562,0.028746
benign_benign_293,1,0.835057,0.716822,0.029209
benign_benign_294,1,0.861314,0.756410,0.046950
benign_benign_295,1,0.893845,0.808065,0.063497
benign_benign_296,1,0.807949,0.677780,0.058180
benign_benign_297,1,0.836316,0.718680,0.019653
benign_benign_298,1,0.646183,0.477304,0.032309
benign_benign_299,1,0.688033,0.524428,0.075445
