case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.925679,0.861641,2.393911
benign_benign_10,1,0.967746,0.937508,0.515384
benign_benign_100,2,0.894078,0.808446,0.370916
benign_benign_101,1,0.934236,0.876588,0.369835
benign_benign_102,1,0.950096,0.904937,0.368577
benign_benign_103,1,0.933238,0.874832,0.370995
benign_benign_104,1,0.896311,0.812104,0.368688
benign_benign_105,1,0.920982,0.853537,0.371380
benign_benign_106,1,0.921370,0.854204,0.367895
benign_benign_107,1,0.930583,0.870178,0.367877
benign_benign_108,1,0.847240,0.734966,0.368408
benign_benign_109,1,0.900496,0.819002,0.368027
benign_benign_11,1,0.916964,0.846660,0.369640
benign_benign_110,1,0.931257,0.871357,0.366531
benign_benign_111,1,0.918931,0.850021,0.366268
benign_benign_112,1,0.915382,0.843968,0.367800
benign_benign_113,1,0.954036,0.912112,0.373582
benign_benign_114,1,0.850661,0.740130,0.367748
benign_benign_115,1,0.854908,0.746585,0.366759
benign_benign_116,1,0.911458,0.837321,0.366719
benign_benign_117,1,0.879435,0.784814,0.369201
benign_benign_118,1,0.895043,0.810024,0.367762
benign_benign_119,1,0.877750,0.782135,0.366510
benign_benign_12,1,0.849722,0.738711,0.366307
benign_benign_120,1,0.863548,0.759864,0.367245
benign_benign_121,1,0.938656,0.884402,0.370836
benign_benign_122,1,0.856292,0.748698,0.367222
benign_benign_123,1,0.910298,0.835365,0.370245
benign_benign_124,1,0.889504,0.800997,0.367041
benign_benign_125,1,0.874391,0.776816,0.367574
benign_benign_126,1,0.842940,0.728519,0.366155
benign_benign_127,1,0.926992,0.863919,0.366730
benign_benign_128,1,0.867930,0.766675,0.367283
benign_benign_129,1,0.896464,0.812356,0.367009
benign_benign_13,1,0.955306,0.914436,0.366730
benign_benign_130,1,0.959408,0.921983,0.370907
benign_benign_131,1,0.940404,0.887512,0.407478
benign_benign_132,1,0.910297,0.835362,0.366877
benign_benign_133,1,0.836962,0.719634,0.367260
benign_benign_134,1,0.897436,0.813953,0.367908
benign_benign_135,1,0.608249,0.437038,0.367660
benign_benign_136,1,0.920687,0.853031,0.371628
benign_benign_137,1,0.926916,0.863787,0.369859
benign_benign_138,1,0.928516,0.866570,0.368359
benign_benign_139,1,0.949620,0.904073,0.367302
benign_benign_14,1,0.861342,0.756453,0.367149
