case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.940657,0.887963,1.912887
benign_benign_10,1,0.985827,0.972050,0.192949
benign_benign_100,2,0.963555,0.929673,0.190678
benign_benign_101,1,0.973996,0.949311,0.168818
benign_benign_102,1,0.983563,0.967657,0.164997
benign_benign_103,1,0.964990,0.932348,0.163613
benign_benign_104,1,0.970404,0.942509,0.163311
benign_benign_105,1,0.957073,0.917681,0.163210
benign_benign_106,1,0.971901,0.945338,0.163692
benign_benign_107,1,0.971345,0.944287,0.162906
benign_benign_108,1,0.933592,0.875455,0.163665
benign_benign_109,1,0.968586,0.939086,0.163040
benign_benign_11,1,0.934025,0.876217,0.164751
benign_benign_110,1,0.971575,0.944721,0.183059
benign_benign_111,1,0.943564,0.893157,0.182091
benign_benign_112,1,0.952747,0.909759,0.184952
benign_benign_113,1,0.965550,0.933394,0.184029
benign_benign_114,1,0.953800,0.911680,0.186448
benign_benign_115,1,0.956267,0.916199,0.234738
benign_benign_116,1,0.917512,0.847596,0.182582
benign_benign_117,1,0.953921,0.911902,0.183725
benign_benign_118,1,0.964434,0.931311,0.182063
benign_benign_119,1,0.955688,0.915136,0.183155
benign_benign_12,1,0.962898,0.928451,0.183207
benign_benign_120,1,0.951271,0.907071,0.182744
benign_benign_121,1,0.966048,0.934326,0.187537
benign_benign_122,1,0.954560,0.913069,0.183444
benign_benign_123,1,0.962158,0.927075,0.182646
benign_benign_124,1,0.931815,0.872335,0.182809
benign_benign_125,1,0.977221,0.955457,0.182622
benign_benign_126,1,0.961104,0.925121,0.183423
benign_benign_127,1,0.962584,0.927867,0.182606
benign_benign_128,1,0.945408,0.896468,0.187200
benign_benign_129,1,0.958707,0.920688,0.184665
benign_benign_13,1,0.968267,0.938486,0.186462
benign_benign_130,1,0.974184,0.949667,0.185119
benign_benign_131,1,0.964712,0.931829,0.184821
benign_benign_132,1,0.955617,0.915007,0.183439
benign_benign_133,1,0.960270,0.923577,0.185371
benign_benign_134,1,0.975060,0.951334,0.185914
benign_benign_135,1,0.966272,0.934745,0.183336
benign_benign_136,1,0.966586,0.935333,0.183861
benign_benign_137,1,0.919170,0.850429,0.182445
benign_benign_138,1,0.956353,0.916357,0.184496
benign_benign_139,1,0.969319,0.940465,0.186034
benign_benign_14,1,0.955600,0.914975,0.183709
benign_benign_140,1,0.971547,0.944669,0.183904
benign_benign_141,1,0.966029,0.934291,0.187244
benign_benign_142,1,0.977425,0.955847,0.182530
benign_benign_143,1,0.960531,0.924059,0.187832
benign_benign_144,1,0.955393,0.914596,0.182768
benign_benign_145,1,0.985106,0.970648,0.182738
benign_benign_146,1,0.937277,0.881957,0.184865
benign_benign_147,2,0.954582,0.913110,0.188482
benign_benign_148,1,0.976055,0.953229,0.186840
benign_benign_149,1,0.966371,0.934930,0.185225
benign_benign_15,1,0.946053,0.897628,0.186105
benign_benign_150,1,0.980695,0.962121,0.185273
benign_benign_151,1,0.956722,0.917034,0.183155
benign_benign_152,1,0.974848,0.950930,0.184156
benign_benign_153,1,0.966850,0.935827,0.182658
benign_benign_154,1,0.940394,0.887494,0.186038
benign_benign_155,1,0.969338,0.940500,0.183059
benign_benign_156,2,0.969160,0.940166,0.187169
benign_benign_157,1,0.965176,0.932697,0.183010
benign_benign_158,1,0.978041,0.957025,0.184086
benign_benign_159,1,0.962648,0.927986,0.184016
benign_benign_16,1,0.969109,0.940068,0.185394
benign_benign_160,1,0.975717,0.952586,0.183261
benign_benign_161,1,0.953370,0.910894,0.183151
benign_benign_162,1,0.916700,0.846210,0.184268
benign_benign_163,2,0.946015,0.897560,0.185939
benign_benign_164,1,0.922812,0.856686,0.182724
benign_benign_165,1,0.972129,0.945769,0.183935
benign_benign_166,1,0.974631,0.950518,0.184468
benign_benign_167,1,0.959255,0.921700,0.183331
benign_benign_168,1,0.976724,0.954507,0.184431
benign_benign_169,1,0.967992,0.937969,0.183460
benign_benign_17,1,0.963867,0.930255,0.183659
benign_benign_170,1,0.955224,0.914286,0.183349
benign_benign_171,1,0.953599,0.911313,0.183223
benign_benign_172,1,0.964934,0.932245,0.186083
benign_benign_173,2,0.976361,0.953814,0.191160
benign_benign_174,1,0.976186,0.953480,0.182637
benign_benign_175,1,0.971998,0.945522,0.182512
benign_benign_176,1,0.969782,0.941337,0.183438
benign_benign_177,1,0.960638,0.924258,0.184257
benign_benign_178,1,0.967135,0.936362,0.184334
benign_benign_179,1,0.966736,0.935614,0.183363
benign_benign_18,2,0.966384,0.934955,0.185778
benign_benign_180,1,0.984064,0.968627,0.183185
benign_benign_181,1,0.946150,0.897803,0.185200
benign_benign_182,1,0.959294,0.921772,0.183023
benign_benign_183,2,0.969942,0.941637,0.188600
benign_benign_184,1,0.975998,0.953122,0.185206
benign_benign_185,1,0.958352,0.920035,0.182568
benign_benign_186,1,0.975738,0.952625,0.183815
benign_benign_187,1,0.968131,0.938230,0.182938
benign_benign_188,1,0.964537,0.931503,0.183387
benign_benign_189,1,0.971550,0.944674,0.182899
benign_benign_19,1,0.954417,0.912808,0.183860
benign_benign_190,1,0.963261,0.929125,0.183289
benign_benign_191,1,0.974716,0.950679,0.183653
benign_benign_192,1,0.967835,0.937674,0.183774
benign_benign_193,1,0.975056,0.951326,0.183774
benign_benign_194,1,0.961489,0.925834,0.183453
benign_benign_195,2,0.926184,0.862517,0.186279
benign_benign_196,1,0.920016,0.851880,0.184128
benign_benign_197,1,0.959791,0.922691,0.183503
benign_benign_198,1,0.978337,0.957592,0.183478
benign_benign_199,1,0.962214,0.927179,0.183558
benign_benign_2,1,0.956486,0.916601,0.183566
benign_benign_20,1,0.962042,0.926861,0.182312
benign_benign_200,1,0.971370,0.944334,0.183221
benign_benign_201,1,0.915829,0.844727,0.233844
benign_benign_202,1,0.972939,0.947303,0.184614
benign_benign_203,1,0.952377,0.909085,0.184462
benign_benign_204,1,0.965347,0.933016,0.183673
benign_benign_205,1,0.924135,0.858969,0.188442
benign_benign_206,1,0.903982,0.824787,0.184930
benign_benign_207,1,0.966629,0.935413,0.184560
benign_benign_208,1,0.967963,0.937914,0.185668
benign_benign_209,1,0.973074,0.947561,0.185920
benign_benign_21,1,0.942463,0.891187,0.185356
benign_benign_210,1,0.954172,0.912360,0.183625
benign_benign_211,1,0.948613,0.902249,0.182898
benign_benign_212,1,0.960842,0.924636,0.183110
benign_benign_213,1,0.964327,0.931112,0.184891
benign_benign_214,1,0.974439,0.950152,0.182244
benign_benign_215,1,0.967394,0.936848,0.183038
benign_benign_216,1,0.964188,0.930853,0.182428
benign_benign_217,1,0.959179,0.921561,0.184912
benign_benign_218,1,0.947031,0.899391,0.183136
benign_benign_219,1,0.972825,0.947088,0.183637
benign_benign_22,1,0.971552,0.944678,0.182928
benign_benign_220,1,0.939231,0.885424,0.183615
benign_benign_221,1,0.896113,0.811780,0.183312
benign_benign_222,1,0.947619,0.900452,0.182777
benign_benign_223,1,0.954881,0.913658,0.183445
benign_benign_224,1,0.963823,0.930172,0.182838
benign_benign_225,1,0.975057,0.951327,0.183970
benign_benign_226,1,0.944301,0.894479,0.183091
benign_benign_227,1,0.970438,0.942573,0.184073
benign_benign_228,1,0.968534,0.938988,0.183445
