case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.927245,0.864359,1.925310
benign_benign_10,1,0.983542,0.967616,0.189324
benign_benign_100,2,0.961824,0.926455,0.174472
benign_benign_101,1,0.970570,0.942824,0.168231
benign_benign_102,1,0.976756,0.954569,0.168022
benign_benign_103,1,0.965358,0.933036,0.165519
benign_benign_104,1,0.962428,0.927577,0.163417
benign_benign_105,1,0.965271,0.932873,0.168052
benign_benign_106,1,0.972005,0.945534,0.164243
benign_benign_107,1,0.963553,0.929669,0.163543
benign_benign_108,1,0.919959,0.851782,0.164246
benign_benign_109,1,0.980097,0.960970,0.164028
benign_benign_11,1,0.934273,0.876654,0.162692
benign_benign_110,1,0.970729,0.943123,0.162844
benign_benign_111,1,0.923646,0.858124,0.163042
benign_benign_112,1,0.958707,0.920689,0.163037
benign_benign_113,1,0.964953,0.932280,0.163931
benign_benign_114,1,0.936975,0.881423,0.165757
benign_benign_115,1,0.955061,0.913988,0.217104
benign_benign_116,1,0.942753,0.891706,0.163342
benign_benign_117,1,0.944440,0.894729,0.162857
benign_benign_118,1,0.947290,0.899859,0.164634
benign_benign_119,1,0.963195,0.929003,0.162586
benign_benign_12,1,0.951974,0.908350,0.162435
benign_benign_120,1,0.932938,0.874306,0.162376
benign_benign_121,1,0.966913,0.935946,0.164873
benign_benign_122,1,0.959435,0.922033,0.162437
benign_benign_123,1,0.958038,0.919456,0.162231
benign_benign_124,1,0.923507,0.857885,0.163045
benign_benign_125,1,0.972268,0.946032,0.162239
benign_benign_126,1,0.931274,0.871387,0.162787
benign_benign_127,1,0.955879,0.915487,0.164259
benign_benign_128,1,0.943942,0.893836,0.164582
benign_benign_129,1,0.959539,0.922226,0.162471
benign_benign_13,1,0.968162,0.938290,0.163607
benign_benign_130,1,0.973111,0.947629,0.163162
benign_benign_131,1,0.972196,0.945897,0.161883
benign_benign_132,1,0.954831,0.913566,0.165848
benign_benign_133,1,0.936431,0.880462,0.163154
benign_benign_134,1,0.964841,0.932070,0.162841
benign_benign_135,1,0.953672,0.911447,0.162322
benign_benign_136,1,0.967399,0.936857,0.162737
benign_benign_137,1,0.929587,0.868438,0.163039
benign_benign_138,1,0.964817,0.932025,0.163299
benign_benign_139,1,0.960544,0.924084,0.162727
benign_benign_14,1,0.956169,0.916019,0.163434
benign_benign_140,1,0.976052,0.953225,0.163444
benign_benign_141,1,0.961961,0.926710,0.162790
benign_benign_142,1,0.956891,0.917344,0.162606
benign_benign_143,1,0.947331,0.899932,0.163060
benign_benign_144,1,0.955139,0.914130,0.162502
benign_benign_145,1,0.973391,0.948161,0.165632
benign_benign_146,1,0.932884,0.874210,0.168038
benign_benign_147,2,0.946424,0.898296,0.167183
benign_benign_148,1,0.973451,0.948276,0.162738
benign_benign_149,1,0.957288,0.918074,0.161574
benign_benign_15,1,0.947036,0.899399,0.162463
benign_benign_150,1,0.981502,0.963675,0.163002
benign_benign_151,1,0.960600,0.924186,0.163361
benign_benign_152,1,0.958977,0.921187,0.162489
benign_benign_153,1,0.945576,0.896770,0.161926
benign_benign_154,1,0.947343,0.899954,0.163498
benign_benign_155,1,0.977697,0.956368,0.163226
benign_benign_156,2,0.973610,0.948577,0.165195
benign_benign_157,1,0.965348,0.933018,0.162727
benign_benign_158,1,0.979019,0.958900,0.162489
benign_benign_159,1,0.951216,0.906970,0.164917
benign_benign_16,1,0.957942,0.919279,0.162853
benign_benign_160,1,0.960721,0.924411,0.165349
benign_benign_161,1,0.945034,0.895795,0.163145
benign_benign_162,1,0.916767,0.846325,0.162559
benign_benign_163,2,0.939793,0.886425,0.165385
benign_benign_164,1,0.930142,0.869408,0.163412
benign_benign_165,1,0.959900,0.922892,0.163326
benign_benign_166,1,0.966369,0.934927,0.163138
benign_benign_167,1,0.939640,0.886152,0.163116
benign_benign_168,1,0.974687,0.950624,0.162902
benign_benign_169,1,0.970819,0.943292,0.162750
benign_benign_17,1,0.964232,0.930934,0.165291
benign_benign_170,1,0.954068,0.912170,0.163551
benign_benign_171,1,0.919985,0.851826,0.164016
benign_benign_172,1,0.975269,0.951732,0.163002
benign_benign_173,2,0.973532,0.948430,0.166043
benign_benign_174,1,0.978351,0.957619,0.162568
benign_benign_175,1,0.956818,0.917211,0.162855
benign_benign_176,1,0.942177,0.890675,0.162539
benign_benign_177,1,0.956091,0.915876,0.162499
benign_benign_178,1,0.973188,0.947777,0.163071
benign_benign_179,1,0.908389,0.832154,0.163323
benign_benign_18,2,0.965078,0.932514,0.168717
benign_benign_180,1,0.975610,0.952381,0.162467
benign_benign_181,1,0.943974,0.893892,0.163018
benign_benign_182,1,0.945376,0.896411,0.163436
benign_benign_183,2,0.970931,0.943505,0.165336
benign_benign_184,1,0.972976,0.947375,0.162783
benign_benign_185,1,0.948281,0.901649,0.162499
benign_benign_186,1,0.974792,0.950824,0.162941
benign_benign_187,1,0.938322,0.883810,0.165104
benign_benign_188,1,0.964023,0.930546,0.162944
benign_benign_189,1,0.975295,0.951782,0.162432
benign_benign_19,1,0.942879,0.891931,0.165433
benign_benign_190,1,0.955810,0.915360,0.163142
benign_benign_191,1,0.963849,0.930221,0.164932
benign_benign_192,1,0.962591,0.927880,0.162680
benign_benign_193,1,0.977723,0.956418,0.163165
benign_benign_194,1,0.921760,0.854875,0.162601
benign_benign_195,2,0.936834,0.881173,0.166381
benign_benign_196,1,0.933121,0.874627,0.164574
benign_benign_197,1,0.925873,0.861978,0.163462
benign_benign_198,1,0.983135,0.966829,0.163223
benign_benign_199,1,0.946306,0.898085,0.165280
benign_benign_2,1,0.968760,0.939412,0.164065
benign_benign_20,1,0.974153,0.949608,0.163071
benign_benign_200,1,0.973676,0.948702,0.165510
benign_benign_201,1,0.910767,0.836155,0.213768
benign_benign_202,1,0.936355,0.880326,0.162183
benign_benign_203,1,0.966143,0.934504,0.163500
benign_benign_204,1,0.940202,0.887152,0.162323
benign_benign_205,1,0.939665,0.886197,0.162316
benign_benign_206,1,0.916935,0.846611,0.163387
benign_benign_207,1,0.943743,0.893478,0.163538
benign_benign_208,1,0.952503,0.909314,0.163102
benign_benign_209,1,0.964621,0.931661,0.164715
benign_benign_21,1,0.943033,0.892206,0.164385
benign_benign_210,1,0.912407,0.838923,0.163892
benign_benign_211,1,0.958352,0.920035,0.162768
benign_benign_212,1,0.922603,0.856326,0.166524
benign_benign_213,1,0.966660,0.935472,0.163133
benign_benign_214,1,0.960375,0.923771,0.163147
benign_benign_215,1,0.954083,0.912199,0.163841
benign_benign_216,1,0.964642,0.931699,0.163513
benign_benign_217,1,0.952042,0.908474,0.163011
benign_benign_218,1,0.940237,0.887215,0.162789
benign_benign_219,1,0.917904,0.848265,0.164784
benign_benign_22,1,0.961459,0.925779,0.165355
benign_benign_220,1,0.952641,0.909565,0.163754
benign_benign_221,1,0.930077,0.869293,0.163470
benign_benign_222,1,0.953533,0.911193,0.163012
benign_benign_223,1,0.942671,0.891558,0.162940
benign_benign_224,1,0.958407,0.920135,0.162915
benign_benign_225,1,0.971628,0.944821,0.162497
benign_benign_226,1,0.946510,0.898452,0.163754
benign_benign_227,1,0.954959,0.913801,0.164651
benign_benign_228,1,0.944482,0.894805,0.163191
benign_benign_229,1,0.972885,0.947202,0.163190
benign_benign_23,1,0.959268,0.921724,0.165278
benign_benign_230,1,0.981429,0.963535,0.162729
benign_benign_231,1,0.952310,0.908962,0.163408
benign_benign_232,1,0.967294,0.936660,0.162930
benign_benign_233,1,0.937981,0.883205,0.162136
benign_benign_234,1,0.954422,0.912818,0.162526
benign_benign_235,1,0.934255,0.876621,0.162497
benign_benign_236,1,0.935659,0.879096,0.164053
