case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.002106
volume_41_slice_26,3,0.772727,0.629630,0.002569
volume_41_slice_27,1,0.823834,0.700441,0.001167
volume_41_slice_28,1,0.753247,0.604167,0.001190
volume_41_slice_29,1,0.829964,0.709350,0.001321
volume_41_slice_30,2,0.843658,0.729592,0.001986
volume_41_slice_31,2,0.824415,0.701280,0.002051
volume_41_slice_32,3,0.777264,0.635676,0.002676
volume_41_slice_33,2,0.775416,0.633208,0.002204
volume_41_slice_34,6,0.815965,0.689139,0.004841
volume_41_slice_35,5,0.827688,0.706030,0.004609
volume_41_slice_36,5,0.836898,0.719540,0.004576
volume_41_slice_37,6,0.842235,0.727466,0.005412
volume_41_slice_38,7,0.832421,0.712946,0.006282
volume_41_slice_39,7,0.803310,0.671277,0.006390
volume_41_slice_40,3,0.729938,0.574727,0.003495
volume_41_slice_41,3,0.670012,0.503773,0.003343
volume_41_slice_42,4,0.711878,0.552647,0.004251
volume_41_slice_43,2,0.746406,0.595413,0.002904
volume_41_slice_44,2,0.784652,0.645619,0.002824
volume_41_slice_45,2,0.827059,0.705116,0.002764
volume_41_slice_46,2,0.869034,0.768400,0.002838
volume_41_slice_47,1,0.886095,0.795485,0.002158
volume_41_slice_48,1,0.892608,0.806045,0.002144
volume_41_slice_49,2,0.899113,0.816717,0.002844
volume_41_slice_50,1,0.950560,0.905778,0.002197
volume_41_slice_51,1,0.945166,0.896032,0.002183
volume_41_slice_52,1,0.937801,0.882886,0.002337
volume_41_slice_53,1,0.945334,0.896335,0.002188
volume_41_slice_54,3,0.938891,0.884821,0.003478
volume_41_slice_55,2,0.944421,0.894695,0.002776
volume_41_slice_56,2,0.944264,0.894412,0.002673
volume_41_slice_57,2,0.937739,0.882776,0.002637
volume_41_slice_58,2,0.934606,0.877239,0.002593
volume_41_slice_59,1,0.936261,0.880160,0.001848
volume_41_slice_60,1,0.934331,0.876756,0.001804
volume_41_slice_61,1,0.916751,0.846297,0.001884
volume_41_slice_62,2,0.901019,0.819867,0.002527
volume_41_slice_63,1,0.794529,0.659102,0.001800
volume_41_slice_64,1,0.761626,0.615021,0.001773
volume_41_slice_65,4,0.744422,0.592892,0.003762
volume_41_slice_66,2,0.685368,0.521338,0.002400
volume_41_slice_67,4,0.731566,0.576747,0.004009
volume_41_slice_68,5,0.731109,0.576179,0.004406
volume_41_slice_69,4,0.781395,0.641221,0.004053
volume_41_slice_70,4,0.791689,0.655204,0.003819
volume_41_slice_71,6,0.808889,0.679104,0.004826
volume_41_slice_72,6,0.815212,0.688065,0.004776
volume_41_slice_73,2,0.824510,0.701418,0.002365
volume_41_slice_74,1,0.839721,0.723724,0.001681
volume_41_slice_75,1,0.879678,0.785201,0.001674
volume_41_slice_76,2,0.893650,0.807746,0.002416
volume_41_slice_77,2,0.910500,0.835704,0.002238
volume_41_slice_78,1,0.875646,0.778799,0.001670
volume_41_slice_79,2,0.881830,0.788636,0.002340
volume_41_slice_80,2,0.889969,0.801752,0.002342
volume_41_slice_81,2,0.857836,0.751062,0.002633
volume_41_slice_82,2,0.842319,0.727592,0.002598
volume_41_slice_83,2,0.867111,0.765399,0.002586
volume_41_slice_84,3,0.874747,0.777379,0.003036
volume_41_slice_85,2,0.866450,0.764368,0.002116
volume_41_slice_86,2,0.867429,0.765893,0.002199
volume_41_slice_87,1,0.872626,0.774034,0.001515
volume_41_slice_88,1,0.867429,0.765893,0.001526
volume_41_slice_89,2,0.842170,0.727370,0.002365
volume_41_slice_90,1,0.811493,0.682783,0.001312
volume_41_slice_91,1,0.792779,0.656697,0.001408
volume_41_slice_92,2,0.790252,0.653237,0.001987
volume_41_slice_93,1,0.792943,0.656923,0.001249
volume_41_slice_94,1,0.781631,0.641538,0.001234
volume_41_slice_95,1,0.781563,0.641447,0.001248
volume_41_slice_96,1,0.802482,0.670121,0.001211
volume_41_slice_97,2,0.853738,0.744802,0.001942
volume_41_slice_98,1,0.864740,0.761711,0.001204
volume_41_slice_99,2,0.867788,0.766454,0.001899
volume_41_slice_100,2,0.845272,0.732010,0.001846
volume_41_slice_101,1,0.836834,0.719444,0.001199
volume_41_slice_102,1,0.853974,0.745161,0.001162
volume_41_slice_103,1,0.835886,0.718045,0.001113
volume_41_slice_104,1,0.798883,0.665116,0.001103
volume_41_slice_105,3,0.574468,0.402985,0.002307
volume_41_slice_106,2,0.636364,0.466667,0.001644
volume_41_slice_107,1,0.000000,0.000000,0.000785
volume_185_slice_26,1,0.000000,0.000000,0.000664
volume_185_slice_27,1,0.804598,0.673077,0.001034
volume_185_slice_28,1,0.857143,0.750000,0.001031
volume_185_slice_29,2,0.765957,0.620690,0.001735
volume_185_slice_30,3,0.790698,0.653846,0.002539
