case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.001026
volume_41_slice_26,3,0.684211,0.520000,0.000551
volume_41_slice_27,1,0.830287,0.709821,0.000246
volume_41_slice_28,1,0.757620,0.609813,0.000433
volume_41_slice_29,1,0.833130,0.713987,0.000510
volume_41_slice_30,2,0.847525,0.735395,0.000476
volume_41_slice_31,2,0.824725,0.701729,0.000479
volume_41_slice_32,3,0.781104,0.640830,0.000677
volume_41_slice_33,2,0.776596,0.634783,0.000717
volume_41_slice_34,6,0.828798,0.707648,0.001346
