case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.001895
volume_41_slice_26,3,0.710526,0.551020,0.002194
volume_41_slice_27,1,0.792023,0.655660,0.001800
volume_41_slice_28,1,0.654611,0.486559,0.001976
volume_41_slice_29,1,0.813433,0.685535,0.002271
volume_41_slice_30,2,0.770386,0.626527,0.002646
volume_41_slice_31,2,0.788411,0.650725,0.003500
volume_41_slice_32,3,0.779315,0.638425,0.002500
volume_41_slice_33,2,0.769906,0.625892,0.003580
volume_41_slice_34,6,0.816951,0.690547,0.005362
