case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000548
volume_41_slice_26,3,0.000000,0.000000,0.023793
volume_41_slice_27,1,0.830287,0.709821,0.017651
volume_41_slice_28,1,0.760116,0.613054,0.019257
volume_41_slice_29,1,0.840336,0.724638,0.019932
volume_41_slice_30,2,0.846154,0.733333,0.018881
volume_41_slice_31,2,0.021918,0.011080,0.035076
volume_41_slice_32,3,0.784392,0.645267,0.019510
volume_41_slice_33,2,0.784884,0.645933,0.038280
volume_41_slice_34,6,0.804585,0.673059,0.053208
