case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000341
volume_41_slice_26,3,0.625000,0.454545,0.031622
volume_41_slice_27,1,0.607692,0.436464,0.036358
volume_41_slice_28,1,0.790941,0.654179,0.040040
volume_41_slice_29,1,0.822602,0.698661,0.041805
volume_41_slice_30,2,0.851964,0.742105,0.043187
volume_41_slice_31,2,0.823325,0.699704,0.075800
volume_41_slice_32,3,0.787220,0.649103,0.047954
volume_41_slice_33,2,0.762774,0.616519,0.081182
volume_41_slice_34,6,0.790378,0.653409,0.111511
volume_41_slice_35,5,0.795243,0.660086,0.144481
volume_41_slice_36,5,0.799052,0.665351,0.118006
volume_41_slice_37,6,0.799147,0.665483,0.149940
volume_41_slice_38,7,0.759145,0.611792,0.153822
volume_41_slice_39,7,0.823254,0.699602,0.159409
volume_41_slice_40,3,0.644892,0.475897,0.106981
volume_41_slice_41,3,0.664437,0.497495,0.085980
volume_41_slice_42,4,0.694556,0.532045,0.116905
volume_41_slice_43,2,0.735118,0.581176,0.117259
volume_41_slice_44,2,0.774000,0.631321,0.092630
volume_41_slice_45,2,0.769684,0.625599,0.095816
volume_41_slice_46,2,0.792546,0.656377,0.097139
volume_41_slice_47,1,0.835071,0.716842,0.099544
volume_41_slice_48,1,0.785270,0.646456,0.104902
volume_41_slice_49,2,0.787609,0.649633,0.104369
volume_41_slice_50,1,0.786105,0.647590,0.105861
volume_41_slice_51,1,0.773659,0.630867,0.100536
volume_41_slice_52,1,0.776463,0.634605,0.099117
volume_41_slice_53,1,0.784055,0.644812,0.098241
volume_41_slice_54,3,0.789116,0.651685,0.093849
volume_41_slice_55,2,0.788757,0.651196,0.092481
volume_41_slice_56,2,0.787390,0.649335,0.087270
volume_41_slice_57,2,0.802019,0.669476,0.083663
volume_41_slice_58,2,0.892166,0.805324,0.082420
volume_41_slice_59,1,0.879739,0.785299,0.081715
volume_41_slice_60,1,0.870516,0.770719,0.080945
volume_41_slice_61,1,0.864640,0.761555,0.079046
volume_41_slice_62,2,0.793012,0.657018,0.078535
volume_41_slice_63,1,0.775156,0.632861,0.076895
volume_41_slice_64,1,0.778761,0.637681,0.076065
volume_41_slice_65,4,0.770111,0.626164,0.077145
volume_41_slice_66,2,0.802813,0.670582,0.076290
volume_41_slice_67,4,0.624058,0.453550,0.107206
volume_41_slice_68,5,0.594318,0.422797,0.101373
volume_41_slice_69,4,0.646498,0.477648,0.130833
volume_41_slice_70,4,0.552688,0.381872,0.099299
volume_41_slice_71,6,0.560101,0.388986,0.094974
volume_41_slice_72,6,0.599465,0.428026,0.065839
volume_41_slice_73,2,0.657904,0.490207,0.096784
volume_41_slice_74,1,0.645735,0.476815,0.067046
volume_41_slice_75,1,0.690358,0.527135,0.067139
volume_41_slice_76,2,0.731882,0.577140,0.096496
volume_41_slice_77,2,0.740654,0.588125,0.065812
volume_41_slice_78,1,0.750875,0.601121,0.067375
volume_41_slice_79,2,0.660405,0.492989,0.065612
volume_41_slice_80,2,0.634454,0.464615,0.064435
volume_41_slice_81,2,0.664592,0.497670,0.095208
volume_41_slice_82,2,0.652935,0.484709,0.093494
volume_41_slice_83,2,0.681031,0.516336,0.092830
volume_41_slice_84,3,0.723264,0.566494,0.091979
volume_41_slice_85,2,0.731903,0.577167,0.061015
volume_41_slice_86,2,0.803855,0.672038,0.087662
volume_41_slice_87,1,0.786530,0.648166,0.057299
volume_41_slice_88,1,0.751142,0.601463,0.055172
volume_41_slice_89,2,0.719776,0.562227,0.082769
volume_41_slice_90,1,0.729851,0.574618,0.050727
volume_41_slice_91,1,0.734891,0.580892,0.050326
volume_41_slice_92,2,0.738568,0.585499,0.048493
volume_41_slice_93,1,0.744444,0.592920,0.046618
volume_41_slice_94,1,0.717217,0.559110,0.046308
volume_41_slice_95,1,0.736842,0.583333,0.044676
volume_41_slice_96,1,0.751357,0.601739,0.044049
volume_41_slice_97,2,0.801394,0.668605,0.043176
volume_41_slice_98,1,0.781170,0.640919,0.042025
volume_41_slice_99,2,0.787879,0.650000,0.041032
volume_41_slice_100,2,0.819315,0.693931,0.040338
volume_41_slice_101,1,0.812392,0.684058,0.038921
volume_41_slice_102,1,0.867188,0.765517,0.036920
volume_41_slice_103,1,0.787286,0.649194,0.036118
volume_41_slice_104,1,0.747664,0.597015,0.035362
volume_41_slice_105,3,0.627451,0.457143,0.034045
volume_41_slice_106,2,0.611765,0.440678,0.031722
volume_41_slice_107,1,0.000000,0.000000,0.030111
volume_185_slice_26,1,0.000000,0.000000,0.000170
volume_185_slice_27,1,0.417910,0.264151,0.032180
volume_185_slice_28,1,0.467532,0.305085,0.032036
volume_185_slice_29,2,0.660714,0.493333,0.032484
volume_185_slice_30,3,0.400000,0.250000,0.062034
volume_185_slice_31,1,0.780702,0.640288,0.033728
volume_185_slice_32,1,0.868327,0.767296,0.034437
volume_185_slice_33,1,0.851765,0.741803,0.035854
volume_185_slice_34,1,0.860558,0.755245,0.038006
volume_185_slice_35,3,0.813483,0.685606,0.042189
volume_185_slice_36,2,0.782768,0.643072,0.075333
volume_185_slice_37,1,0.607898,0.436677,0.050896
volume_185_slice_38,2,0.784362,0.645226,0.053394
volume_185_slice_39,3,0.797796,0.663611,0.085902
volume_185_slice_40,1,0.645766,0.476850,0.063704
volume_185_slice_41,1,0.799707,0.666259,0.067600
volume_185_slice_42,7,0.846797,0.734300,0.160869
volume_185_slice_43,4,0.829732,0.709010,0.163038
volume_185_slice_44,3,0.702628,0.541578,0.079610
volume_185_slice_45,3,0.845283,0.732026,0.114673
volume_185_slice_46,1,0.729599,0.574307,0.088223
volume_185_slice_47,1,0.899149,0.816777,0.090344
volume_185_slice_48,2,0.895219,0.810314,0.118544
volume_185_slice_49,3,0.908178,0.831800,0.086369
volume_185_slice_50,1,0.913321,0.840470,0.083555
volume_185_slice_51,3,0.923440,0.857769,0.112981
volume_185_slice_52,4,0.921194,0.853901,0.080886
volume_185_slice_53,1,0.929633,0.868518,0.081284
volume_185_slice_54,3,0.928302,0.866197,0.080221
volume_185_slice_55,2,0.896896,0.813066,0.105993
volume_185_slice_56,3,0.834014,0.715287,0.082098
volume_185_slice_57,3,0.798672,0.664824,0.081330
volume_185_slice_58,2,0.828212,0.706794,0.083227
volume_185_slice_59,5,0.841053,0.725704,0.112502
volume_185_slice_60,7,0.819738,0.694538,0.136351
volume_185_slice_61,5,0.798505,0.664593,0.102571
volume_185_slice_62,5,0.803993,0.672231,0.097956
volume_185_slice_63,7,0.812312,0.683944,0.216252
volume_185_slice_64,4,0.734893,0.580894,0.093585
volume_185_slice_65,1,0.750958,0.601227,0.059572
volume_185_slice_66,1,0.758593,0.611076,0.059418
volume_185_slice_67,2,0.882883,0.790323,0.058815
volume_185_slice_68,2,0.879619,0.785106,0.054258
volume_185_slice_69,1,0.879594,0.785068,0.051846
volume_185_slice_70,3,0.876783,0.780600,0.080698
volume_185_slice_71,9,0.843924,0.729990,0.206525
volume_185_slice_72,10,0.793737,0.658013,0.208292
volume_185_slice_73,10,0.755802,0.607461,0.277058
volume_185_slice_74,12,0.734674,0.580620,0.215301
volume_185_slice_75,10,0.676590,0.511247,0.186379
volume_185_slice_76,10,0.662385,0.495199,0.216578
volume_185_slice_77,9,0.719307,0.561654,0.185329
volume_185_slice_78,11,0.748127,0.597606,0.179398
volume_185_slice_79,7,0.757842,0.610101,0.148453
volume_185_slice_80,4,0.782380,0.642549,0.146521
volume_185_slice_81,6,0.785185,0.646341,0.173338
volume_185_slice_82,3,0.788593,0.650972,0.115936
volume_185_slice_83,2,0.805658,0.674562,0.086115
volume_185_slice_84,4,0.810710,0.681675,0.113574
volume_185_slice_85,1,0.835113,0.716904,0.053541
volume_185_slice_86,1,0.843137,0.728814,0.053204
volume_185_slice_87,1,0.869709,0.769455,0.053770
volume_185_slice_88,1,0.870690,0.770992,0.054080
volume_185_slice_89,2,0.868980,0.768315,0.054595
volume_185_slice_90,1,0.848548,0.736937,0.055832
volume_185_slice_91,1,0.852004,0.742167,0.056159
volume_185_slice_92,1,0.831022,0.710896,0.057188
volume_185_slice_93,1,0.756405,0.608240,0.055357
volume_185_slice_94,2,0.812030,0.683544,0.055694
volume_185_slice_95,1,0.841840,0.726877,0.054237
volume_185_slice_96,3,0.797920,0.663782,0.080276
volume_185_slice_97,1,0.756710,0.608635,0.046202
volume_185_slice_98,1,0.764088,0.618238,0.045274
volume_185_slice_99,1,0.765914,0.620632,0.044106
volume_185_slice_100,1,0.778378,0.637168,0.043221
volume_185_slice_101,1,0.779621,0.638835,0.042579
volume_185_slice_102,1,0.787261,0.649160,0.041925
volume_185_slice_103,1,0.807212,0.676744,0.040953
