case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.625000,0.454545,2.149730
volume_41_slice_26,3,0.677419,0.512195,0.499571
volume_41_slice_27,1,0.708241,0.548276,0.367029
volume_41_slice_28,1,0.703356,0.542443,0.366854
volume_41_slice_29,1,0.774477,0.631957,0.366838
volume_41_slice_30,2,0.849558,0.738462,0.370060
volume_41_slice_31,2,0.915921,0.844884,0.368014
volume_41_slice_32,3,0.895330,0.810496,0.371995
volume_41_slice_33,2,0.893831,0.808042,0.369372
volume_41_slice_34,6,0.926799,0.863584,0.377868
volume_41_slice_35,5,0.912752,0.839506,0.375627
volume_41_slice_36,5,0.902738,0.822719,0.375579
volume_41_slice_37,6,0.903930,0.824701,0.378307
volume_41_slice_38,7,0.867784,0.766447,0.378968
volume_41_slice_39,7,0.876150,0.779597,0.377960
volume_41_slice_40,3,0.822260,0.698168,0.371183
volume_41_slice_41,3,0.802930,0.670747,0.374342
volume_41_slice_42,4,0.838100,0.721318,0.372203
volume_41_slice_43,2,0.845848,0.732874,0.367999
volume_41_slice_44,2,0.797118,0.662673,0.371366
volume_41_slice_45,2,0.808354,0.678351,0.366507
volume_41_slice_46,2,0.824631,0.701594,0.370516
volume_41_slice_47,1,0.838477,0.721878,0.380338
volume_41_slice_48,1,0.824922,0.702015,0.367000
volume_41_slice_49,2,0.823759,0.700331,0.369224
volume_41_slice_50,1,0.800628,0.667540,0.365798
volume_41_slice_51,1,0.779209,0.638282,0.370194
volume_41_slice_52,1,0.776346,0.634449,0.368128
volume_41_slice_53,1,0.791452,0.654879,0.367972
volume_41_slice_54,3,0.796963,0.662460,0.372587
volume_41_slice_55,2,0.787959,0.650109,0.411356
volume_41_slice_56,2,0.813026,0.684956,0.368401
volume_41_slice_57,2,0.820772,0.696025,0.368803
volume_41_slice_58,2,0.834733,0.716345,0.369032
volume_41_slice_59,1,0.867242,0.765603,0.366611
volume_41_slice_60,1,0.862325,0.757971,0.368496
volume_41_slice_61,1,0.841582,0.726493,0.365417
volume_41_slice_62,2,0.801063,0.668145,0.368149
volume_41_slice_63,1,0.766917,0.621951,0.367684
volume_41_slice_64,1,0.765443,0.620014,0.371576
volume_41_slice_65,4,0.750488,0.600625,0.374707
volume_41_slice_66,2,0.722796,0.565921,0.368444
volume_41_slice_67,4,0.634783,0.464968,0.374004
volume_41_slice_68,5,0.629551,0.459376,0.375210
volume_41_slice_69,4,0.605499,0.434205,0.372243
volume_41_slice_70,4,0.585294,0.413721,0.375554
volume_41_slice_71,6,0.582861,0.411294,0.376423
volume_41_slice_72,6,0.596470,0.424979,0.376388
volume_41_slice_73,2,0.661393,0.494091,0.370607
volume_41_slice_74,1,0.651769,0.483425,0.367714
volume_41_slice_75,1,0.693470,0.530772,0.364993
volume_41_slice_76,2,0.701735,0.540518,0.368504
