case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,1.000000,1.000000,2.060946
volume_41_slice_26,3,0.717391,0.559322,0.196839
volume_41_slice_27,1,0.855305,0.747191,0.170554
volume_41_slice_28,1,0.922242,0.855705,0.171315
volume_41_slice_29,1,0.939394,0.885714,0.169889
volume_41_slice_30,2,0.959255,0.921700,0.172936
volume_41_slice_31,2,0.949379,0.903636,0.172417
volume_41_slice_32,3,0.958162,0.919685,0.176046
volume_41_slice_33,2,0.946846,0.899058,0.173665
volume_41_slice_34,6,0.953197,0.910579,0.180930
volume_41_slice_35,5,0.928489,0.866523,0.180866
volume_41_slice_36,5,0.932859,0.874166,0.184392
volume_41_slice_37,6,0.934862,0.877692,0.182705
volume_41_slice_38,7,0.936667,0.880878,0.186703
volume_41_slice_39,7,0.927660,0.865079,0.184695
volume_41_slice_40,3,0.909767,0.834470,0.177868
volume_41_slice_41,3,0.922708,0.856507,0.176289
volume_41_slice_42,4,0.919925,0.851722,0.175160
volume_41_slice_43,2,0.925535,0.861391,0.172281
volume_41_slice_44,2,0.935730,0.879223,0.174557
volume_41_slice_45,2,0.950806,0.906225,0.173220
volume_41_slice_46,2,0.956969,0.917489,0.172945
volume_41_slice_47,1,0.959744,0.922603,0.169785
volume_41_slice_48,1,0.962905,0.928463,0.169990
volume_41_slice_49,2,0.954349,0.912683,0.175886
volume_41_slice_50,1,0.954378,0.912737,0.174583
volume_41_slice_51,1,0.956130,0.915947,0.172012
volume_41_slice_52,1,0.954816,0.913539,0.170928
volume_41_slice_53,1,0.951238,0.907011,0.170609
volume_41_slice_54,3,0.951570,0.907615,0.177569
volume_41_slice_55,2,0.951023,0.906619,0.181316
volume_41_slice_56,2,0.954228,0.912464,0.178904
volume_41_slice_57,2,0.948746,0.902490,0.174294
volume_41_slice_58,2,0.952745,0.909755,0.178249
volume_41_slice_59,1,0.945199,0.896093,0.173463
volume_41_slice_60,1,0.946424,0.898298,0.170438
volume_41_slice_61,1,0.950096,0.904936,0.170632
volume_41_slice_62,2,0.946816,0.899004,0.172255
volume_41_slice_63,1,0.931633,0.872015,0.174133
volume_41_slice_64,1,0.926593,0.863226,0.171033
volume_41_slice_65,4,0.919342,0.850724,0.175111
volume_41_slice_66,2,0.898681,0.816004,0.170206
volume_41_slice_67,4,0.887255,0.797357,0.179059
volume_41_slice_68,5,0.873863,0.775983,0.233916
volume_41_slice_69,4,0.891663,0.804505,0.178337
volume_41_slice_70,4,0.887606,0.797923,0.177397
