case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,1.000000,1.000000,1.894810
volume_41_slice_26,3,0.755102,0.606557,0.248599
volume_41_slice_27,1,0.881579,0.788235,0.169833
volume_41_slice_28,1,0.925996,0.862191,0.174209
volume_41_slice_29,1,0.941844,0.890080,0.173468
volume_41_slice_30,2,0.949471,0.903803,0.176094
volume_41_slice_31,2,0.949904,0.904587,0.183650
volume_41_slice_32,3,0.946667,0.898734,0.193604
volume_41_slice_33,2,0.952654,0.909589,0.178964
volume_41_slice_34,6,0.954990,0.913858,0.191173
volume_41_slice_35,5,0.922989,0.856990,0.202529
volume_41_slice_36,5,0.942828,0.891841,0.188920
volume_41_slice_37,6,0.937019,0.881500,0.211765
volume_41_slice_38,7,0.935131,0.878165,0.191691
volume_41_slice_39,7,0.931475,0.871739,0.203199
volume_41_slice_40,3,0.911059,0.836646,0.183004
volume_41_slice_41,3,0.929305,0.867945,0.181695
volume_41_slice_42,4,0.923243,0.857430,0.182392
volume_41_slice_43,2,0.915280,0.843793,0.173574
volume_41_slice_44,2,0.935595,0.878984,0.175852
volume_41_slice_45,2,0.944919,0.895589,0.171964
volume_41_slice_46,2,0.954254,0.912510,0.175680
volume_41_slice_47,1,0.958975,0.921184,0.171198
volume_41_slice_48,1,0.963209,0.929030,0.169677
volume_41_slice_49,2,0.956761,0.917106,0.172541
volume_41_slice_50,1,0.954660,0.913254,0.174276
volume_41_slice_51,1,0.958270,0.919882,0.171719
volume_41_slice_52,1,0.955880,0.915488,0.174219
volume_41_slice_53,1,0.950870,0.906341,0.168016
volume_41_slice_54,3,0.949850,0.904490,0.184168
volume_41_slice_55,2,0.952595,0.909481,0.170412
volume_41_slice_56,2,0.952075,0.908534,0.179279
volume_41_slice_57,2,0.944505,0.894846,0.171242
volume_41_slice_58,2,0.950000,0.904762,0.169764
volume_41_slice_59,1,0.943345,0.892765,0.170463
volume_41_slice_60,1,0.943669,0.893345,0.169185
volume_41_slice_61,1,0.937393,0.882163,0.170956
volume_41_slice_62,2,0.943425,0.892909,0.173878
volume_41_slice_63,1,0.934097,0.876344,0.168645
volume_41_slice_64,1,0.915883,0.844819,0.170442
volume_41_slice_65,4,0.917687,0.847895,0.177236
volume_41_slice_66,2,0.893342,0.807242,0.171216
volume_41_slice_67,4,0.884256,0.792526,0.177523
volume_41_slice_68,5,0.882257,0.789320,0.181882
volume_41_slice_69,4,0.878292,0.782996,0.176740
volume_41_slice_70,4,0.901275,0.820292,0.229388
volume_41_slice_71,6,0.942563,0.891365,0.180812
volume_41_slice_72,6,0.935690,0.879151,0.186365
volume_41_slice_73,2,0.927390,0.864610,0.173117
volume_41_slice_74,1,0.920908,0.853411,0.170202
volume_41_slice_75,1,0.930339,0.869751,0.170828
volume_41_slice_76,2,0.945455,0.896552,0.170255
volume_41_slice_77,2,0.937958,0.883164,0.173392
volume_41_slice_78,1,0.933280,0.874906,0.166887
volume_41_slice_79,2,0.930333,0.869741,0.175303
volume_41_slice_80,2,0.928141,0.865917,0.170406
volume_41_slice_81,2,0.925980,0.862162,0.171669
volume_41_slice_82,2,0.916709,0.846226,0.171289
volume_41_slice_83,2,0.916709,0.846226,0.170390
volume_41_slice_84,3,0.926214,0.862568,0.177293
volume_41_slice_85,2,0.932992,0.874401,0.170122
volume_41_slice_86,2,0.930905,0.870741,0.170966
volume_41_slice_87,1,0.935789,0.879327,0.166772
volume_41_slice_88,1,0.907332,0.830382,0.171557
volume_41_slice_89,2,0.933333,0.875000,0.174479
volume_41_slice_90,1,0.937729,0.882759,0.173284
volume_41_slice_91,1,0.913272,0.840387,0.171731
volume_41_slice_92,2,0.923188,0.857335,0.176382
volume_41_slice_93,1,0.920354,0.852459,0.174846
volume_41_slice_94,1,0.923588,0.858025,0.168195
volume_41_slice_95,1,0.931483,0.871753,0.171416
volume_41_slice_96,1,0.922383,0.855946,0.171847
volume_41_slice_97,2,0.933333,0.875000,0.170718
volume_41_slice_98,1,0.932914,0.874263,0.170180
volume_41_slice_99,2,0.949886,0.904555,0.173794
volume_41_slice_100,2,0.939633,0.886139,0.174298
volume_41_slice_101,1,0.927114,0.864130,0.166568
volume_41_slice_102,1,0.947935,0.901024,0.166600
volume_41_slice_103,1,0.932166,0.872951,0.170845
volume_41_slice_104,1,0.938202,0.883598,0.169400
volume_41_slice_105,3,0.804233,0.672566,0.179144
volume_41_slice_106,2,0.700000,0.538462,0.174979
volume_41_slice_107,1,0.666667,0.500000,0.178028
volume_185_slice_26,1,1.000000,1.000000,0.174962
volume_185_slice_27,1,0.810811,0.681818,0.170642
volume_185_slice_28,1,0.823529,0.700000,0.173500
volume_185_slice_29,2,0.758065,0.610390,0.171945
volume_185_slice_30,3,0.852174,0.742424,0.177020
volume_185_slice_31,1,0.901961,0.821429,0.167280
volume_185_slice_32,1,0.947761,0.900709,0.168493
volume_185_slice_33,1,0.937173,0.881773,0.173551
volume_185_slice_34,1,0.912477,0.839041,0.168913
volume_185_slice_35,3,0.926143,0.862445,0.176872
volume_185_slice_36,2,0.933102,0.874593,0.173253
volume_185_slice_37,1,0.935484,0.878788,0.168137
volume_185_slice_38,2,0.915759,0.844609,0.170370
volume_185_slice_39,3,0.868293,0.767241,0.173092
volume_185_slice_40,1,0.909014,0.833203,0.167070
volume_185_slice_41,1,0.935298,0.878460,0.171174
volume_185_slice_42,7,0.934173,0.876478,0.187305
volume_185_slice_43,4,0.930933,0.870789,0.178351
volume_185_slice_44,3,0.930070,0.869281,0.175287
volume_185_slice_45,3,0.940325,0.887371,0.227057
volume_185_slice_46,1,0.932573,0.873664,0.168070
volume_185_slice_47,1,0.931778,0.872271,0.169811
volume_185_slice_48,2,0.938088,0.883395,0.174762
volume_185_slice_49,3,0.940645,0.887941,0.177353
volume_185_slice_50,1,0.934519,0.877086,0.167851
volume_185_slice_51,3,0.951653,0.907765,0.174466
volume_185_slice_52,4,0.958593,0.920478,0.205798
volume_185_slice_53,1,0.963144,0.928908,0.168339
volume_185_slice_54,3,0.956046,0.915794,0.175704
volume_185_slice_55,2,0.936201,0.880055,0.169373
volume_185_slice_56,3,0.920109,0.852038,0.174002
volume_185_slice_57,3,0.879018,0.784149,0.176111
volume_185_slice_58,2,0.860379,0.754970,0.173742
volume_185_slice_59,5,0.931170,0.871204,0.186903
volume_185_slice_60,7,0.933945,0.876076,0.186180
volume_185_slice_61,5,0.934325,0.876746,0.179827
volume_185_slice_62,5,0.950245,0.905207,0.177777
volume_185_slice_63,7,0.939438,0.885792,0.183622
volume_185_slice_64,4,0.941084,0.888724,0.176969
volume_185_slice_65,1,0.960203,0.923453,0.172933
volume_185_slice_66,1,0.957149,0.917820,0.169925
volume_185_slice_67,2,0.946411,0.898274,0.174309
volume_185_slice_68,2,0.942193,0.890705,0.174633
volume_185_slice_69,1,0.939060,0.885120,0.169821
volume_185_slice_70,3,0.947500,0.900238,0.175337
volume_185_slice_71,9,0.906338,0.828718,0.194598
volume_185_slice_72,10,0.838818,0.722382,0.201642
volume_185_slice_73,10,0.838997,0.722649,0.193044
volume_185_slice_74,12,0.854884,0.746548,0.203897
volume_185_slice_75,10,0.866594,0.764593,0.192332
volume_185_slice_76,10,0.883972,0.792070,0.197222
volume_185_slice_77,9,0.909389,0.833834,0.189425
volume_185_slice_78,11,0.893709,0.807843,0.195074
volume_185_slice_79,7,0.905992,0.828141,0.190722
volume_185_slice_80,4,0.921191,0.853896,0.177964
volume_185_slice_81,6,0.932720,0.873922,0.183459
volume_185_slice_82,3,0.939799,0.886435,0.173887
volume_185_slice_83,2,0.949079,0.903093,0.173912
volume_185_slice_84,4,0.955224,0.914286,0.182012
volume_185_slice_85,1,0.974060,0.949432,0.172075
volume_185_slice_86,1,0.973140,0.947686,0.173012
volume_185_slice_87,1,0.971628,0.944821,0.172041
volume_185_slice_88,1,0.956229,0.916129,0.172247
volume_185_slice_89,2,0.964457,0.931354,0.174974
volume_185_slice_90,1,0.953668,0.911439,0.182443
