case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,0.014790
training_glioma_Tr-gl_10,1,NaN,NaN,0.013752
training_glioma_Tr-gl_100,1,NaN,NaN,0.012414
training_glioma_Tr-gl_1000,1,NaN,NaN,0.013470
training_glioma_Tr-gl_1001,1,NaN,NaN,0.011768
training_glioma_Tr-gl_1002,1,NaN,NaN,0.012076
training_glioma_Tr-gl_1003,1,NaN,NaN,0.012148
training_glioma_Tr-gl_1004,1,NaN,NaN,0.011691
training_glioma_Tr-gl_1005,1,NaN,NaN,0.011674
training_glioma_Tr-gl_1006,1,NaN,NaN,0.012612
training_glioma_Tr-gl_1007,1,NaN,NaN,0.011790
training_glioma_Tr-gl_1008,1,NaN,NaN,0.011833
training_glioma_Tr-gl_1009,1,NaN,NaN,0.012715
training_glioma_Tr-gl_101,1,NaN,NaN,0.012184
training_glioma_Tr-gl_1010,1,NaN,NaN,0.012314
training_glioma_Tr-gl_1011,1,NaN,NaN,0.012839
training_glioma_Tr-gl_1012,1,NaN,NaN,0.013958
training_glioma_Tr-gl_1013,1,NaN,NaN,0.011022
training_glioma_Tr-gl_1014,1,NaN,NaN,0.012882
training_glioma_Tr-gl_1015,1,NaN,NaN,0.013240
training_glioma_Tr-gl_1016,1,NaN,NaN,0.010773
training_glioma_Tr-gl_1017,1,NaN,NaN,0.011572
training_glioma_Tr-gl_1018,1,NaN,NaN,0.013011
training_glioma_Tr-gl_1019,1,NaN,NaN,0.011164
training_glioma_Tr-gl_102,1,NaN,NaN,0.012200
training_glioma_Tr-gl_1020,1,NaN,NaN,0.013242
training_glioma_Tr-gl_1021,1,NaN,NaN,0.011784
training_glioma_Tr-gl_1022,1,NaN,NaN,0.012404
training_glioma_Tr-gl_1023,1,NaN,NaN,0.013556
training_glioma_Tr-gl_1024,1,NaN,NaN,0.011209
training_glioma_Tr-gl_1025,1,NaN,NaN,0.011901
training_glioma_Tr-gl_1026,1,NaN,NaN,0.012242
training_glioma_Tr-gl_1027,1,NaN,NaN,0.010842
training_glioma_Tr-gl_1028,1,NaN,NaN,0.011854
training_glioma_Tr-gl_1029,1,NaN,NaN,0.012527
training_glioma_Tr-gl_103,1,NaN,NaN,0.011097
training_glioma_Tr-gl_1030,1,NaN,NaN,0.012650
training_glioma_Tr-gl_1031,1,NaN,NaN,0.012478
training_glioma_Tr-gl_1032,1,NaN,NaN,0.011424
training_glioma_Tr-gl_1033,1,NaN,NaN,0.012139
training_glioma_Tr-gl_1034,1,NaN,NaN,0.011600
training_glioma_Tr-gl_1035,1,NaN,NaN,0.011955
training_glioma_Tr-gl_1036,1,NaN,NaN,0.012565
training_glioma_Tr-gl_1037,1,NaN,NaN,0.012469
training_glioma_Tr-gl_1038,1,NaN,NaN,0.011080
training_glioma_Tr-gl_1039,1,NaN,NaN,0.012069
training_glioma_Tr-gl_104,1,NaN,NaN,0.012444
training_glioma_Tr-gl_1040,1,NaN,NaN,0.010777
training_glioma_Tr-gl_1041,1,NaN,NaN,0.012085
training_glioma_Tr-gl_1042,1,NaN,NaN,0.012904
training_glioma_Tr-gl_1043,1,NaN,NaN,0.012015
training_glioma_Tr-gl_1044,1,NaN,NaN,0.012820
training_glioma_Tr-gl_1045,1,NaN,NaN,0.011847
training_glioma_Tr-gl_1046,1,NaN,NaN,0.011163
training_glioma_Tr-gl_1047,1,NaN,NaN,0.012638
training_glioma_Tr-gl_1048,1,NaN,NaN,0.011368
training_glioma_Tr-gl_1049,1,NaN,NaN,0.011695
training_glioma_Tr-gl_105,1,NaN,NaN,0.011912
training_glioma_Tr-gl_1050,1,NaN,NaN,0.012541
training_glioma_Tr-gl_1051,1,NaN,NaN,0.011590
training_glioma_Tr-gl_1052,1,NaN,NaN,0.012673
training_glioma_Tr-gl_1053,1,NaN,NaN,0.013221
training_glioma_Tr-gl_1054,1,NaN,NaN,0.011105
training_glioma_Tr-gl_1055,1,NaN,NaN,0.012241
