case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,0.020214
training_glioma_Tr-gl_10,1,NaN,NaN,0.018626
training_glioma_Tr-gl_100,1,NaN,NaN,0.017403
training_glioma_Tr-gl_1000,1,NaN,NaN,0.018011
training_glioma_Tr-gl_1001,1,NaN,NaN,0.015491
training_glioma_Tr-gl_1002,1,NaN,NaN,0.016404
training_glioma_Tr-gl_1003,1,NaN,NaN,0.016760
training_glioma_Tr-gl_1004,1,NaN,NaN,0.016251
training_glioma_Tr-gl_1005,1,NaN,NaN,0.015781
training_glioma_Tr-gl_1006,1,NaN,NaN,0.017156
training_glioma_Tr-gl_1007,1,NaN,NaN,0.016791
training_glioma_Tr-gl_1008,1,NaN,NaN,0.016640
training_glioma_Tr-gl_1009,1,NaN,NaN,0.016735
training_glioma_Tr-gl_101,1,NaN,NaN,0.017304
training_glioma_Tr-gl_1010,1,NaN,NaN,0.017691
training_glioma_Tr-gl_1011,1,NaN,NaN,0.017440
training_glioma_Tr-gl_1012,1,NaN,NaN,0.020048
training_glioma_Tr-gl_1013,1,NaN,NaN,0.017185
training_glioma_Tr-gl_1014,1,NaN,NaN,0.017033
training_glioma_Tr-gl_1015,1,NaN,NaN,0.019114
training_glioma_Tr-gl_1016,1,NaN,NaN,0.016705
training_glioma_Tr-gl_1017,1,NaN,NaN,0.014893
training_glioma_Tr-gl_1018,1,NaN,NaN,0.018338
training_glioma_Tr-gl_1019,1,NaN,NaN,0.017040
training_glioma_Tr-gl_102,1,NaN,NaN,0.016793
training_glioma_Tr-gl_1020,1,NaN,NaN,0.018835
training_glioma_Tr-gl_1021,1,NaN,NaN,0.017620
training_glioma_Tr-gl_1022,1,NaN,NaN,0.016900
training_glioma_Tr-gl_1023,1,NaN,NaN,0.019088
training_glioma_Tr-gl_1024,1,NaN,NaN,0.017867
training_glioma_Tr-gl_1025,1,NaN,NaN,0.015239
training_glioma_Tr-gl_1026,1,NaN,NaN,0.017395
training_glioma_Tr-gl_1027,1,NaN,NaN,0.015917
training_glioma_Tr-gl_1028,1,NaN,NaN,0.015745
training_glioma_Tr-gl_1029,1,NaN,NaN,0.017622
training_glioma_Tr-gl_103,1,NaN,NaN,0.016885
training_glioma_Tr-gl_1030,1,NaN,NaN,0.016538
