case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,0.017675
training_glioma_Tr-gl_10,1,NaN,NaN,0.014260
training_glioma_Tr-gl_100,1,NaN,NaN,0.012877
training_glioma_Tr-gl_1000,1,NaN,NaN,0.014065
training_glioma_Tr-gl_1001,1,NaN,NaN,0.012712
training_glioma_Tr-gl_1002,1,NaN,NaN,0.012793
training_glioma_Tr-gl_1003,1,NaN,NaN,0.012809
training_glioma_Tr-gl_1004,1,NaN,NaN,0.012803
training_glioma_Tr-gl_1005,1,NaN,NaN,0.012050
training_glioma_Tr-gl_1006,1,NaN,NaN,0.012231
training_glioma_Tr-gl_1007,1,NaN,NaN,0.012872
training_glioma_Tr-gl_1008,1,NaN,NaN,0.012340
training_glioma_Tr-gl_1009,1,NaN,NaN,0.012879
training_glioma_Tr-gl_101,1,NaN,NaN,0.012891
training_glioma_Tr-gl_1010,1,NaN,NaN,0.013502
training_glioma_Tr-gl_1011,1,NaN,NaN,0.012621
training_glioma_Tr-gl_1012,1,NaN,NaN,0.013453
training_glioma_Tr-gl_1013,1,NaN,NaN,0.012796
training_glioma_Tr-gl_1014,1,NaN,NaN,0.012531
training_glioma_Tr-gl_1015,1,NaN,NaN,0.014400
training_glioma_Tr-gl_1016,1,NaN,NaN,0.012835
training_glioma_Tr-gl_1017,1,NaN,NaN,0.011812
training_glioma_Tr-gl_1018,1,NaN,NaN,0.012398
training_glioma_Tr-gl_1019,1,NaN,NaN,0.012484
training_glioma_Tr-gl_102,1,NaN,NaN,0.012808
training_glioma_Tr-gl_1020,1,NaN,NaN,0.012522
training_glioma_Tr-gl_1021,1,NaN,NaN,0.012328
training_glioma_Tr-gl_1022,1,NaN,NaN,0.013960
training_glioma_Tr-gl_1023,1,NaN,NaN,0.014801
training_glioma_Tr-gl_1024,1,NaN,NaN,0.012686
training_glioma_Tr-gl_1025,1,NaN,NaN,0.011686
training_glioma_Tr-gl_1026,1,NaN,NaN,0.011734
training_glioma_Tr-gl_1027,1,NaN,NaN,0.012619
training_glioma_Tr-gl_1028,1,NaN,NaN,0.012929
training_glioma_Tr-gl_1029,1,NaN,NaN,0.013549
training_glioma_Tr-gl_103,1,NaN,NaN,0.012705
training_glioma_Tr-gl_1030,1,NaN,NaN,0.012985
training_glioma_Tr-gl_1031,1,NaN,NaN,0.012280
training_glioma_Tr-gl_1032,1,NaN,NaN,0.012164
training_glioma_Tr-gl_1033,1,NaN,NaN,0.014207
training_glioma_Tr-gl_1034,1,NaN,NaN,0.012520
training_glioma_Tr-gl_1035,1,NaN,NaN,0.012793
training_glioma_Tr-gl_1036,1,NaN,NaN,0.013136
training_glioma_Tr-gl_1037,1,NaN,NaN,0.013875
training_glioma_Tr-gl_1038,1,NaN,NaN,0.013434
training_glioma_Tr-gl_1039,1,NaN,NaN,0.011877
training_glioma_Tr-gl_104,1,NaN,NaN,0.012197
training_glioma_Tr-gl_1040,1,NaN,NaN,0.012806
training_glioma_Tr-gl_1041,1,NaN,NaN,0.012077
training_glioma_Tr-gl_1042,1,NaN,NaN,0.012051
training_glioma_Tr-gl_1043,1,NaN,NaN,0.013529
training_glioma_Tr-gl_1044,1,NaN,NaN,0.013604
training_glioma_Tr-gl_1045,1,NaN,NaN,0.013639
training_glioma_Tr-gl_1046,1,NaN,NaN,0.012841
training_glioma_Tr-gl_1047,1,NaN,NaN,0.013032
training_glioma_Tr-gl_1048,1,NaN,NaN,0.011998
training_glioma_Tr-gl_1049,1,NaN,NaN,0.012173
training_glioma_Tr-gl_105,1,NaN,NaN,0.011886
training_glioma_Tr-gl_1050,1,NaN,NaN,0.012888
training_glioma_Tr-gl_1051,1,NaN,NaN,0.011884
training_glioma_Tr-gl_1052,1,NaN,NaN,0.013863
training_glioma_Tr-gl_1053,1,NaN,NaN,0.013484
training_glioma_Tr-gl_1054,1,NaN,NaN,0.012824
training_glioma_Tr-gl_1055,1,NaN,NaN,0.012262
training_glioma_Tr-gl_1056,1,NaN,NaN,0.013907
training_glioma_Tr-gl_1057,1,NaN,NaN,0.013294
training_glioma_Tr-gl_1058,1,NaN,NaN,0.013055
training_glioma_Tr-gl_1059,1,NaN,NaN,0.013602
training_glioma_Tr-gl_106,1,NaN,NaN,0.012540
training_glioma_Tr-gl_1060,1,NaN,NaN,0.013811
training_glioma_Tr-gl_1061,1,NaN,NaN,0.013852
training_glioma_Tr-gl_1062,1,NaN,NaN,0.013797
training_glioma_Tr-gl_1063,1,NaN,NaN,0.015618
training_glioma_Tr-gl_1064,1,NaN,NaN,0.016068
training_glioma_Tr-gl_1065,1,NaN,NaN,0.014188
training_glioma_Tr-gl_1066,1,NaN,NaN,0.012344
training_glioma_Tr-gl_1067,1,NaN,NaN,0.012776
training_glioma_Tr-gl_1068,1,NaN,NaN,0.014245
training_glioma_Tr-gl_1069,1,NaN,NaN,0.012706
training_glioma_Tr-gl_107,1,NaN,NaN,0.013372
training_glioma_Tr-gl_1070,1,NaN,NaN,0.012887
training_glioma_Tr-gl_1071,1,NaN,NaN,0.012404
training_glioma_Tr-gl_1072,1,NaN,NaN,0.012846
training_glioma_Tr-gl_1073,1,NaN,NaN,0.013206
training_glioma_Tr-gl_1074,1,NaN,NaN,0.012820
training_glioma_Tr-gl_1075,1,NaN,NaN,0.014344
training_glioma_Tr-gl_1076,1,NaN,NaN,0.012778
training_glioma_Tr-gl_1077,1,NaN,NaN,0.012022
training_glioma_Tr-gl_1078,1,NaN,NaN,0.013832
training_glioma_Tr-gl_1079,1,NaN,NaN,0.013680
training_glioma_Tr-gl_108,1,NaN,NaN,0.013021
