case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,0.049109
training_glioma_Tr-gl_10,1,NaN,NaN,0.052892
training_glioma_Tr-gl_100,1,NaN,NaN,0.050489
training_glioma_Tr-gl_1000,1,NaN,NaN,0.053193
training_glioma_Tr-gl_1001,1,NaN,NaN,0.045122
training_glioma_Tr-gl_1002,1,NaN,NaN,0.045722
training_glioma_Tr-gl_1003,1,NaN,NaN,0.048638
training_glioma_Tr-gl_1004,1,NaN,NaN,0.045058
training_glioma_Tr-gl_1005,1,NaN,NaN,0.044843
training_glioma_Tr-gl_1006,1,NaN,NaN,0.047491
training_glioma_Tr-gl_1007,1,NaN,NaN,0.045350
training_glioma_Tr-gl_1008,1,NaN,NaN,0.046544
training_glioma_Tr-gl_1009,1,NaN,NaN,0.050711
training_glioma_Tr-gl_101,1,NaN,NaN,0.046584
training_glioma_Tr-gl_1010,1,NaN,NaN,0.048571
training_glioma_Tr-gl_1011,1,NaN,NaN,0.051576
training_glioma_Tr-gl_1012,1,NaN,NaN,0.052454
training_glioma_Tr-gl_1013,1,NaN,NaN,0.046939
training_glioma_Tr-gl_1014,1,NaN,NaN,0.049220
training_glioma_Tr-gl_1015,1,NaN,NaN,0.052192
training_glioma_Tr-gl_1016,1,NaN,NaN,0.046392
training_glioma_Tr-gl_1017,1,NaN,NaN,0.045220
training_glioma_Tr-gl_1018,1,NaN,NaN,0.050590
training_glioma_Tr-gl_1019,1,NaN,NaN,0.047683
training_glioma_Tr-gl_102,1,NaN,NaN,0.051680
training_glioma_Tr-gl_1020,1,NaN,NaN,0.053945
training_glioma_Tr-gl_1021,1,NaN,NaN,0.049677
training_glioma_Tr-gl_1022,1,NaN,NaN,0.049313
training_glioma_Tr-gl_1023,1,NaN,NaN,0.053115
training_glioma_Tr-gl_1024,1,NaN,NaN,0.048418
training_glioma_Tr-gl_1025,1,NaN,NaN,0.045265
training_glioma_Tr-gl_1026,1,NaN,NaN,0.049820
training_glioma_Tr-gl_1027,1,NaN,NaN,0.045109
training_glioma_Tr-gl_1028,1,NaN,NaN,0.049080
training_glioma_Tr-gl_1029,1,NaN,NaN,0.049352
training_glioma_Tr-gl_103,1,NaN,NaN,0.046805
training_glioma_Tr-gl_1030,1,NaN,NaN,0.049717
training_glioma_Tr-gl_1031,1,NaN,NaN,0.047333
training_glioma_Tr-gl_1032,1,NaN,NaN,0.049796
training_glioma_Tr-gl_1033,1,NaN,NaN,0.050126
training_glioma_Tr-gl_1034,1,NaN,NaN,0.045942
training_glioma_Tr-gl_1035,1,NaN,NaN,0.050281
training_glioma_Tr-gl_1036,1,NaN,NaN,0.049347
training_glioma_Tr-gl_1037,1,NaN,NaN,0.050086
training_glioma_Tr-gl_1038,1,NaN,NaN,0.049100
training_glioma_Tr-gl_1039,1,NaN,NaN,0.045085
training_glioma_Tr-gl_104,1,NaN,NaN,0.049253
training_glioma_Tr-gl_1040,1,NaN,NaN,0.044273
training_glioma_Tr-gl_1041,1,NaN,NaN,0.045515
training_glioma_Tr-gl_1042,1,NaN,NaN,0.049304
training_glioma_Tr-gl_1043,1,NaN,NaN,0.053540
training_glioma_Tr-gl_1044,1,NaN,NaN,0.053149
training_glioma_Tr-gl_1045,1,NaN,NaN,0.049393
training_glioma_Tr-gl_1046,1,NaN,NaN,0.046716
training_glioma_Tr-gl_1047,1,NaN,NaN,0.050811
training_glioma_Tr-gl_1048,1,NaN,NaN,0.045455
training_glioma_Tr-gl_1049,1,NaN,NaN,0.047171
training_glioma_Tr-gl_105,1,NaN,NaN,0.047262
training_glioma_Tr-gl_1050,1,NaN,NaN,0.048123
training_glioma_Tr-gl_1051,1,NaN,NaN,0.050187
training_glioma_Tr-gl_1052,1,NaN,NaN,0.053473
training_glioma_Tr-gl_1053,1,NaN,NaN,0.053522
training_glioma_Tr-gl_1054,1,NaN,NaN,0.047921
training_glioma_Tr-gl_1055,1,NaN,NaN,0.046770
training_glioma_Tr-gl_1056,1,NaN,NaN,0.048785
training_glioma_Tr-gl_1057,1,NaN,NaN,0.050031
training_glioma_Tr-gl_1058,1,NaN,NaN,0.045652
training_glioma_Tr-gl_1059,1,NaN,NaN,0.054764
training_glioma_Tr-gl_106,1,NaN,NaN,0.045830
training_glioma_Tr-gl_1060,1,NaN,NaN,0.048831
training_glioma_Tr-gl_1061,1,NaN,NaN,0.051048
training_glioma_Tr-gl_1062,1,NaN,NaN,0.047741
training_glioma_Tr-gl_1063,1,NaN,NaN,0.049127
training_glioma_Tr-gl_1064,1,NaN,NaN,0.049339
training_glioma_Tr-gl_1065,1,NaN,NaN,0.050389
training_glioma_Tr-gl_1066,1,NaN,NaN,0.046537
training_glioma_Tr-gl_1067,1,NaN,NaN,0.052447
training_glioma_Tr-gl_1068,1,NaN,NaN,0.051065
training_glioma_Tr-gl_1069,1,NaN,NaN,0.048544
training_glioma_Tr-gl_107,1,NaN,NaN,0.048645
training_glioma_Tr-gl_1070,1,NaN,NaN,0.043882
training_glioma_Tr-gl_1071,1,NaN,NaN,0.046865
training_glioma_Tr-gl_1072,1,NaN,NaN,0.052278
training_glioma_Tr-gl_1073,1,NaN,NaN,0.053133
training_glioma_Tr-gl_1074,1,NaN,NaN,0.049127
training_glioma_Tr-gl_1075,1,NaN,NaN,0.049711
training_glioma_Tr-gl_1076,1,NaN,NaN,0.046258
training_glioma_Tr-gl_1077,1,NaN,NaN,0.045647
training_glioma_Tr-gl_1078,1,NaN,NaN,0.053508
training_glioma_Tr-gl_1079,1,NaN,NaN,0.046184
training_glioma_Tr-gl_108,1,NaN,NaN,0.046063
training_glioma_Tr-gl_1080,1,NaN,NaN,0.050685
training_glioma_Tr-gl_1081,1,NaN,NaN,0.048985
training_glioma_Tr-gl_1082,1,NaN,NaN,0.045999
training_glioma_Tr-gl_1083,1,NaN,NaN,0.049591
training_glioma_Tr-gl_1084,1,NaN,NaN,0.046419
training_glioma_Tr-gl_1085,1,NaN,NaN,0.045020
training_glioma_Tr-gl_1086,1,NaN,NaN,0.048521
training_glioma_Tr-gl_1087,1,NaN,NaN,0.049888
training_glioma_Tr-gl_1088,1,NaN,NaN,0.052766
training_glioma_Tr-gl_1089,1,NaN,NaN,0.044471
training_glioma_Tr-gl_109,1,NaN,NaN,0.045593
training_glioma_Tr-gl_1090,1,NaN,NaN,0.049485
training_glioma_Tr-gl_1091,1,NaN,NaN,0.047847
training_glioma_Tr-gl_1092,1,NaN,NaN,0.046119
training_glioma_Tr-gl_1093,1,NaN,NaN,0.049504
training_glioma_Tr-gl_1094,1,NaN,NaN,0.045327
training_glioma_Tr-gl_1095,1,NaN,NaN,0.050303
