case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,0.065365
training_glioma_Tr-gl_10,1,NaN,NaN,0.061353
training_glioma_Tr-gl_100,1,NaN,NaN,0.061230
training_glioma_Tr-gl_1000,1,NaN,NaN,0.062199
training_glioma_Tr-gl_1001,1,NaN,NaN,0.053071
training_glioma_Tr-gl_1002,1,NaN,NaN,0.052962
training_glioma_Tr-gl_1003,1,NaN,NaN,0.059173
training_glioma_Tr-gl_1004,1,NaN,NaN,0.058954
training_glioma_Tr-gl_1005,1,NaN,NaN,0.055246
training_glioma_Tr-gl_1006,1,NaN,NaN,0.058519
training_glioma_Tr-gl_1007,1,NaN,NaN,0.059591
training_glioma_Tr-gl_1008,1,NaN,NaN,0.054466
training_glioma_Tr-gl_1009,1,NaN,NaN,0.058986
training_glioma_Tr-gl_101,1,NaN,NaN,0.057318
training_glioma_Tr-gl_1010,1,NaN,NaN,0.055844
training_glioma_Tr-gl_1011,1,NaN,NaN,0.062788
training_glioma_Tr-gl_1012,1,NaN,NaN,0.069171
training_glioma_Tr-gl_1013,1,NaN,NaN,0.054946
training_glioma_Tr-gl_1014,1,NaN,NaN,0.062358
training_glioma_Tr-gl_1015,1,NaN,NaN,0.066007
training_glioma_Tr-gl_1016,1,NaN,NaN,0.056729
training_glioma_Tr-gl_1017,1,NaN,NaN,0.055417
training_glioma_Tr-gl_1018,1,NaN,NaN,0.061372
training_glioma_Tr-gl_1019,1,NaN,NaN,0.054721
training_glioma_Tr-gl_102,1,NaN,NaN,0.057662
training_glioma_Tr-gl_1020,1,NaN,NaN,0.061993
training_glioma_Tr-gl_1021,1,NaN,NaN,0.060696
training_glioma_Tr-gl_1022,1,NaN,NaN,0.058667
training_glioma_Tr-gl_1023,1,NaN,NaN,0.064551
training_glioma_Tr-gl_1024,1,NaN,NaN,0.057554
training_glioma_Tr-gl_1025,1,NaN,NaN,0.055881
training_glioma_Tr-gl_1026,1,NaN,NaN,0.056557
training_glioma_Tr-gl_1027,1,NaN,NaN,0.054903
training_glioma_Tr-gl_1028,1,NaN,NaN,0.055260
training_glioma_Tr-gl_1029,1,NaN,NaN,0.058519
training_glioma_Tr-gl_103,1,NaN,NaN,0.060594
training_glioma_Tr-gl_1030,1,NaN,NaN,0.060382
