case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,2.269682
training_glioma_Tr-gl_10,1,NaN,NaN,0.084307
training_glioma_Tr-gl_100,1,NaN,NaN,0.081981
training_glioma_Tr-gl_1000,1,NaN,NaN,0.082326
training_glioma_Tr-gl_1001,1,NaN,NaN,0.081964
training_glioma_Tr-gl_1002,1,NaN,NaN,0.094859
training_glioma_Tr-gl_1003,1,NaN,NaN,0.097560
training_glioma_Tr-gl_1004,1,NaN,NaN,0.092873
training_glioma_Tr-gl_1005,1,NaN,NaN,0.089135
training_glioma_Tr-gl_1006,1,NaN,NaN,0.089113
training_glioma_Tr-gl_1007,1,NaN,NaN,0.089052
training_glioma_Tr-gl_1008,1,NaN,NaN,0.088493
training_glioma_Tr-gl_1009,1,NaN,NaN,0.088427
training_glioma_Tr-gl_101,1,NaN,NaN,0.087935
training_glioma_Tr-gl_1010,1,NaN,NaN,0.090710
training_glioma_Tr-gl_1011,1,NaN,NaN,0.084179
training_glioma_Tr-gl_1012,1,NaN,NaN,0.083612
training_glioma_Tr-gl_1013,1,NaN,NaN,0.083824
training_glioma_Tr-gl_1014,1,NaN,NaN,0.088134
training_glioma_Tr-gl_1015,1,NaN,NaN,0.087701
training_glioma_Tr-gl_1016,1,NaN,NaN,0.086818
training_glioma_Tr-gl_1017,1,NaN,NaN,0.086733
training_glioma_Tr-gl_1018,1,NaN,NaN,0.087195
training_glioma_Tr-gl_1019,1,NaN,NaN,0.086367
training_glioma_Tr-gl_102,1,NaN,NaN,0.084284
training_glioma_Tr-gl_1020,1,NaN,NaN,0.087271
training_glioma_Tr-gl_1021,1,NaN,NaN,0.088767
training_glioma_Tr-gl_1022,1,NaN,NaN,0.087111
training_glioma_Tr-gl_1023,1,NaN,NaN,0.088738
training_glioma_Tr-gl_1024,1,NaN,NaN,0.089548
training_glioma_Tr-gl_1025,1,NaN,NaN,0.089595
training_glioma_Tr-gl_1026,1,NaN,NaN,0.090227
training_glioma_Tr-gl_1027,1,NaN,NaN,0.096654
training_glioma_Tr-gl_1028,1,NaN,NaN,0.093607
training_glioma_Tr-gl_1029,1,NaN,NaN,0.089118
training_glioma_Tr-gl_103,1,NaN,NaN,0.087007
training_glioma_Tr-gl_1030,1,NaN,NaN,0.088880
training_glioma_Tr-gl_1031,1,NaN,NaN,0.088726
training_glioma_Tr-gl_1032,1,NaN,NaN,0.088480
training_glioma_Tr-gl_1033,1,NaN,NaN,0.082386
training_glioma_Tr-gl_1034,1,NaN,NaN,0.082138
training_glioma_Tr-gl_1035,1,NaN,NaN,0.081995
training_glioma_Tr-gl_1036,1,NaN,NaN,0.081882
training_glioma_Tr-gl_1037,1,NaN,NaN,0.081804
training_glioma_Tr-gl_1038,1,NaN,NaN,0.081723
training_glioma_Tr-gl_1039,1,NaN,NaN,0.081864
training_glioma_Tr-gl_104,1,NaN,NaN,0.083049
training_glioma_Tr-gl_1040,1,NaN,NaN,0.082149
training_glioma_Tr-gl_1041,1,NaN,NaN,0.083187
training_glioma_Tr-gl_1042,1,NaN,NaN,0.081834
training_glioma_Tr-gl_1043,1,NaN,NaN,0.081940
training_glioma_Tr-gl_1044,1,NaN,NaN,0.082240
training_glioma_Tr-gl_1045,1,NaN,NaN,0.089552
training_glioma_Tr-gl_1046,1,NaN,NaN,0.089210
training_glioma_Tr-gl_1047,1,NaN,NaN,0.089521
training_glioma_Tr-gl_1048,1,NaN,NaN,0.089634
training_glioma_Tr-gl_1049,1,NaN,NaN,0.088924
training_glioma_Tr-gl_105,1,NaN,NaN,0.091967
training_glioma_Tr-gl_1050,1,NaN,NaN,0.093271
training_glioma_Tr-gl_1051,1,NaN,NaN,0.093150
training_glioma_Tr-gl_1052,1,NaN,NaN,0.089699
