case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,3.519345
training_glioma_Tr-gl_10,1,NaN,NaN,0.003294
training_glioma_Tr-gl_100,1,NaN,NaN,0.002894
training_glioma_Tr-gl_1000,1,NaN,NaN,0.002638
training_glioma_Tr-gl_1001,1,NaN,NaN,0.002630
training_glioma_Tr-gl_1002,1,NaN,NaN,0.002688
training_glioma_Tr-gl_1003,1,NaN,NaN,0.002709
training_glioma_Tr-gl_1004,1,NaN,NaN,0.002620
training_glioma_Tr-gl_1005,1,NaN,NaN,0.002611
training_glioma_Tr-gl_1006,1,NaN,NaN,0.002685
training_glioma_Tr-gl_1007,1,NaN,NaN,0.002626
training_glioma_Tr-gl_1008,1,NaN,NaN,0.002616
training_glioma_Tr-gl_1009,1,NaN,NaN,0.002672
training_glioma_Tr-gl_101,1,NaN,NaN,0.002656
training_glioma_Tr-gl_1010,1,NaN,NaN,0.002627
training_glioma_Tr-gl_1011,1,NaN,NaN,0.002628
training_glioma_Tr-gl_1012,1,NaN,NaN,0.002835
training_glioma_Tr-gl_1013,1,NaN,NaN,0.002667
training_glioma_Tr-gl_1014,1,NaN,NaN,0.004744
training_glioma_Tr-gl_1015,1,NaN,NaN,0.002720
training_glioma_Tr-gl_1016,1,NaN,NaN,0.002717
training_glioma_Tr-gl_1017,1,NaN,NaN,0.002656
training_glioma_Tr-gl_1018,1,NaN,NaN,0.002600
training_glioma_Tr-gl_1019,1,NaN,NaN,0.002615
training_glioma_Tr-gl_102,1,NaN,NaN,0.002669
training_glioma_Tr-gl_1020,1,NaN,NaN,0.002635
training_glioma_Tr-gl_1021,1,NaN,NaN,0.002695
training_glioma_Tr-gl_1022,1,NaN,NaN,0.002707
training_glioma_Tr-gl_1023,1,NaN,NaN,0.002628
training_glioma_Tr-gl_1024,1,NaN,NaN,0.002637
training_glioma_Tr-gl_1025,1,NaN,NaN,0.002642
training_glioma_Tr-gl_1026,1,NaN,NaN,0.002640
training_glioma_Tr-gl_1027,1,NaN,NaN,0.002612
training_glioma_Tr-gl_1028,1,NaN,NaN,0.002684
training_glioma_Tr-gl_1029,1,NaN,NaN,0.002727
training_glioma_Tr-gl_103,1,NaN,NaN,0.002704
training_glioma_Tr-gl_1030,1,NaN,NaN,0.002692
training_glioma_Tr-gl_1031,1,NaN,NaN,0.002653
training_glioma_Tr-gl_1032,1,NaN,NaN,0.002650
training_glioma_Tr-gl_1033,1,NaN,NaN,0.002622
training_glioma_Tr-gl_1034,1,NaN,NaN,0.002720
training_glioma_Tr-gl_1035,1,NaN,NaN,0.002613
training_glioma_Tr-gl_1036,1,NaN,NaN,0.002767
training_glioma_Tr-gl_1037,1,NaN,NaN,0.003377
training_glioma_Tr-gl_1038,1,NaN,NaN,0.002671
