case_id,n_boxes,dice,iou,runtime_s
training_glioma_Tr-gl_1,1,NaN,NaN,2.067369
training_glioma_Tr-gl_10,1,NaN,NaN,0.003247
training_glioma_Tr-gl_100,1,NaN,NaN,0.003103
training_glioma_Tr-gl_1000,1,NaN,NaN,0.003000
training_glioma_Tr-gl_1001,1,NaN,NaN,0.002925
training_glioma_Tr-gl_1002,1,NaN,NaN,0.002962
training_glioma_Tr-gl_1003,1,NaN,NaN,0.002919
training_glioma_Tr-gl_1004,1,NaN,NaN,0.002915
training_glioma_Tr-gl_1005,1,NaN,NaN,0.002891
training_glioma_Tr-gl_1006,1,NaN,NaN,0.002921
training_glioma_Tr-gl_1007,1,NaN,NaN,0.002919
training_glioma_Tr-gl_1008,1,NaN,NaN,0.002923
training_glioma_Tr-gl_1009,1,NaN,NaN,0.003016
training_glioma_Tr-gl_101,1,NaN,NaN,0.002969
training_glioma_Tr-gl_1010,1,NaN,NaN,0.003031
training_glioma_Tr-gl_1011,1,NaN,NaN,0.002990
training_glioma_Tr-gl_1012,1,NaN,NaN,0.002939
training_glioma_Tr-gl_1013,1,NaN,NaN,0.002970
training_glioma_Tr-gl_1014,1,NaN,NaN,0.002957
training_glioma_Tr-gl_1015,1,NaN,NaN,0.002851
training_glioma_Tr-gl_1016,1,NaN,NaN,0.002979
training_glioma_Tr-gl_1017,1,NaN,NaN,0.002933
training_glioma_Tr-gl_1018,1,NaN,NaN,0.002910
training_glioma_Tr-gl_1019,1,NaN,NaN,0.002899
training_glioma_Tr-gl_102,1,NaN,NaN,0.002894
training_glioma_Tr-gl_1020,1,NaN,NaN,0.002871
training_glioma_Tr-gl_1021,1,NaN,NaN,0.002958
training_glioma_Tr-gl_1022,1,NaN,NaN,0.002904
training_glioma_Tr-gl_1023,1,NaN,NaN,0.002986
training_glioma_Tr-gl_1024,1,NaN,NaN,0.003034
training_glioma_Tr-gl_1025,1,NaN,NaN,0.003137
training_glioma_Tr-gl_1026,1,NaN,NaN,0.002992
training_glioma_Tr-gl_1027,1,NaN,NaN,0.002999
training_glioma_Tr-gl_1028,1,NaN,NaN,0.003066
training_glioma_Tr-gl_1029,1,NaN,NaN,0.002942
training_glioma_Tr-gl_103,1,NaN,NaN,0.003108
training_glioma_Tr-gl_1030,1,NaN,NaN,0.003022
training_glioma_Tr-gl_1031,1,NaN,NaN,0.002971
training_glioma_Tr-gl_1032,1,NaN,NaN,0.002961
training_glioma_Tr-gl_1033,1,NaN,NaN,0.002948
training_glioma_Tr-gl_1034,1,NaN,NaN,0.002973
training_glioma_Tr-gl_1035,1,NaN,NaN,0.002950
training_glioma_Tr-gl_1036,1,NaN,NaN,0.003016
training_glioma_Tr-gl_1037,1,NaN,NaN,0.002982
training_glioma_Tr-gl_1038,1,NaN,NaN,0.002954
training_glioma_Tr-gl_1039,1,NaN,NaN,0.002998
training_glioma_Tr-gl_104,1,NaN,NaN,0.002946
training_glioma_Tr-gl_1040,1,NaN,NaN,0.002964
training_glioma_Tr-gl_1041,1,NaN,NaN,0.002982
training_glioma_Tr-gl_1042,1,NaN,NaN,0.002929
training_glioma_Tr-gl_1043,1,NaN,NaN,0.003085
training_glioma_Tr-gl_1044,1,NaN,NaN,0.003058
training_glioma_Tr-gl_1045,1,NaN,NaN,0.003075
training_glioma_Tr-gl_1046,1,NaN,NaN,0.003234
training_glioma_Tr-gl_1047,1,NaN,NaN,0.003060
training_glioma_Tr-gl_1048,1,NaN,NaN,0.002947
training_glioma_Tr-gl_1049,1,NaN,NaN,0.002990
training_glioma_Tr-gl_105,1,NaN,NaN,0.002962
training_glioma_Tr-gl_1050,1,NaN,NaN,0.003010
training_glioma_Tr-gl_1051,1,NaN,NaN,0.002950
training_glioma_Tr-gl_1052,1,NaN,NaN,0.003013
training_glioma_Tr-gl_1053,1,NaN,NaN,0.002941
training_glioma_Tr-gl_1054,1,NaN,NaN,0.002951
training_glioma_Tr-gl_1055,1,NaN,NaN,0.003024
training_glioma_Tr-gl_1056,1,NaN,NaN,0.002961
training_glioma_Tr-gl_1057,1,NaN,NaN,0.002944
training_glioma_Tr-gl_1058,1,NaN,NaN,0.002947
training_glioma_Tr-gl_1059,1,NaN,NaN,0.002903
training_glioma_Tr-gl_106,1,NaN,NaN,0.003011
training_glioma_Tr-gl_1060,1,NaN,NaN,0.002954
training_glioma_Tr-gl_1061,1,NaN,NaN,0.002987
training_glioma_Tr-gl_1062,1,NaN,NaN,0.003026
training_glioma_Tr-gl_1063,1,NaN,NaN,0.003012
training_glioma_Tr-gl_1064,1,NaN,NaN,0.002950
training_glioma_Tr-gl_1065,1,NaN,NaN,0.003102
training_glioma_Tr-gl_1066,1,NaN,NaN,0.003004
training_glioma_Tr-gl_1067,1,NaN,NaN,0.002909
training_glioma_Tr-gl_1068,1,NaN,NaN,0.003044
training_glioma_Tr-gl_1069,1,NaN,NaN,0.002971
training_glioma_Tr-gl_107,1,NaN,NaN,0.002949
training_glioma_Tr-gl_1070,1,NaN,NaN,0.003106
