case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.192073,0.106239,0.003599
benign_benign_10,1,0.010739,0.005399,0.001974
benign_benign_100,2,0.158834,0.086268,0.001138
benign_benign_101,1,0.093634,0.049116,0.000590
benign_benign_102,1,0.254271,0.145653,0.001197
benign_benign_103,1,0.024368,0.012334,0.002970
benign_benign_104,1,0.211788,0.118436,0.000545
benign_benign_105,1,0.115492,0.061285,0.001001
benign_benign_106,1,0.022729,0.011495,0.001089
benign_benign_107,1,0.264151,0.152174,0.001013
benign_benign_108,1,0.816452,0.689834,0.001228
benign_benign_109,1,0.096831,0.050879,0.001695
benign_benign_11,1,0.167881,0.091632,0.000481
benign_benign_110,1,0.068376,0.035398,0.001966
benign_benign_111,1,0.267163,0.154176,0.000424
benign_benign_112,1,0.108670,0.057457,0.000737
benign_benign_113,1,0.051656,0.026513,0.001388
benign_benign_114,1,0.636456,0.466766,0.001876
benign_benign_115,1,0.198810,0.110377,0.000562
benign_benign_116,1,0.231257,0.130746,0.000757
benign_benign_117,1,0.169157,0.092393,0.001259
benign_benign_118,1,0.229116,0.129380,0.000690
benign_benign_119,1,0.165273,0.090081,0.000664
benign_benign_12,1,0.128920,0.068901,0.000521
benign_benign_120,1,0.230893,0.130514,0.000459
benign_benign_121,1,0.178967,0.098278,0.001198
benign_benign_122,1,0.220865,0.124142,0.001433
benign_benign_123,1,0.235452,0.133435,0.001716
benign_benign_124,1,0.309827,0.183311,0.000739
benign_benign_125,1,0.158061,0.085812,0.000599
benign_benign_126,1,0.301879,0.177772,0.000669
benign_benign_127,1,0.234731,0.132972,0.000578
benign_benign_128,1,0.202161,0.112447,0.000501
benign_benign_129,1,0.230136,0.130031,0.000682
benign_benign_13,1,0.082732,0.043151,0.003236
benign_benign_130,1,0.051336,0.026344,0.001253
benign_benign_131,1,0.463708,0.301836,0.004029
benign_benign_132,1,0.049130,0.025184,0.000810
benign_benign_133,1,0.907170,0.830110,0.000292
benign_benign_134,1,0.065596,0.033910,0.000374
benign_benign_135,1,0.304263,0.179428,0.001049
benign_benign_136,1,0.180651,0.099294,0.001220
benign_benign_137,1,0.069928,0.036231,0.000587
benign_benign_138,1,0.164080,0.089372,0.000395
benign_benign_139,1,0.112247,0.059461,0.000932
benign_benign_14,1,0.108096,0.057136,0.000721
benign_benign_140,1,0.132493,0.070947,0.002942
benign_benign_141,1,0.378896,0.233727,0.008479
benign_benign_142,1,0.289960,0.169564,0.000609
benign_benign_143,1,0.072211,0.037458,0.000398
benign_benign_144,1,0.178763,0.098155,0.000348
benign_benign_145,1,0.239592,0.136100,0.000733
benign_benign_146,1,0.361319,0.220494,0.000348
benign_benign_147,2,0.355587,0.216239,0.000603
benign_benign_148,1,0.047164,0.024151,0.001072
benign_benign_149,1,0.050328,0.025814,0.000990
benign_benign_15,1,0.040034,0.020426,0.000586
benign_benign_150,1,0.125792,0.067117,0.000361
benign_benign_151,1,0.226702,0.127842,0.000432
benign_benign_152,1,0.172885,0.094622,0.003832
benign_benign_153,1,0.306488,0.180978,0.000398
benign_benign_154,1,0.128533,0.068680,0.000364
benign_benign_155,1,0.093590,0.049092,0.003831
benign_benign_156,2,0.180097,0.098960,0.001096
benign_benign_157,1,0.144075,0.077630,0.001005
benign_benign_158,1,0.061346,0.031644,0.002274
benign_benign_159,1,0.167227,0.091243,0.000615
benign_benign_16,1,0.064316,0.033227,0.000490
benign_benign_160,1,0.240118,0.136440,0.000508
benign_benign_161,1,0.224417,0.126391,0.000563
benign_benign_162,1,0.090479,0.047383,0.000369
benign_benign_163,2,0.163308,0.088914,0.000829
benign_benign_164,1,0.565238,0.393959,0.002932
benign_benign_165,1,0.108527,0.057377,0.000447
benign_benign_166,1,0.141973,0.076411,0.000558
benign_benign_167,1,0.244697,0.139405,0.000490
benign_benign_168,1,0.028548,0.014481,0.001061
benign_benign_169,1,0.099612,0.052417,0.000422
benign_benign_17,1,0.166374,0.090735,0.000553
benign_benign_170,1,0.002427,0.001215,0.000925
benign_benign_171,1,0.156491,0.084887,0.000416
benign_benign_172,1,0.247227,0.141049,0.000793
benign_benign_173,2,0.077231,0.040167,0.003052
benign_benign_174,1,0.045539,0.023300,0.001606
benign_benign_175,1,0.230675,0.130375,0.001623
benign_benign_176,1,0.403570,0.252795,0.000677
benign_benign_177,1,0.125533,0.066970,0.000468
benign_benign_178,1,0.239310,0.135918,0.002240
benign_benign_179,1,0.431866,0.275401,0.000484
benign_benign_18,2,0.061448,0.031698,0.003473
benign_benign_180,1,0.330848,0.198213,0.001056
benign_benign_181,1,0.023244,0.011759,0.002398
benign_benign_182,1,0.320000,0.190476,0.000642
benign_benign_183,2,0.118018,0.062710,0.000765
benign_benign_184,1,0.167621,0.091477,0.001470
benign_benign_185,1,0.230306,0.130139,0.000567
benign_benign_186,1,0.062323,0.032164,0.001919
benign_benign_187,1,0.696098,0.533857,0.000664
benign_benign_188,1,0.103181,0.054397,0.009894
benign_benign_189,1,0.177733,0.097534,0.000476
