case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.118780,0.063140,0.002258
benign_benign_10,1,0.001203,0.000602,0.003169
benign_benign_100,2,0.056180,0.028902,0.002050
benign_benign_101,1,0.004034,0.002021,0.000918
benign_benign_102,1,0.026185,0.013266,0.002277
benign_benign_103,1,0.001411,0.000706,0.004834
benign_benign_104,1,0.059618,0.030725,0.001048
benign_benign_105,1,0.040711,0.020778,0.001465
benign_benign_106,1,0.006530,0.003276,0.001728
benign_benign_107,1,0.155034,0.084031,0.001681
benign_benign_108,1,0.646309,0.477443,0.002302
benign_benign_109,1,0.050252,0.025773,0.002796
benign_benign_11,1,0.002612,0.001308,0.000991
benign_benign_110,1,0.022283,0.011267,0.003227
benign_benign_111,1,0.138132,0.074190,0.000908
benign_benign_112,1,0.062886,0.032464,0.001175
benign_benign_113,1,0.015700,0.007912,0.002497
benign_benign_114,1,0.271262,0.156913,0.003867
benign_benign_115,1,0.124047,0.066125,0.001022
benign_benign_116,1,0.111351,0.058958,0.001188
benign_benign_117,1,0.108523,0.057375,0.001855
benign_benign_118,1,0.072742,0.037744,0.001118
benign_benign_119,1,0.136826,0.073437,0.001046
benign_benign_12,1,0.149080,0.080544,0.000829
benign_benign_120,1,0.124304,0.066271,0.000890
benign_benign_121,1,0.076653,0.039854,0.001918
benign_benign_122,1,0.039178,0.019980,0.002068
benign_benign_123,1,0.079434,0.041360,0.002847
benign_benign_124,1,0.259085,0.148821,0.001465
benign_benign_125,1,0.069307,0.035897,0.001107
benign_benign_126,1,0.093977,0.049305,0.001138
benign_benign_127,1,0.066861,0.034587,0.001000
benign_benign_128,1,0.132562,0.070986,0.000850
benign_benign_129,1,0.071825,0.037250,0.001408
benign_benign_13,1,0.023053,0.011661,0.004571
benign_benign_130,1,0.009901,0.004975,0.001812
benign_benign_131,1,0.098841,0.051990,0.006148
benign_benign_132,1,0.018015,0.009090,0.001065
benign_benign_133,1,0.242839,0.138200,0.000585
benign_benign_134,1,0.028708,0.014563,0.000615
benign_benign_135,1,0.104947,0.055379,0.001558
benign_benign_136,1,0.075591,0.039280,0.002057
benign_benign_137,1,0.014812,0.007461,0.001254
benign_benign_138,1,0.009808,0.004928,0.000847
benign_benign_139,1,0.000000,0.000000,0.001636
benign_benign_14,1,0.078809,0.041021,0.001012
benign_benign_140,1,0.056061,0.028839,0.004459
benign_benign_141,1,0.122836,0.065437,0.012491
benign_benign_142,1,0.138833,0.074595,0.003098
benign_benign_143,1,0.040629,0.020736,0.001072
benign_benign_144,1,0.028148,0.014275,0.002025
benign_benign_145,1,0.131284,0.070254,0.001695
benign_benign_146,1,0.108259,0.057227,0.000774
benign_benign_147,2,0.069847,0.036187,0.001125
benign_benign_148,1,0.015471,0.007796,0.002210
benign_benign_149,1,0.019106,0.009645,0.001667
benign_benign_15,1,0.010682,0.005370,0.000879
benign_benign_150,1,0.030815,0.015649,0.000751
benign_benign_151,1,0.071877,0.037278,0.000964
benign_benign_152,1,0.087509,0.045757,0.006777
benign_benign_153,1,0.005249,0.002632,0.000928
benign_benign_154,1,0.054314,0.027915,0.000911
benign_benign_155,1,0.015352,0.007735,0.005936
benign_benign_156,2,0.077717,0.040430,0.001511
benign_benign_157,1,0.055664,0.028629,0.001490
benign_benign_158,1,0.002463,0.001233,0.003418
benign_benign_159,1,0.021469,0.010851,0.001114
benign_benign_16,1,0.024652,0.012480,0.000722
benign_benign_160,1,0.118203,0.062814,0.000951
benign_benign_161,1,0.135684,0.072779,0.000997
benign_benign_162,1,0.041311,0.021091,0.000709
benign_benign_163,2,0.073125,0.037950,0.001520
benign_benign_164,1,0.089344,0.046761,0.004406
benign_benign_165,1,0.071305,0.036971,0.000728
benign_benign_166,1,0.077962,0.040562,0.000751
benign_benign_167,1,0.148438,0.080169,0.000730
benign_benign_168,1,0.001207,0.000604,0.001564
benign_benign_169,1,0.042062,0.021483,0.000610
benign_benign_17,1,0.121125,0.064467,0.000976
benign_benign_170,1,0.000000,0.000000,0.001452
benign_benign_171,1,0.014502,0.007304,0.000687
benign_benign_172,1,0.016582,0.008360,0.001482
benign_benign_173,2,0.005812,0.002914,0.004656
benign_benign_174,1,0.026270,0.013310,0.002588
benign_benign_175,1,0.108972,0.057626,0.002369
benign_benign_176,1,0.167018,0.091118,0.001094
benign_benign_177,1,0.020421,0.010316,0.000896
benign_benign_178,1,0.105338,0.055597,0.003224
benign_benign_179,1,0.325178,0.194156,0.000548
benign_benign_18,2,0.082826,0.043202,0.005017
benign_benign_180,1,0.038912,0.019842,0.001433
benign_benign_181,1,0.007656,0.003843,0.002869
benign_benign_182,1,0.054540,0.028035,0.000754
benign_benign_183,2,0.055694,0.028645,0.001041
benign_benign_184,1,0.101433,0.053426,0.002577
benign_benign_185,1,0.099655,0.052441,0.000943
benign_benign_186,1,0.036031,0.018346,0.003589
benign_benign_187,1,0.277817,0.161317,0.001121
benign_benign_188,1,0.000637,0.000319,0.013072
benign_benign_189,1,0.063056,0.032555,0.000848
