case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.163551,0.089059,0.001852
benign_benign_10,1,0.864629,0.761539,0.002263
benign_benign_100,2,0.425793,0.270481,0.001270
benign_benign_101,1,0.518417,0.349907,0.000803
benign_benign_102,1,0.732784,0.578262,0.001739
benign_benign_103,1,0.863443,0.759700,0.004312
benign_benign_104,1,0.428943,0.273028,0.000618
benign_benign_105,1,0.654100,0.485995,0.001124
benign_benign_106,1,0.755393,0.606933,0.001207
benign_benign_107,1,0.672047,0.506077,0.001441
benign_benign_108,1,0.808823,0.679012,0.001434
benign_benign_109,1,0.773750,0.630988,0.002303
benign_benign_11,1,0.219398,0.123216,0.000556
benign_benign_110,1,0.843655,0.729588,0.002450
benign_benign_111,1,0.302734,0.178366,0.000604
benign_benign_112,1,0.309096,0.182800,0.000806
benign_benign_113,1,0.798267,0.664263,0.001744
benign_benign_114,1,0.783200,0.643655,0.002456
benign_benign_115,1,0.377225,0.232457,0.000667
benign_benign_116,1,0.348053,0.210692,0.000822
benign_benign_117,1,0.678674,0.513631,0.001230
benign_benign_118,1,0.667952,0.501447,0.000709
benign_benign_119,1,0.421423,0.266964,0.000758
benign_benign_12,1,0.190370,0.105198,0.000441
benign_benign_120,1,0.281493,0.163801,0.000436
benign_benign_121,1,0.772893,0.629849,0.001540
benign_benign_122,1,0.573608,0.402139,0.001540
benign_benign_123,1,0.785634,0.646950,0.001831
benign_benign_124,1,0.491927,0.326196,0.000928
benign_benign_125,1,0.363663,0.222242,0.000823
benign_benign_126,1,0.488076,0.322818,0.000842
benign_benign_127,1,0.435976,0.278753,0.000658
benign_benign_128,1,0.205355,0.114427,0.000612
benign_benign_129,1,0.463905,0.302003,0.000734
benign_benign_13,1,0.833882,0.715093,0.003497
benign_benign_130,1,0.747461,0.596757,0.001641
benign_benign_131,1,0.720973,0.563689,0.004675
benign_benign_132,1,0.623479,0.452938,0.001013
benign_benign_133,1,0.912680,0.839385,0.000278
benign_benign_134,1,0.393056,0.244599,0.000366
benign_benign_135,1,0.440585,0.282533,0.001153
benign_benign_136,1,0.811842,0.683278,0.001326
benign_benign_137,1,0.492988,0.327129,0.000684
benign_benign_138,1,0.091541,0.047966,0.000558
benign_benign_139,1,0.691803,0.528822,0.001124
benign_benign_14,1,0.334405,0.200772,0.000646
benign_benign_140,1,0.892332,0.805594,0.003268
benign_benign_141,1,0.855794,0.747937,0.009635
benign_benign_142,1,0.291735,0.170779,0.000750
benign_benign_143,1,0.121283,0.064556,0.000455
benign_benign_144,1,0.280767,0.163309,0.000452
benign_benign_145,1,0.612595,0.441541,0.001016
benign_benign_146,1,0.375385,0.231061,0.000331
benign_benign_147,2,0.404123,0.253229,0.000681
benign_benign_148,1,0.716212,0.557889,0.001111
benign_benign_149,1,0.598796,0.427344,0.001099
benign_benign_15,1,0.430399,0.274209,0.000559
benign_benign_150,1,0.214630,0.120216,0.000556
benign_benign_151,1,0.220848,0.124131,0.000485
benign_benign_152,1,0.836932,0.719590,0.004324
benign_benign_153,1,0.912406,0.838922,0.002916
benign_benign_154,1,0.142184,0.076533,0.000812
benign_benign_155,1,0.842106,0.727274,0.004496
benign_benign_156,2,0.636284,0.466581,0.001180
benign_benign_157,1,0.670729,0.504584,0.001508
benign_benign_158,1,0.820060,0.695002,0.002982
benign_benign_159,1,0.309930,0.183383,0.000933
benign_benign_16,1,0.159292,0.086538,0.000580
benign_benign_160,1,0.527664,0.358386,0.000706
benign_benign_161,1,0.355462,0.216147,0.000650
benign_benign_162,1,0.057463,0.029582,0.000505
benign_benign_163,2,0.273623,0.158496,0.001023
benign_benign_164,1,0.626993,0.456657,0.003500
benign_benign_165,1,0.225221,0.126901,0.000572
benign_benign_166,1,0.413312,0.260487,0.000531
benign_benign_167,1,0.321292,0.191393,0.000603
benign_benign_168,1,0.781737,0.641681,0.001710
benign_benign_169,1,0.124688,0.066489,0.000772
benign_benign_17,1,0.302036,0.177881,0.000831
benign_benign_170,1,0.715604,0.557152,0.001433
benign_benign_171,1,0.122449,0.065217,0.000641
benign_benign_172,1,0.447953,0.288621,0.001104
benign_benign_173,2,0.817033,0.690664,0.003673
benign_benign_174,1,0.870909,0.771337,0.001990
benign_benign_175,1,0.749978,0.599972,0.001991
benign_benign_176,1,0.501214,0.334413,0.000998
benign_benign_177,1,0.353215,0.214488,0.000750
benign_benign_178,1,0.832003,0.712333,0.002719
benign_benign_179,1,0.408309,0.256526,0.000340
benign_benign_18,2,0.764056,0.618197,0.004453
benign_benign_180,1,0.800698,0.667637,0.001215
benign_benign_181,1,0.746074,0.594990,0.002836
benign_benign_182,1,0.473493,0.310180,0.000602
benign_benign_183,2,0.196776,0.109125,0.000981
benign_benign_184,1,0.859420,0.753494,0.001627
benign_benign_185,1,0.206105,0.114892,0.000609
benign_benign_186,1,0.774239,0.631639,0.002226
benign_benign_187,1,0.496660,0.330371,0.000837
benign_benign_188,1,0.900661,0.819275,0.010720
benign_benign_189,1,0.135663,0.072767,0.000520
