case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.326633,0.195195,0.002908
benign_benign_10,1,0.968644,0.939195,0.006542
benign_benign_100,2,0.869326,0.768857,0.002867
benign_benign_101,1,0.927462,0.864735,0.001211
benign_benign_102,1,0.937015,0.881493,0.004038
benign_benign_103,1,0.897448,0.813974,0.011328
benign_benign_104,1,0.908687,0.832655,0.001372
benign_benign_105,1,0.921589,0.854580,0.002307
benign_benign_106,1,0.910016,0.834890,0.002834
benign_benign_107,1,0.922925,0.856881,0.002458
benign_benign_108,1,0.724124,0.567550,0.003993
benign_benign_109,1,0.750682,0.600873,0.006394
benign_benign_11,1,0.901117,0.820031,0.000830
benign_benign_110,1,0.868795,0.768026,0.007998
benign_benign_111,1,0.870157,0.770158,0.001017
benign_benign_112,1,0.677530,0.512322,0.001681
benign_benign_113,1,0.941030,0.888627,0.005207
benign_benign_114,1,0.738169,0.584998,0.006210
benign_benign_115,1,0.578991,0.407451,0.001266
benign_benign_116,1,0.736914,0.583424,0.001707
benign_benign_117,1,0.887164,0.797210,0.003928
benign_benign_118,1,0.636994,0.467345,0.001770
benign_benign_119,1,0.810399,0.681235,0.001554
benign_benign_12,1,0.780076,0.639446,0.001068
benign_benign_120,1,0.752077,0.602663,0.000831
benign_benign_121,1,0.944063,0.894052,0.004074
benign_benign_122,1,0.805771,0.674721,0.003812
benign_benign_123,1,0.901456,0.820592,0.005540
benign_benign_124,1,0.671170,0.505084,0.002073
benign_benign_125,1,0.826456,0.704240,0.001539
benign_benign_126,1,0.619698,0.448958,0.001937
benign_benign_127,1,0.811141,0.682286,0.001214
benign_benign_128,1,0.860571,0.755265,0.001059
benign_benign_129,1,0.901971,0.821445,0.001707
benign_benign_13,1,0.971802,0.945151,0.011643
benign_benign_130,1,0.906238,0.828551,0.003541
benign_benign_131,1,0.355732,0.216347,0.015546
benign_benign_132,1,0.924321,0.859291,0.001639
benign_benign_133,1,0.851958,0.742097,0.000623
benign_benign_134,1,0.673684,0.507937,0.000630
benign_benign_135,1,0.715406,0.556912,0.002541
benign_benign_136,1,0.870267,0.770330,0.003477
benign_benign_137,1,0.897721,0.814422,0.001671
benign_benign_138,1,0.899279,0.816990,0.000804
benign_benign_139,1,0.958810,0.920879,0.002358
benign_benign_14,1,0.566852,0.395529,0.001351
benign_benign_140,1,0.797575,0.663305,0.012282
benign_benign_141,1,0.588823,0.417257,0.036603
benign_benign_142,1,0.873670,0.775678,0.001460
benign_benign_143,1,0.870333,0.770434,0.000815
benign_benign_144,1,0.877115,0.781126,0.000864
benign_benign_145,1,0.837601,0.720580,0.002334
benign_benign_146,1,0.810087,0.680795,0.000734
benign_benign_147,2,0.654630,0.486580,0.001486
benign_benign_148,1,0.958682,0.920643,0.002338
benign_benign_149,1,0.941231,0.888985,0.002657
benign_benign_15,1,0.928596,0.866710,0.001228
benign_benign_150,1,0.710406,0.550875,0.000878
benign_benign_151,1,0.919433,0.850881,0.001090
benign_benign_152,1,0.890839,0.803165,0.016749
benign_benign_153,1,0.881849,0.788667,0.001082
benign_benign_154,1,0.900184,0.818487,0.000857
benign_benign_155,1,0.930220,0.869544,0.016478
benign_benign_156,2,0.936303,0.880235,0.003116
benign_benign_157,1,0.934139,0.876417,0.002715
benign_benign_158,1,0.737839,0.584584,0.008148
benign_benign_159,1,0.766113,0.620894,0.001244
benign_benign_16,1,0.856083,0.748379,0.000925
benign_benign_160,1,0.874789,0.777444,0.001066
benign_benign_161,1,0.904488,0.825630,0.001205
benign_benign_162,1,0.797558,0.663281,0.000726
benign_benign_163,2,0.802070,0.669546,0.001801
benign_benign_164,1,0.662136,0.494920,0.011273
benign_benign_165,1,0.728622,0.573096,0.000726
benign_benign_166,1,0.828577,0.707325,0.000998
benign_benign_167,1,0.847860,0.735900,0.000908
benign_benign_168,1,0.956554,0.916727,0.003158
benign_benign_169,1,0.819095,0.693617,0.000756
benign_benign_17,1,0.849445,0.738292,0.001334
benign_benign_170,1,0.943955,0.893858,0.003214
benign_benign_171,1,0.783111,0.643535,0.000653
benign_benign_172,1,0.821653,0.697293,0.001983
benign_benign_173,2,0.930216,0.869537,0.008397
benign_benign_174,1,0.942785,0.891763,0.006040
benign_benign_175,1,0.857700,0.750854,0.005185
benign_benign_176,1,0.621083,0.450414,0.001321
benign_benign_177,1,0.825666,0.703093,0.000947
benign_benign_178,1,0.917247,0.847144,0.008095
benign_benign_179,1,0.630835,0.460744,0.000645
benign_benign_18,2,0.797495,0.663195,0.013284
benign_benign_180,1,0.912233,0.838629,0.002605
benign_benign_181,1,0.761665,0.615072,0.006728
benign_benign_182,1,0.733442,0.579083,0.000939
benign_benign_183,2,0.874226,0.776555,0.001959
benign_benign_184,1,0.925081,0.860605,0.005435
benign_benign_185,1,0.780399,0.639880,0.001118
benign_benign_186,1,0.944254,0.894395,0.007703
benign_benign_187,1,0.485023,0.320152,0.001905
benign_benign_188,1,0.799490,0.665958,0.033504
benign_benign_189,1,0.899766,0.817795,0.001002
