case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.201133,0.111811,0.002364
benign_benign_10,1,0.010738,0.005398,0.008150
benign_benign_100,2,0.165743,0.090360,0.004676
benign_benign_101,1,0.107287,0.056684,0.002139
benign_benign_102,1,0.265488,0.153062,0.005271
benign_benign_103,1,0.024923,0.012619,0.012112
benign_benign_104,1,0.213046,0.119223,0.001854
benign_benign_105,1,0.114215,0.060567,0.002993
benign_benign_106,1,0.028167,0.014285,0.003646
benign_benign_107,1,0.272649,0.157843,0.003597
benign_benign_108,1,0.813369,0.685443,0.005629
benign_benign_109,1,0.097938,0.051490,0.008028
benign_benign_11,1,0.174784,0.095761,0.001661
benign_benign_110,1,0.068994,0.035730,0.009347
benign_benign_111,1,0.270088,0.156128,0.001648
benign_benign_112,1,0.111205,0.058876,0.002093
benign_benign_113,1,0.051653,0.026511,0.007379
benign_benign_114,1,0.648857,0.480229,0.009155
benign_benign_115,1,0.225062,0.126800,0.002259
benign_benign_116,1,0.258457,0.148407,0.002626
benign_benign_117,1,0.168841,0.092205,0.004752
benign_benign_118,1,0.234204,0.132634,0.002535
benign_benign_119,1,0.165276,0.090082,0.002021
benign_benign_12,1,0.130006,0.069522,0.001585
benign_benign_120,1,0.237545,0.134781,0.001733
benign_benign_121,1,0.198928,0.110450,0.004903
benign_benign_122,1,0.230523,0.130277,0.004804
benign_benign_123,1,0.257758,0.147946,0.007269
benign_benign_124,1,0.316799,0.188212,0.002647
benign_benign_125,1,0.265579,0.153123,0.002408
benign_benign_126,1,0.303827,0.179125,0.002512
benign_benign_127,1,0.293642,0.172087,0.002229
benign_benign_128,1,0.219241,0.123117,0.001921
benign_benign_129,1,0.227027,0.128049,0.002708
benign_benign_13,1,0.083622,0.043636,0.014065
benign_benign_130,1,0.052197,0.026798,0.004462
benign_benign_131,1,0.530425,0.360938,0.018147
benign_benign_132,1,0.050677,0.025997,0.002547
benign_benign_133,1,0.906486,0.828966,0.001270
benign_benign_134,1,0.068182,0.035294,0.001368
benign_benign_135,1,0.306942,0.181294,0.003767
benign_benign_136,1,0.189073,0.104407,0.004500
benign_benign_137,1,0.124309,0.066274,0.002312
benign_benign_138,1,0.166113,0.090580,0.001463
benign_benign_139,1,0.113487,0.060157,0.003428
benign_benign_14,1,0.126195,0.067347,0.002266
benign_benign_140,1,0.135325,0.072573,0.012126
benign_benign_141,1,0.532921,0.363253,0.039990
benign_benign_142,1,0.292498,0.171302,0.002049
benign_benign_143,1,0.073454,0.038127,0.001536
benign_benign_144,1,0.179987,0.098893,0.001441
benign_benign_145,1,0.241015,0.137019,0.002778
benign_benign_146,1,0.362758,0.221567,0.001369
benign_benign_147,2,0.423686,0.268783,0.002517
benign_benign_148,1,0.075830,0.039409,0.003601
benign_benign_149,1,0.056038,0.028827,0.003531
benign_benign_15,1,0.040034,0.020426,0.001861
benign_benign_150,1,0.126582,0.067568,0.001526
benign_benign_151,1,0.229805,0.129819,0.001719
benign_benign_152,1,0.175932,0.096450,0.018339
benign_benign_153,1,0.309050,0.182767,0.001477
benign_benign_154,1,0.129830,0.069421,0.001617
benign_benign_155,1,0.045602,0.023333,0.016522
benign_benign_156,2,0.182557,0.100447,0.003561
benign_benign_157,1,0.147015,0.079340,0.005383
benign_benign_158,1,0.061538,0.031746,0.010329
benign_benign_159,1,0.217917,0.122282,0.001802
benign_benign_16,1,0.064316,0.033227,0.001510
benign_benign_160,1,0.241939,0.137617,0.001696
benign_benign_161,1,0.233753,0.132345,0.001551
benign_benign_162,1,0.092992,0.048763,0.001467
benign_benign_163,2,0.165208,0.090042,0.003278
benign_benign_164,1,0.576795,0.405279,0.012320
benign_benign_165,1,0.241058,0.137047,0.001247
benign_benign_166,1,0.144706,0.077996,0.001638
benign_benign_167,1,0.247391,0.141156,0.001393
benign_benign_168,1,0.034582,0.017595,0.004062
benign_benign_169,1,0.099612,0.052417,0.001602
benign_benign_17,1,0.197065,0.109302,0.002312
benign_benign_170,1,0.002427,0.001215,0.003855
benign_benign_171,1,0.167157,0.091201,0.001309
benign_benign_172,1,0.249132,0.142290,0.003092
benign_benign_173,2,0.077410,0.040263,0.012889
benign_benign_174,1,0.045683,0.023376,0.007926
benign_benign_175,1,0.237970,0.135054,0.007107
benign_benign_176,1,0.407617,0.255979,0.002613
benign_benign_177,1,0.126948,0.067776,0.001838
benign_benign_178,1,0.249911,0.142799,0.009031
benign_benign_179,1,0.431564,0.275156,0.001121
benign_benign_18,2,0.067977,0.035184,0.016223
benign_benign_180,1,0.333414,0.200058,0.004048
benign_benign_181,1,0.023503,0.011891,0.008074
benign_benign_182,1,0.331453,0.198648,0.001766
benign_benign_183,2,0.118694,0.063091,0.002487
benign_benign_184,1,0.168725,0.092135,0.006218
benign_benign_185,1,0.231584,0.130956,0.001846
benign_benign_186,1,0.063256,0.032661,0.008707
benign_benign_187,1,0.697561,0.535581,0.003011
benign_benign_188,1,0.113748,0.060304,0.041030
benign_benign_189,1,0.177499,0.097393,0.001565
