case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.255924,0.146739,0.006094
benign_benign_10,1,0.066792,0.034550,0.023551
benign_benign_100,2,0.362858,0.221641,0.014401
benign_benign_101,1,0.474443,0.310997,0.006139
benign_benign_102,1,0.475974,0.312314,0.018890
benign_benign_103,1,0.213654,0.119604,0.056740
benign_benign_104,1,0.538344,0.368311,0.005765
benign_benign_105,1,0.348093,0.210722,0.009430
benign_benign_106,1,0.409910,0.257791,0.012759
benign_benign_107,1,0.501528,0.334693,0.011232
benign_benign_108,1,0.794247,0.658715,0.017807
benign_benign_109,1,0.304389,0.179516,0.030966
benign_benign_11,1,0.163873,0.089249,0.003945
benign_benign_110,1,0.389305,0.241700,0.039144
benign_benign_111,1,0.540499,0.370331,0.004500
benign_benign_112,1,0.344104,0.207805,0.006733
benign_benign_113,1,0.396699,0.247426,0.025584
benign_benign_114,1,0.635958,0.466231,0.021376
benign_benign_115,1,0.416114,0.262717,0.005299
benign_benign_116,1,0.414867,0.261724,0.005846
benign_benign_117,1,0.355609,0.216256,0.014577
benign_benign_118,1,0.571052,0.399631,0.008134
benign_benign_119,1,0.584641,0.413069,0.006891
benign_benign_12,1,0.518615,0.350088,0.005246
benign_benign_120,1,0.405154,0.254039,0.003955
benign_benign_121,1,0.481029,0.316681,0.017551
benign_benign_122,1,0.355260,0.215998,0.015330
benign_benign_123,1,0.585701,0.414129,0.027980
benign_benign_124,1,0.553588,0.382732,0.009304
benign_benign_125,1,0.401169,0.250914,0.008596
benign_benign_126,1,0.486780,0.321684,0.007968
benign_benign_127,1,0.364184,0.222631,0.004405
benign_benign_128,1,0.356101,0.216620,0.005951
benign_benign_129,1,0.440004,0.282054,0.009285
benign_benign_13,1,0.380223,0.234738,0.067527
benign_benign_130,1,0.293863,0.172239,0.014428
benign_benign_131,1,0.690664,0.527492,0.064943
benign_benign_132,1,0.237035,0.134453,0.006837
benign_benign_133,1,0.906486,0.828966,0.002263
benign_benign_134,1,0.166138,0.090595,0.002606
benign_benign_135,1,0.333919,0.200422,0.010900
benign_benign_136,1,0.463996,0.302080,0.015070
benign_benign_137,1,0.322303,0.192110,0.008740
benign_benign_138,1,0.465863,0.303665,0.003999
benign_benign_139,1,0.286963,0.167517,0.010844
benign_benign_14,1,0.576728,0.405212,0.007563
benign_benign_140,1,0.450343,0.290608,0.065091
benign_benign_141,1,0.716291,0.557986,0.155092
benign_benign_142,1,0.362716,0.221535,0.007216
benign_benign_143,1,0.458296,0.297266,0.003300
benign_benign_144,1,0.277494,0.161099,0.002371
benign_benign_145,1,0.551955,0.381173,0.013568
benign_benign_146,1,0.467564,0.305112,0.004188
benign_benign_147,2,0.481227,0.316853,0.006474
benign_benign_148,1,0.259439,0.149055,0.007566
benign_benign_149,1,0.295509,0.173371,0.012624
benign_benign_15,1,0.237351,0.134656,0.005729
benign_benign_150,1,0.507903,0.340395,0.004192
benign_benign_151,1,0.397768,0.248259,0.004083
benign_benign_152,1,0.365375,0.223522,0.097735
benign_benign_153,1,0.466733,0.304404,0.005509
benign_benign_154,1,0.161303,0.087727,0.005317
benign_benign_155,1,0.275686,0.159881,0.088124
benign_benign_156,2,0.275298,0.159621,0.013284
benign_benign_157,1,0.301255,0.177340,0.011105
benign_benign_158,1,0.252813,0.144697,0.042366
benign_benign_159,1,0.439617,0.281737,0.007578
benign_benign_16,1,0.467826,0.305335,0.003915
benign_benign_160,1,0.424619,0.269534,0.005797
benign_benign_161,1,0.469462,0.306730,0.005802
benign_benign_162,1,0.475138,0.311594,0.003070
benign_benign_163,2,0.328424,0.196476,0.010067
benign_benign_164,1,0.618900,0.448121,0.039877
benign_benign_165,1,0.344511,0.208102,0.003322
benign_benign_166,1,0.239958,0.136336,0.004514
benign_benign_167,1,0.470588,0.307692,0.005168
benign_benign_168,1,0.376059,0.231572,0.017102
benign_benign_169,1,0.396825,0.247525,0.003595
benign_benign_17,1,0.346159,0.209306,0.008571
benign_benign_170,1,0.267489,0.154394,0.013538
benign_benign_171,1,0.250959,0.143484,0.003338
benign_benign_172,1,0.456374,0.295650,0.014183
benign_benign_173,2,0.208622,0.116459,0.034298
benign_benign_174,1,0.441093,0.282950,0.029762
benign_benign_175,1,0.438110,0.280500,0.032557
benign_benign_176,1,0.293894,0.172260,0.006007
benign_benign_177,1,0.390550,0.242660,0.004449
benign_benign_178,1,0.515386,0.347152,0.042064
benign_benign_179,1,0.532247,0.362627,0.002899
benign_benign_18,2,0.251803,0.144036,0.080605
benign_benign_180,1,0.910554,0.835796,0.013576
benign_benign_181,1,0.280238,0.162952,0.031060
benign_benign_182,1,0.553876,0.383007,0.005399
benign_benign_183,2,0.479320,0.315201,0.007687
benign_benign_184,1,0.473785,0.310432,0.027052
benign_benign_185,1,0.569995,0.398596,0.005991
benign_benign_186,1,0.436271,0.278994,0.038682
benign_benign_187,1,0.697422,0.535417,0.009425
benign_benign_188,1,0.276528,0.160448,0.095976
benign_benign_189,1,0.425107,0.269928,0.004480
