case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.897721,0.814423,0.018411
benign_benign_10,1,0.981447,0.963570,0.173647
benign_benign_100,2,0.890308,0.802302,0.066013
benign_benign_101,1,0.933166,0.874706,0.020266
benign_benign_102,1,0.875375,0.778370,0.097156
benign_benign_103,1,0.958202,0.919758,0.243453
benign_benign_104,1,0.905451,0.827236,0.028231
benign_benign_105,1,0.943068,0.892269,0.051285
benign_benign_106,1,0.923906,0.858574,0.039125
benign_benign_107,1,0.837532,0.720478,0.039433
benign_benign_108,1,0.804173,0.672482,0.071218
benign_benign_109,1,0.929779,0.868772,0.146579
benign_benign_11,1,0.922074,0.855416,0.025174
benign_benign_110,1,0.937034,0.881527,0.181595
benign_benign_111,1,0.868089,0.766923,0.025192
benign_benign_112,1,0.903337,0.823714,0.040764
benign_benign_113,1,0.955729,0.915213,0.136284
benign_benign_114,1,0.463214,0.301417,0.065276
benign_benign_115,1,0.906524,0.829029,0.032392
benign_benign_116,1,0.796555,0.661896,0.020285
benign_benign_117,1,0.890463,0.802554,0.082754
benign_benign_118,1,0.831162,0.711102,0.026656
benign_benign_119,1,0.900904,0.819678,0.035048
benign_benign_12,1,0.882969,0.790460,0.027454
benign_benign_120,1,0.882982,0.790481,0.018529
benign_benign_121,1,0.875345,0.778324,0.087565
benign_benign_122,1,0.874976,0.777740,0.060569
benign_benign_123,1,0.807639,0.677344,0.037334
benign_benign_124,1,0.830045,0.709468,0.027210
benign_benign_125,1,0.871229,0.771838,0.036894
benign_benign_126,1,0.844440,0.730763,0.043493
benign_benign_127,1,0.868056,0.766871,0.035904
benign_benign_128,1,0.880936,0.787208,0.033058
benign_benign_129,1,0.899498,0.817353,0.050184
benign_benign_13,1,0.958526,0.920355,0.279113
benign_benign_130,1,0.965837,0.933931,0.085469
benign_benign_131,1,0.644034,0.474963,0.173195
benign_benign_132,1,0.934829,0.877632,0.021428
benign_benign_133,1,0.823299,0.699667,0.019668
benign_benign_134,1,0.910190,0.835182,0.019825
benign_benign_135,1,0.511726,0.343838,0.038864
benign_benign_136,1,0.884325,0.792637,0.055525
benign_benign_137,1,0.922875,0.856794,0.039490
benign_benign_138,1,0.925810,0.861868,0.016145
benign_benign_139,1,0.945008,0.895749,0.061545
benign_benign_14,1,0.865610,0.763062,0.034115
benign_benign_140,1,0.902394,0.822147,0.161738
benign_benign_141,1,0.638667,0.469149,0.296614
benign_benign_142,1,0.883050,0.790590,0.022907
benign_benign_143,1,0.936755,0.881033,0.015009
benign_benign_144,1,0.891703,0.804571,0.012182
benign_benign_145,1,0.851566,0.741503,0.048681
benign_benign_146,1,0.866988,0.765206,0.017478
benign_benign_147,2,0.685515,0.521508,0.026869
benign_benign_148,1,0.935335,0.878524,0.062234
benign_benign_149,1,0.907530,0.830715,0.044748
benign_benign_15,1,0.935349,0.878550,0.015898
benign_benign_150,1,0.886165,0.795597,0.015312
benign_benign_151,1,0.889671,0.801268,0.018992
benign_benign_152,1,0.878690,0.783628,0.323148
benign_benign_153,1,0.867353,0.765775,0.017640
benign_benign_154,1,0.901538,0.820728,0.013949
benign_benign_155,1,0.937540,0.882424,0.330642
benign_benign_156,2,0.920103,0.852028,0.050930
benign_benign_157,1,0.930453,0.869951,0.068630
benign_benign_158,1,0.943212,0.892528,0.162449
benign_benign_159,1,0.871769,0.772687,0.015396
benign_benign_16,1,0.905910,0.828003,0.015306
benign_benign_160,1,0.906973,0.829781,0.027966
benign_benign_161,1,0.886225,0.795696,0.026318
benign_benign_162,1,0.912695,0.839410,0.011774
benign_benign_163,2,0.873440,0.775316,0.044903
benign_benign_164,1,0.614841,0.443878,0.252795
benign_benign_165,1,0.880409,0.786366,0.012283
benign_benign_166,1,0.896225,0.811963,0.018521
benign_benign_167,1,0.876994,0.780935,0.023534
benign_benign_168,1,0.960672,0.924320,0.063390
benign_benign_169,1,0.909158,0.833446,0.009784
benign_benign_17,1,0.898170,0.815162,0.028123
benign_benign_170,1,0.924819,0.860152,0.073728
benign_benign_171,1,0.837382,0.720255,0.012838
benign_benign_172,1,0.857444,0.750462,0.053944
benign_benign_173,2,0.960480,0.923965,0.239036
benign_benign_174,1,0.901011,0.819855,0.143748
benign_benign_175,1,0.872052,0.773131,0.128493
benign_benign_176,1,0.771267,0.627694,0.025024
benign_benign_177,1,0.933018,0.874446,0.028316
benign_benign_178,1,0.886252,0.795738,0.146771
benign_benign_179,1,0.800725,0.667674,0.019668
benign_benign_18,2,0.929826,0.868855,0.299247
benign_benign_180,1,0.846169,0.733356,0.047661
benign_benign_181,1,0.906206,0.828497,0.144963
benign_benign_182,1,0.819800,0.694628,0.021820
benign_benign_183,2,0.903928,0.824697,0.028526
benign_benign_184,1,0.899512,0.817375,0.109393
benign_benign_185,1,0.856319,0.748739,0.023757
benign_benign_186,1,0.952140,0.908653,0.153722
benign_benign_187,1,0.511075,0.343251,0.037009
benign_benign_188,1,0.884093,0.792264,0.303651
benign_benign_189,1,0.903671,0.824269,0.018230
