case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.880863,0.787091,0.054106
benign_benign_10,1,0.953505,0.911141,0.652404
benign_benign_100,2,0.897922,0.814754,0.238923
benign_benign_101,1,0.936127,0.879924,0.096645
benign_benign_102,1,0.959571,0.922284,0.391745
benign_benign_103,1,0.921147,0.853820,1.013701
benign_benign_104,1,0.908410,0.832189,0.109474
benign_benign_105,1,0.947747,0.900684,0.205579
benign_benign_106,1,0.929042,0.867486,0.264017
benign_benign_107,1,0.928444,0.866445,0.198851
benign_benign_108,1,0.753237,0.604155,0.370844
benign_benign_109,1,0.940290,0.887309,0.525157
benign_benign_11,1,0.893617,0.807692,0.065998
benign_benign_110,1,0.943830,0.893634,0.643113
benign_benign_111,1,0.862901,0.758862,0.067828
benign_benign_112,1,0.906208,0.828501,0.120705
benign_benign_113,1,0.970052,0.941845,0.420088
benign_benign_114,1,0.867918,0.766656,0.517526
benign_benign_115,1,0.906902,0.829663,0.102315
benign_benign_116,1,0.784189,0.644992,0.128022
benign_benign_117,1,0.906309,0.828670,0.281937
benign_benign_118,1,0.898123,0.815085,0.159108
benign_benign_119,1,0.917454,0.847496,0.131699
benign_benign_12,1,0.836649,0.719171,0.086722
benign_benign_120,1,0.875706,0.778894,0.070839
benign_benign_121,1,0.934905,0.877767,0.320035
benign_benign_122,1,0.885267,0.794151,0.293205
benign_benign_123,1,0.903160,0.823421,0.488795
benign_benign_124,1,0.891650,0.804484,0.150709
benign_benign_125,1,0.873256,0.775025,0.128986
benign_benign_126,1,0.816958,0.690557,0.144947
benign_benign_127,1,0.925191,0.860795,0.109030
benign_benign_128,1,0.878049,0.782609,0.098451
benign_benign_129,1,0.896030,0.811643,0.147883
benign_benign_13,1,0.972341,0.946172,1.110205
benign_benign_130,1,0.969329,0.940484,0.333219
benign_benign_131,1,0.919777,0.851470,1.269828
benign_benign_132,1,0.920663,0.852989,0.147455
benign_benign_133,1,0.784631,0.645591,0.048086
benign_benign_134,1,0.857792,0.750994,0.048213
benign_benign_135,1,0.937684,0.882678,0.216409
benign_benign_136,1,0.869834,0.769651,0.292200
benign_benign_137,1,0.932995,0.874406,0.134811
benign_benign_138,1,0.912837,0.839650,0.062098
benign_benign_139,1,0.956089,0.915873,0.210374
benign_benign_14,1,0.874010,0.776215,0.123423
benign_benign_140,1,0.939504,0.885911,0.983157
benign_benign_141,1,0.812559,0.684294,2.589175
benign_benign_142,1,0.892133,0.805270,0.105950
benign_benign_143,1,0.907442,0.830567,0.051918
benign_benign_144,1,0.858041,0.751377,0.048455
benign_benign_145,1,0.886609,0.796314,0.187516
benign_benign_146,1,0.789855,0.652695,0.061041
benign_benign_147,2,0.897602,0.814226,0.107737
benign_benign_148,1,0.954502,0.912965,0.234936
benign_benign_149,1,0.909932,0.834747,0.225420
benign_benign_15,1,0.959125,0.921459,0.097999
benign_benign_150,1,0.891014,0.803450,0.064056
benign_benign_151,1,0.891491,0.804226,0.074776
benign_benign_152,1,0.877089,0.781084,1.261745
benign_benign_153,1,0.867421,0.765882,0.077657
benign_benign_154,1,0.861187,0.756214,0.075487
benign_benign_155,1,0.898518,0.815735,1.228068
benign_benign_156,2,0.914312,0.842149,0.203083
benign_benign_157,1,0.938004,0.883246,0.237250
benign_benign_158,1,0.956280,0.916223,0.681888
benign_benign_159,1,0.923685,0.858191,0.090530
benign_benign_16,1,0.899166,0.816804,0.064280
benign_benign_160,1,0.899563,0.817460,0.101103
benign_benign_161,1,0.902029,0.821541,0.082418
benign_benign_162,1,0.859720,0.753956,0.048260
benign_benign_163,2,0.857456,0.750479,0.138187
benign_benign_164,1,0.834562,0.716093,0.826058
benign_benign_165,1,0.807832,0.677616,0.058950
benign_benign_166,1,0.908158,0.831766,0.085685
benign_benign_167,1,0.907991,0.831486,0.069713
benign_benign_168,1,0.954892,0.913678,0.247464
benign_benign_169,1,0.938500,0.884126,0.055076
benign_benign_17,1,0.942433,0.891134,0.126012
benign_benign_170,1,0.932062,0.872767,0.259608
benign_benign_171,1,0.801553,0.668826,0.055567
benign_benign_172,1,0.935291,0.878448,0.182851
benign_benign_173,2,0.965399,0.933112,0.820059
benign_benign_174,1,0.933104,0.874597,0.514844
benign_benign_175,1,0.882093,0.789058,0.458187
benign_benign_176,1,0.735311,0.581417,0.121616
benign_benign_177,1,0.941412,0.889309,0.080946
benign_benign_178,1,0.918574,0.849410,0.626890
benign_benign_179,1,0.730492,0.575413,0.045127
benign_benign_18,2,0.929251,0.867852,1.074624
benign_benign_180,1,0.914759,0.842908,0.234528
benign_benign_181,1,0.886932,0.796836,0.580695
benign_benign_182,1,0.879204,0.784447,0.086189
benign_benign_183,2,0.909774,0.834483,0.121343
benign_benign_184,1,0.936693,0.880925,0.437773
benign_benign_185,1,0.879617,0.785105,0.089463
benign_benign_186,1,0.946481,0.898399,0.616808
benign_benign_187,1,0.674078,0.508384,0.155109
benign_benign_188,1,0.854361,0.745751,3.275037
benign_benign_189,1,0.925414,0.861181,0.071803
