case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.001512
volume_41_slice_26,3,0.684211,0.520000,0.000718
volume_41_slice_27,1,0.830287,0.709821,0.000274
volume_41_slice_28,1,0.757620,0.609813,0.000257
volume_41_slice_29,1,0.833130,0.713987,0.000261
volume_41_slice_30,2,0.847525,0.735395,0.000358
volume_41_slice_31,2,0.824725,0.701729,0.000559
volume_41_slice_32,3,0.781104,0.640830,0.000557
volume_41_slice_33,2,0.776596,0.634783,0.000462
volume_41_slice_34,6,0.828798,0.707648,0.000969
volume_41_slice_35,5,0.829465,0.708621,0.000878
volume_41_slice_36,5,0.857807,0.751017,0.000829
volume_41_slice_37,6,0.866953,0.765152,0.001070
volume_41_slice_38,7,0.859581,0.753741,0.001097
volume_41_slice_39,7,0.826087,0.703704,0.001186
volume_41_slice_40,3,0.732221,0.577562,0.000671
volume_41_slice_41,3,0.681790,0.517209,0.000624
volume_41_slice_42,4,0.737349,0.583969,0.000756
volume_41_slice_43,2,0.783789,0.644452,0.000624
volume_41_slice_44,2,0.913760,0.841214,0.000728
volume_41_slice_45,2,0.929850,0.868897,0.000680
volume_41_slice_46,2,0.946984,0.899306,0.000590
volume_41_slice_47,1,0.952953,0.910134,0.000661
volume_41_slice_48,1,0.962874,0.928406,0.000511
volume_41_slice_49,2,0.962091,0.926951,0.000590
volume_41_slice_50,1,0.959842,0.922784,0.000465
volume_41_slice_51,1,0.958010,0.919404,0.000459
volume_41_slice_52,1,0.952362,0.909056,0.000460
volume_41_slice_53,1,0.949801,0.904401,0.000585
volume_41_slice_54,3,0.945935,0.897416,0.000670
volume_41_slice_55,2,0.949585,0.904010,0.000543
volume_41_slice_56,2,0.952635,0.909554,0.000548
volume_41_slice_57,2,0.943015,0.892174,0.000517
volume_41_slice_58,2,0.931829,0.872359,0.000559
volume_41_slice_59,1,0.930077,0.869293,0.000427
volume_41_slice_60,1,0.927855,0.865420,0.000406
volume_41_slice_61,1,0.905437,0.827213,0.000390
volume_41_slice_62,2,0.883558,0.791405,0.000480
volume_41_slice_63,1,0.767885,0.623225,0.000340
volume_41_slice_64,1,0.716751,0.558544,0.000368
volume_41_slice_65,4,0.698727,0.536957,0.000788
volume_41_slice_66,2,0.580272,0.408721,0.000474
volume_41_slice_67,4,0.673111,0.507285,0.000790
volume_41_slice_68,5,0.697959,0.536050,0.000850
volume_41_slice_69,4,0.758881,0.611448,0.000740
volume_41_slice_70,4,0.783632,0.644240,0.000715
volume_41_slice_71,6,0.801596,0.668887,0.000839
volume_41_slice_72,6,0.818584,0.692884,0.000828
volume_41_slice_73,2,0.814629,0.687236,0.000426
volume_41_slice_74,1,0.826299,0.704012,0.000328
volume_41_slice_75,1,0.866005,0.763676,0.000368
volume_41_slice_76,2,0.887560,0.797849,0.000489
volume_41_slice_77,2,0.904251,0.825236,0.000460
volume_41_slice_78,1,0.876746,0.780541,0.000326
volume_41_slice_79,2,0.795987,0.661111,0.000468
volume_41_slice_80,2,0.836601,0.719101,0.000440
volume_41_slice_81,2,0.848547,0.736935,0.000497
volume_41_slice_82,2,0.862335,0.757986,0.000536
volume_41_slice_83,2,0.854754,0.746350,0.000479
volume_41_slice_84,3,0.879109,0.784295,0.000639
volume_41_slice_85,2,0.866142,0.763889,0.000434
volume_41_slice_86,2,0.863926,0.760449,0.000444
volume_41_slice_87,1,0.872146,0.773279,0.000299
volume_41_slice_88,1,0.844848,0.731375,0.000328
volume_41_slice_89,2,0.845910,0.732967,0.000499
volume_41_slice_90,1,0.795668,0.660671,0.000289
volume_41_slice_91,1,0.783373,0.643890,0.000292
volume_41_slice_92,2,0.778667,0.637555,0.000407
volume_41_slice_93,1,0.781784,0.641745,0.000271
volume_41_slice_94,1,0.774634,0.632166,0.000268
volume_41_slice_95,1,0.780639,0.640203,0.000257
volume_41_slice_96,1,0.796199,0.661404,0.000253
volume_41_slice_97,2,0.845384,0.732177,0.000361
volume_41_slice_98,1,0.859172,0.753112,0.000246
volume_41_slice_99,2,0.849673,0.738636,0.000355
volume_41_slice_100,2,0.848214,0.736434,0.000389
volume_41_slice_101,1,0.844595,0.730994,0.000251
volume_41_slice_102,1,0.863544,0.759857,0.000262
volume_41_slice_103,1,0.846890,0.734440,0.000247
volume_41_slice_104,1,0.834356,0.715789,0.000229
volume_41_slice_105,3,0.628205,0.457944,0.000451
volume_41_slice_106,2,0.640000,0.470588,0.000296
volume_41_slice_107,1,0.000000,0.000000,0.000133
volume_185_slice_26,1,0.000000,0.000000,0.000107
volume_185_slice_27,1,0.823529,0.700000,0.000226
volume_185_slice_28,1,0.865979,0.763636,0.000200
volume_185_slice_29,2,0.776978,0.635294,0.000327
volume_185_slice_30,3,0.728972,0.573529,0.000422
volume_185_slice_31,1,0.855670,0.747748,0.000206
volume_185_slice_32,1,0.900000,0.818182,0.000219
volume_185_slice_33,1,0.901639,0.820896,0.000217
volume_185_slice_34,1,0.847107,0.734767,0.000244
volume_185_slice_35,3,0.841986,0.727096,0.000467
volume_185_slice_36,2,0.790476,0.653543,0.000435
volume_185_slice_37,1,0.785832,0.647218,0.000264
volume_185_slice_38,2,0.821012,0.696370,0.000422
volume_185_slice_39,3,0.849255,0.738004,0.000552
volume_185_slice_40,1,0.851467,0.741352,0.000326
volume_185_slice_41,1,0.855662,0.747735,0.000343
volume_185_slice_42,7,0.863525,0.759828,0.001176
