case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000918
volume_41_slice_26,3,0.571429,0.400000,0.001204
volume_41_slice_27,1,0.541516,0.371287,0.000506
volume_41_slice_28,1,0.643137,0.473988,0.000524
volume_41_slice_29,1,0.704581,0.543902,0.000711
volume_41_slice_30,2,0.662577,0.495413,0.000844
volume_41_slice_31,2,0.835386,0.717308,0.000778
volume_41_slice_32,3,0.864175,0.760835,0.000849
volume_41_slice_33,2,0.878475,0.783286,0.000796
volume_41_slice_34,6,0.875817,0.779070,0.001351
volume_41_slice_35,5,0.861342,0.756453,0.001447
volume_41_slice_36,5,0.830189,0.709677,0.001337
volume_41_slice_37,6,0.844237,0.730458,0.001712
volume_41_slice_38,7,0.850168,0.739384,0.002024
volume_41_slice_39,7,0.832816,0.713526,0.002140
volume_41_slice_40,3,0.788618,0.651007,0.001365
volume_41_slice_41,3,0.762348,0.615963,0.001286
volume_41_slice_42,4,0.861622,0.756886,0.001427
volume_41_slice_43,2,0.855953,0.748180,0.001183
volume_41_slice_44,2,0.865300,0.762580,0.001103
volume_41_slice_45,2,0.884145,0.792347,0.000975
volume_41_slice_46,2,0.887760,0.798173,0.000963
volume_41_slice_47,1,0.896582,0.812550,0.000831
volume_41_slice_48,1,0.904741,0.826053,0.000847
volume_41_slice_49,2,0.900150,0.818430,0.001173
volume_41_slice_50,1,0.887500,0.797753,0.000882
volume_41_slice_51,1,0.903499,0.823985,0.000877
volume_41_slice_52,1,0.865053,0.762197,0.000879
volume_41_slice_53,1,0.858287,0.751754,0.000852
volume_41_slice_54,3,0.858445,0.751997,0.001064
volume_41_slice_55,2,0.865483,0.762865,0.000987
volume_41_slice_56,2,0.889100,0.800343,0.000954
volume_41_slice_57,2,0.883047,0.790585,0.000923
volume_41_slice_58,2,0.850510,0.739902,0.000898
volume_41_slice_59,1,0.825119,0.702300,0.000784
volume_41_slice_60,1,0.810411,0.681253,0.000781
volume_41_slice_61,1,0.614876,0.443914,0.000750
volume_41_slice_62,2,0.533671,0.363951,0.000791
volume_41_slice_63,1,0.456873,0.296069,0.000682
volume_41_slice_64,1,0.364983,0.223229,0.000706
volume_41_slice_65,4,0.371097,0.227820,0.001070
volume_41_slice_66,2,0.407494,0.255882,0.000808
volume_41_slice_67,4,0.539823,0.369697,0.001278
volume_41_slice_68,5,0.567676,0.396332,0.001298
volume_41_slice_69,4,0.591760,0.420213,0.001257
volume_41_slice_70,4,0.644753,0.475746,0.001158
volume_41_slice_71,6,0.553252,0.382411,0.001498
volume_41_slice_72,6,0.529496,0.360078,0.001220
volume_41_slice_73,2,0.547573,0.377005,0.000837
volume_41_slice_74,1,0.804889,0.673485,0.000645
volume_41_slice_75,1,0.849096,0.737765,0.000638
volume_41_slice_76,2,0.869919,0.769784,0.000779
volume_41_slice_77,2,0.881245,0.787701,0.000722
volume_41_slice_78,1,0.617162,0.446301,0.000690
volume_41_slice_79,2,0.767110,0.622204,0.000781
volume_41_slice_80,2,0.812146,0.683709,0.000765
volume_41_slice_81,2,0.823725,0.700283,0.001043
volume_41_slice_82,2,0.826956,0.704966,0.001019
volume_41_slice_83,2,0.819429,0.694095,0.001481
volume_41_slice_84,3,0.803695,0.671815,0.001127
volume_41_slice_85,2,0.824079,0.700795,0.000781
volume_41_slice_86,2,0.844048,0.730175,0.000755
volume_41_slice_87,1,0.633381,0.463466,0.000629
volume_41_slice_88,1,0.810269,0.681053,0.000640
volume_41_slice_89,2,0.574383,0.402902,0.000906
volume_41_slice_90,1,0.600505,0.429087,0.000564
volume_41_slice_91,1,0.606846,0.435591,0.000569
volume_41_slice_92,2,0.629146,0.458944,0.000699
volume_41_slice_93,1,0.651805,0.483465,0.000545
volume_41_slice_94,1,0.657328,0.489567,0.000558
volume_41_slice_95,1,0.664407,0.497462,0.000522
volume_41_slice_96,1,0.663540,0.496491,0.000530
volume_41_slice_97,2,0.713392,0.554475,0.000625
volume_41_slice_98,1,0.719251,0.561587,0.000510
volume_41_slice_99,2,0.694362,0.531818,0.000632
volume_41_slice_100,2,0.709459,0.549738,0.000624
volume_41_slice_101,1,0.725869,0.569697,0.000500
volume_41_slice_102,1,0.713287,0.554348,0.000487
volume_41_slice_103,1,0.668571,0.502146,0.000568
volume_41_slice_104,1,0.597610,0.426136,0.000486
volume_41_slice_105,3,0.503817,0.336735,0.000609
volume_41_slice_106,2,0.600000,0.428571,0.000448
volume_41_slice_107,1,0.000000,0.000000,0.000194
volume_185_slice_26,1,0.000000,0.000000,0.000104
volume_185_slice_27,1,0.676056,0.510638,0.000404
volume_185_slice_28,1,0.863158,0.759259,0.000509
volume_185_slice_29,2,0.773723,0.630952,0.000547
volume_185_slice_30,3,0.680000,0.515152,0.000745
volume_185_slice_31,1,0.811429,0.682692,0.000419
volume_185_slice_32,1,0.798246,0.664234,0.000367
volume_185_slice_33,1,0.750000,0.600000,0.000455
volume_185_slice_34,1,0.746544,0.595588,0.000291
volume_185_slice_35,3,0.752022,0.602592,0.000648
volume_185_slice_36,2,0.716981,0.558824,0.000966
volume_185_slice_37,1,0.632692,0.462729,0.000527
volume_185_slice_38,2,0.737670,0.584371,0.000607
volume_185_slice_39,3,0.762774,0.616519,0.000887
volume_185_slice_40,1,0.809316,0.679707,0.000765
volume_185_slice_41,1,0.811297,0.682505,0.000727
volume_185_slice_42,7,0.811454,0.682728,0.001715
