case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000968
volume_41_slice_26,3,0.648649,0.480000,0.000733
volume_41_slice_27,1,0.729412,0.574074,0.000265
volume_41_slice_28,1,0.770519,0.626703,0.000327
volume_41_slice_29,1,0.908333,0.832061,0.000292
volume_41_slice_30,2,0.926659,0.863341,0.000398
volume_41_slice_31,2,0.921722,0.854809,0.000384
volume_41_slice_32,3,0.917165,0.847003,0.000546
volume_41_slice_33,2,0.901198,0.820163,0.000443
volume_41_slice_34,6,0.912863,0.839695,0.000855
volume_41_slice_35,5,0.886091,0.795479,0.000773
volume_41_slice_36,5,0.887453,0.797677,0.000773
volume_41_slice_37,6,0.893918,0.808184,0.000901
volume_41_slice_38,7,0.912988,0.839905,0.001067
volume_41_slice_39,7,0.898279,0.815341,0.001198
volume_41_slice_40,3,0.896924,0.813111,0.000635
volume_41_slice_41,3,0.848226,0.736452,0.000660
volume_41_slice_42,4,0.882323,0.789427,0.000808
volume_41_slice_43,2,0.895578,0.810901,0.000825
volume_41_slice_44,2,0.907868,0.831281,0.000802
volume_41_slice_45,2,0.927334,0.864514,0.000753
volume_41_slice_46,2,0.932127,0.872881,0.000655
volume_41_slice_47,1,0.933521,0.875330,0.000514
volume_41_slice_48,1,0.934795,0.877574,0.000547
volume_41_slice_49,2,0.932343,0.873260,0.000637
volume_41_slice_50,1,0.930041,0.869231,0.000668
volume_41_slice_51,1,0.930701,0.870384,0.000721
volume_41_slice_52,1,0.921224,0.853953,0.000655
volume_41_slice_53,1,0.906020,0.828187,0.000553
volume_41_slice_54,3,0.915116,0.843514,0.000783
volume_41_slice_55,2,0.923817,0.858421,0.000606
volume_41_slice_56,2,0.919214,0.850505,0.000561
volume_41_slice_57,2,0.917150,0.846978,0.000610
volume_41_slice_58,2,0.905258,0.826915,0.000580
volume_41_slice_59,1,0.867046,0.765297,0.000514
volume_41_slice_60,1,0.869851,0.769678,0.000467
volume_41_slice_61,1,0.832526,0.713100,0.000432
volume_41_slice_62,2,0.825205,0.702425,0.000536
volume_41_slice_63,1,0.786433,0.648034,0.000454
volume_41_slice_64,1,0.616923,0.446051,0.000496
volume_41_slice_65,4,0.794313,0.658806,0.000780
volume_41_slice_66,2,0.796540,0.661874,0.000551
volume_41_slice_67,4,0.750663,0.600849,0.000751
volume_41_slice_68,5,0.722283,0.565292,0.000800
volume_41_slice_69,4,0.761069,0.614295,0.000824
volume_41_slice_70,4,0.777728,0.636297,0.000753
volume_41_slice_71,6,0.846594,0.733995,0.001244
volume_41_slice_72,6,0.845309,0.732066,0.000957
volume_41_slice_73,2,0.850255,0.739516,0.000603
volume_41_slice_74,1,0.780376,0.639849,0.000354
volume_41_slice_75,1,0.799405,0.665840,0.000335
volume_41_slice_76,2,0.874062,0.776297,0.000471
volume_41_slice_77,2,0.849802,0.738832,0.000462
volume_41_slice_78,1,0.832454,0.712995,0.000384
volume_41_slice_79,2,0.785128,0.646264,0.000512
volume_41_slice_80,2,0.835836,0.717971,0.000502
volume_41_slice_81,2,0.876098,0.779514,0.000526
volume_41_slice_82,2,0.886920,0.796816,0.000503
volume_41_slice_83,2,0.795918,0.661017,0.000642
volume_41_slice_84,3,0.807263,0.676815,0.000618
volume_41_slice_85,2,0.835393,0.717317,0.000433
volume_41_slice_86,2,0.842597,0.728007,0.000432
volume_41_slice_87,1,0.841229,0.725966,0.000330
volume_41_slice_88,1,0.889118,0.800371,0.000256
volume_41_slice_89,2,0.915056,0.843413,0.000407
volume_41_slice_90,1,0.910256,0.835294,0.000266
volume_41_slice_91,1,0.893557,0.807595,0.000230
volume_41_slice_92,2,0.890454,0.802539,0.000332
volume_41_slice_93,1,0.880952,0.787234,0.000218
volume_41_slice_94,1,0.872822,0.774343,0.000309
volume_41_slice_95,1,0.894545,0.809211,0.000300
volume_41_slice_96,1,0.904894,0.826307,0.000245
volume_41_slice_97,2,0.905051,0.826568,0.000410
volume_41_slice_98,1,0.919565,0.851107,0.000214
volume_41_slice_99,2,0.931573,0.871910,0.000306
volume_41_slice_100,2,0.928668,0.866834,0.000302
volume_41_slice_101,1,0.920060,0.851955,0.000204
volume_41_slice_102,1,0.936248,0.880137,0.000299
volume_41_slice_103,1,0.926724,0.863454,0.000257
volume_41_slice_104,1,0.900804,0.819512,0.000199
volume_41_slice_105,3,0.739726,0.586957,0.000377
volume_41_slice_106,2,0.720930,0.563636,0.000265
volume_41_slice_107,1,0.000000,0.000000,0.000120
volume_185_slice_26,1,0.000000,0.000000,0.000097
volume_185_slice_27,1,0.819277,0.693878,0.000169
volume_185_slice_28,1,0.851064,0.740741,0.000160
volume_185_slice_29,2,0.770370,0.626506,0.000582
volume_185_slice_30,3,0.735849,0.582090,0.000469
volume_185_slice_31,1,0.846154,0.733333,0.000230
volume_185_slice_32,1,0.909091,0.833333,0.000211
volume_185_slice_33,1,0.918635,0.849515,0.000213
volume_185_slice_34,1,0.889292,0.800654,0.000208
volume_185_slice_35,3,0.846847,0.734375,0.000422
volume_185_slice_36,2,0.865046,0.762186,0.000365
volume_185_slice_37,1,0.796193,0.661397,0.000297
volume_185_slice_38,2,0.882421,0.789583,0.000387
volume_185_slice_39,3,0.863441,0.759697,0.000721
volume_185_slice_40,1,0.848195,0.736405,0.000443
volume_185_slice_41,1,0.858159,0.751557,0.000470
volume_185_slice_42,7,0.854850,0.746496,0.001254
