case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.001318
volume_41_slice_26,3,0.000000,0.000000,0.000850
volume_41_slice_27,1,0.384615,0.238095,0.000365
volume_41_slice_28,1,0.380368,0.234848,0.000389
volume_41_slice_29,1,0.307692,0.181818,0.000385
volume_41_slice_30,2,0.636220,0.466513,0.000631
volume_41_slice_31,2,0.599729,0.428295,0.000712
volume_41_slice_32,3,0.864105,0.760726,0.001178
volume_41_slice_33,2,0.844296,0.730548,0.001049
volume_41_slice_34,6,0.815789,0.688889,0.001774
volume_41_slice_35,5,0.739472,0.586636,0.001495
volume_41_slice_36,5,0.718547,0.560729,0.001537
volume_41_slice_37,6,0.760452,0.613491,0.001780
volume_41_slice_38,7,0.825366,0.702658,0.002226
volume_41_slice_39,7,0.770239,0.626332,0.002033
volume_41_slice_40,3,0.771440,0.627922,0.001260
volume_41_slice_41,3,0.806570,0.675842,0.001656
volume_41_slice_42,4,0.823561,0.700046,0.001812
volume_41_slice_43,2,0.808983,0.679237,0.001200
volume_41_slice_44,2,0.876071,0.779472,0.001192
volume_41_slice_45,2,0.884675,0.793200,0.001453
volume_41_slice_46,2,0.760146,0.613093,0.001272
volume_41_slice_47,1,0.756654,0.608563,0.001063
volume_41_slice_48,1,0.760719,0.613839,0.001079
volume_41_slice_49,2,0.759025,0.611636,0.001467
volume_41_slice_50,1,0.775474,0.633285,0.001152
volume_41_slice_51,1,0.901748,0.821076,0.001067
volume_41_slice_52,1,0.906763,0.829429,0.001058
volume_41_slice_53,1,0.901207,0.820179,0.001030
volume_41_slice_54,3,0.894636,0.809359,0.001595
volume_41_slice_55,2,0.891280,0.803883,0.001202
volume_41_slice_56,2,0.914903,0.843154,0.001137
volume_41_slice_57,2,0.843925,0.729991,0.001104
volume_41_slice_58,2,0.817610,0.691489,0.001380
volume_41_slice_59,1,0.805258,0.674001,0.001077
volume_41_slice_60,1,0.856618,0.749196,0.001034
volume_41_slice_61,1,0.825693,0.703132,0.000949
volume_41_slice_62,2,0.846489,0.733837,0.001190
volume_41_slice_63,1,0.783554,0.644133,0.000916
volume_41_slice_64,1,0.603455,0.432105,0.000930
volume_41_slice_65,4,0.559064,0.387987,0.001913
volume_41_slice_66,2,0.565974,0.394675,0.001167
volume_41_slice_67,4,0.777037,0.635373,0.001766
volume_41_slice_68,5,0.695471,0.533121,0.002132
volume_41_slice_69,4,0.659048,0.491477,0.001894
volume_41_slice_70,4,0.644961,0.475973,0.001516
volume_41_slice_71,6,0.653234,0.485039,0.001913
volume_41_slice_72,6,0.735277,0.581374,0.001869
volume_41_slice_73,2,0.795247,0.660091,0.000945
volume_41_slice_74,1,0.789900,0.652756,0.000749
volume_41_slice_75,1,0.813634,0.685821,0.000692
volume_41_slice_76,2,0.699375,0.537722,0.001075
volume_41_slice_77,2,0.835684,0.717747,0.000998
volume_41_slice_78,1,0.766300,0.621139,0.000679
volume_41_slice_79,2,0.741271,0.588905,0.000884
volume_41_slice_80,2,0.739367,0.586504,0.000931
volume_41_slice_81,2,0.828868,0.707750,0.000982
volume_41_slice_82,2,0.832861,0.713592,0.000957
volume_41_slice_83,2,0.831435,0.711501,0.000905
volume_41_slice_84,3,0.788406,0.650718,0.001149
volume_41_slice_85,2,0.783668,0.644289,0.000858
volume_41_slice_86,2,0.816000,0.689189,0.000843
volume_41_slice_87,1,0.817231,0.690947,0.000568
volume_41_slice_88,1,0.849910,0.738994,0.000544
volume_41_slice_89,2,0.794595,0.659193,0.000733
volume_41_slice_90,1,0.824859,0.701923,0.000467
volume_41_slice_91,1,0.846970,0.734560,0.000454
volume_41_slice_92,2,0.823224,0.699558,0.000784
volume_41_slice_93,1,0.827458,0.705696,0.000595
volume_41_slice_94,1,0.752753,0.603531,0.000537
volume_41_slice_95,1,0.747881,0.597293,0.000495
volume_41_slice_96,1,0.768069,0.623468,0.000487
volume_41_slice_97,2,0.849162,0.737864,0.000715
volume_41_slice_98,1,0.840194,0.724426,0.000433
volume_41_slice_99,2,0.852673,0.743182,0.000673
volume_41_slice_100,2,0.875000,0.777778,0.000652
volume_41_slice_101,1,0.872666,0.774096,0.000410
volume_41_slice_102,1,0.794760,0.659420,0.000401
volume_41_slice_103,1,0.761394,0.614719,0.000379
volume_41_slice_104,1,0.783505,0.644068,0.000402
volume_41_slice_105,3,0.492063,0.326316,0.000894
volume_41_slice_106,2,0.000000,0.000000,0.000531
volume_41_slice_107,1,0.000000,0.000000,0.000246
volume_185_slice_26,1,0.000000,0.000000,0.000237
volume_185_slice_27,1,0.000000,0.000000,0.000281
volume_185_slice_28,1,0.000000,0.000000,0.000271
volume_185_slice_29,2,0.461538,0.300000,0.000588
volume_185_slice_30,3,0.352941,0.214286,0.000803
volume_185_slice_31,1,0.708861,0.549020,0.000329
volume_185_slice_32,1,0.636816,0.467153,0.000333
volume_185_slice_33,1,0.794788,0.659459,0.000353
volume_185_slice_34,1,0.725995,0.569853,0.000365
volume_185_slice_35,3,0.793956,0.658314,0.000874
volume_185_slice_36,2,0.715996,0.557627,0.000714
volume_185_slice_37,1,0.701203,0.539886,0.000499
volume_185_slice_38,2,0.798649,0.664792,0.000829
volume_185_slice_39,3,0.786905,0.648675,0.001044
volume_185_slice_40,1,0.738880,0.585892,0.000749
volume_185_slice_41,1,0.703895,0.543085,0.000768
volume_185_slice_42,7,0.740770,0.588273,0.002298
