case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.001403
volume_41_slice_26,3,0.772727,0.629630,0.002052
volume_41_slice_27,1,0.823834,0.700441,0.001179
volume_41_slice_28,1,0.753247,0.604167,0.001062
volume_41_slice_29,1,0.829964,0.709350,0.001051
volume_41_slice_30,2,0.843658,0.729592,0.001467
volume_41_slice_31,2,0.824415,0.701280,0.001615
volume_41_slice_32,3,0.777264,0.635676,0.002006
volume_41_slice_33,2,0.775416,0.633208,0.001527
volume_41_slice_34,6,0.815965,0.689139,0.003267
volume_41_slice_35,5,0.827688,0.706030,0.003681
volume_41_slice_36,5,0.836898,0.719540,0.003200
volume_41_slice_37,6,0.842235,0.727466,0.004033
volume_41_slice_38,7,0.832421,0.712946,0.005091
volume_41_slice_39,7,0.803310,0.671277,0.004653
volume_41_slice_40,3,0.729938,0.574727,0.002798
volume_41_slice_41,3,0.670012,0.503773,0.002726
volume_41_slice_42,4,0.711878,0.552647,0.003273
volume_41_slice_43,2,0.746406,0.595413,0.002444
volume_41_slice_44,2,0.784652,0.645619,0.002332
volume_41_slice_45,2,0.827059,0.705116,0.002400
volume_41_slice_46,2,0.869034,0.768400,0.002287
volume_41_slice_47,1,0.886095,0.795485,0.001847
volume_41_slice_48,1,0.892608,0.806045,0.001816
volume_41_slice_49,2,0.899113,0.816717,0.002165
volume_41_slice_50,1,0.950560,0.905778,0.001801
volume_41_slice_51,1,0.945166,0.896032,0.001796
volume_41_slice_52,1,0.937801,0.882886,0.001784
volume_41_slice_53,1,0.945334,0.896335,0.001929
volume_41_slice_54,3,0.938891,0.884821,0.003067
volume_41_slice_55,2,0.944421,0.894695,0.002353
volume_41_slice_56,2,0.944264,0.894412,0.002240
volume_41_slice_57,2,0.937739,0.882776,0.002182
volume_41_slice_58,2,0.934606,0.877239,0.002110
volume_41_slice_59,1,0.936261,0.880160,0.001662
volume_41_slice_60,1,0.934331,0.876756,0.001645
volume_41_slice_61,1,0.916751,0.846297,0.001631
volume_41_slice_62,2,0.901019,0.819867,0.002044
volume_41_slice_63,1,0.794529,0.659102,0.001502
volume_41_slice_64,1,0.761626,0.615021,0.001476
volume_41_slice_65,4,0.744422,0.592892,0.002918
volume_41_slice_66,2,0.685368,0.521338,0.002041
volume_41_slice_67,4,0.731566,0.576747,0.003295
volume_41_slice_68,5,0.731109,0.576179,0.003645
volume_41_slice_69,4,0.779626,0.638842,0.002937
volume_41_slice_70,4,0.791689,0.655204,0.002640
volume_41_slice_71,6,0.808889,0.679104,0.003522
volume_41_slice_72,6,0.815212,0.688065,0.003143
volume_41_slice_73,2,0.824510,0.701418,0.001699
volume_41_slice_74,1,0.839721,0.723724,0.001269
volume_41_slice_75,1,0.879678,0.785201,0.001261
volume_41_slice_76,2,0.893650,0.807746,0.001695
volume_41_slice_77,2,0.910500,0.835704,0.001914
volume_41_slice_78,1,0.875646,0.778799,0.001334
volume_41_slice_79,2,0.881830,0.788636,0.001687
volume_41_slice_80,2,0.889969,0.801752,0.001682
volume_41_slice_81,2,0.857836,0.751062,0.002493
volume_41_slice_82,2,0.842319,0.727592,0.002258
volume_41_slice_83,2,0.867111,0.765399,0.002300
volume_41_slice_84,3,0.872984,0.774597,0.002666
volume_41_slice_85,2,0.866450,0.764368,0.001842
volume_41_slice_86,2,0.867429,0.765893,0.001736
volume_41_slice_87,1,0.872626,0.774034,0.001257
volume_41_slice_88,1,0.867429,0.765893,0.001189
volume_41_slice_89,2,0.842170,0.727370,0.001825
volume_41_slice_90,1,0.811493,0.682783,0.001095
volume_41_slice_91,1,0.792779,0.656697,0.001048
volume_41_slice_92,2,0.790252,0.653237,0.001496
volume_41_slice_93,1,0.792943,0.656923,0.000948
volume_41_slice_94,1,0.781631,0.641538,0.001010
volume_41_slice_95,1,0.781563,0.641447,0.000967
volume_41_slice_96,1,0.802482,0.670121,0.000967
volume_41_slice_97,2,0.853738,0.744802,0.001342
volume_41_slice_98,1,0.864740,0.761711,0.000910
volume_41_slice_99,2,0.867788,0.766454,0.001305
volume_41_slice_100,2,0.845272,0.732010,0.001286
volume_41_slice_101,1,0.836834,0.719444,0.000922
volume_41_slice_102,1,0.853974,0.745161,0.000908
volume_41_slice_103,1,0.835886,0.718045,0.000880
volume_41_slice_104,1,0.798883,0.665116,0.000857
volume_41_slice_105,3,0.574468,0.402985,0.001624
volume_41_slice_106,2,0.636364,0.466667,0.001160
volume_41_slice_107,1,0.000000,0.000000,0.000538
volume_185_slice_26,1,0.000000,0.000000,0.000440
volume_185_slice_27,1,0.804598,0.673077,0.000762
volume_185_slice_28,1,0.857143,0.750000,0.000748
volume_185_slice_29,2,0.765957,0.620690,0.001207
volume_185_slice_30,3,0.790698,0.653846,0.001772
volume_185_slice_31,1,0.869159,0.768595,0.000786
volume_185_slice_32,1,0.913495,0.840764,0.000749
volume_185_slice_33,1,0.875949,0.779279,0.000926
volume_185_slice_34,1,0.852273,0.742574,0.000742
volume_185_slice_35,3,0.817048,0.690685,0.001813
volume_185_slice_36,2,0.792028,0.655667,0.001639
volume_185_slice_37,1,0.803753,0.671895,0.001107
volume_185_slice_38,2,0.857143,0.750000,0.001641
volume_185_slice_39,3,0.855326,0.747222,0.002391
volume_185_slice_40,1,0.835509,0.717489,0.001446
volume_185_slice_41,1,0.852792,0.743363,0.001493
volume_185_slice_42,7,0.862234,0.757831,0.004412
