case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000988
volume_41_slice_26,3,0.684211,0.520000,0.000974
volume_41_slice_27,1,0.830287,0.709821,0.000254
volume_41_slice_28,1,0.757620,0.609813,0.000271
volume_41_slice_29,1,0.833130,0.713987,0.000329
volume_41_slice_30,2,0.847525,0.735395,0.000393
volume_41_slice_31,2,0.824725,0.701729,0.000485
volume_41_slice_32,3,0.781104,0.640830,0.000521
volume_41_slice_33,2,0.776596,0.634783,0.000660
volume_41_slice_34,6,0.828798,0.707648,0.001127
volume_41_slice_35,5,0.829465,0.708621,0.000973
volume_41_slice_36,5,0.857807,0.751017,0.001148
volume_41_slice_37,6,0.866953,0.765152,0.001354
volume_41_slice_38,7,0.859581,0.753741,0.001394
volume_41_slice_39,7,0.826087,0.703704,0.001198
volume_41_slice_40,3,0.732221,0.577562,0.000636
volume_41_slice_41,3,0.681790,0.517209,0.000641
volume_41_slice_42,4,0.737349,0.583969,0.000798
volume_41_slice_43,2,0.783789,0.644452,0.000590
volume_41_slice_44,2,0.913760,0.841214,0.000715
volume_41_slice_45,2,0.929850,0.868897,0.000674
volume_41_slice_46,2,0.946984,0.899306,0.000706
volume_41_slice_47,1,0.952953,0.910134,0.000584
volume_41_slice_48,1,0.962874,0.928406,0.000559
volume_41_slice_49,2,0.962091,0.926951,0.000667
volume_41_slice_50,1,0.959842,0.922784,0.000530
volume_41_slice_51,1,0.958010,0.919404,0.000498
volume_41_slice_52,1,0.952362,0.909056,0.000496
volume_41_slice_53,1,0.949801,0.904401,0.000485
volume_41_slice_54,3,0.945935,0.897416,0.000701
volume_41_slice_55,2,0.949585,0.904010,0.000660
volume_41_slice_56,2,0.952635,0.909554,0.000579
volume_41_slice_57,2,0.943015,0.892174,0.000518
volume_41_slice_58,2,0.931829,0.872359,0.000699
volume_41_slice_59,1,0.930077,0.869293,0.000441
volume_41_slice_60,1,0.927855,0.865420,0.000564
volume_41_slice_61,1,0.905437,0.827213,0.000426
volume_41_slice_62,2,0.883558,0.791405,0.000521
volume_41_slice_63,1,0.767885,0.623225,0.000386
volume_41_slice_64,1,0.716751,0.558544,0.000372
volume_41_slice_65,4,0.698727,0.536957,0.000762
volume_41_slice_66,2,0.580272,0.408721,0.000487
volume_41_slice_67,4,0.673111,0.507285,0.000857
volume_41_slice_68,5,0.697959,0.536050,0.000913
volume_41_slice_69,4,0.758881,0.611448,0.000827
volume_41_slice_70,4,0.783632,0.644240,0.000890
volume_41_slice_71,6,0.801596,0.668887,0.000898
volume_41_slice_72,6,0.818584,0.692884,0.000894
volume_41_slice_73,2,0.814629,0.687236,0.000470
volume_41_slice_74,1,0.826299,0.704012,0.000347
volume_41_slice_75,1,0.866005,0.763676,0.000323
volume_41_slice_76,2,0.887560,0.797849,0.000474
volume_41_slice_77,2,0.904251,0.825236,0.000446
volume_41_slice_78,1,0.876746,0.780541,0.000425
volume_41_slice_79,2,0.795987,0.661111,0.000496
volume_41_slice_80,2,0.836601,0.719101,0.000452
volume_41_slice_81,2,0.848547,0.736935,0.000488
volume_41_slice_82,2,0.862335,0.757986,0.000522
volume_41_slice_83,2,0.854754,0.746350,0.000837
volume_41_slice_84,3,0.879109,0.784295,0.000702
volume_41_slice_85,2,0.866142,0.763889,0.000627
volume_41_slice_86,2,0.863926,0.760449,0.000513
volume_41_slice_87,1,0.872146,0.773279,0.000315
volume_41_slice_88,1,0.844848,0.731375,0.000445
volume_41_slice_89,2,0.845910,0.732967,0.000579
volume_41_slice_90,1,0.795668,0.660671,0.000355
volume_41_slice_91,1,0.783373,0.643890,0.000460
volume_41_slice_92,2,0.778667,0.637555,0.000472
volume_41_slice_93,1,0.781784,0.641745,0.000262
volume_41_slice_94,1,0.774634,0.632166,0.000253
volume_41_slice_95,1,0.780639,0.640203,0.000243
volume_41_slice_96,1,0.796199,0.661404,0.000246
volume_41_slice_97,2,0.845384,0.732177,0.000336
volume_41_slice_98,1,0.859172,0.753112,0.000343
volume_41_slice_99,2,0.849673,0.738636,0.000411
volume_41_slice_100,2,0.848214,0.736434,0.000352
volume_41_slice_101,1,0.844595,0.730994,0.000240
volume_41_slice_102,1,0.863544,0.759857,0.000232
volume_41_slice_103,1,0.846890,0.734440,0.000226
volume_41_slice_104,1,0.834356,0.715789,0.000219
volume_41_slice_105,3,0.628205,0.457944,0.000442
volume_41_slice_106,2,0.640000,0.470588,0.000301
volume_41_slice_107,1,0.000000,0.000000,0.000147
volume_185_slice_26,1,0.000000,0.000000,0.000107
volume_185_slice_27,1,0.823529,0.700000,0.000200
volume_185_slice_28,1,0.865979,0.763636,0.000194
volume_185_slice_29,2,0.776978,0.635294,0.000339
volume_185_slice_30,3,0.728972,0.573529,0.000437
volume_185_slice_31,1,0.855670,0.747748,0.000216
volume_185_slice_32,1,0.900000,0.818182,0.000218
volume_185_slice_33,1,0.901639,0.820896,0.000227
volume_185_slice_34,1,0.847107,0.734767,0.000228
volume_185_slice_35,3,0.841986,0.727096,0.000442
volume_185_slice_36,2,0.790476,0.653543,0.000425
volume_185_slice_37,1,0.785832,0.647218,0.000330
volume_185_slice_38,2,0.821012,0.696370,0.000441
volume_185_slice_39,3,0.849255,0.738004,0.000605
volume_185_slice_40,1,0.851467,0.741352,0.000343
volume_185_slice_41,1,0.855662,0.747735,0.000401
volume_185_slice_42,7,0.863525,0.759828,0.001182
