case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.002055
volume_41_slice_26,3,0.710526,0.551020,0.002783
volume_41_slice_27,1,0.792023,0.655660,0.001655
volume_41_slice_28,1,0.654611,0.486559,0.001821
volume_41_slice_29,1,0.813433,0.685535,0.002018
volume_41_slice_30,2,0.770386,0.626527,0.002387
volume_41_slice_31,2,0.788411,0.650725,0.003358
volume_41_slice_32,3,0.779315,0.638425,0.002550
volume_41_slice_33,2,0.769906,0.625892,0.003415
volume_41_slice_34,6,0.816951,0.690547,0.004957
volume_41_slice_35,5,0.794466,0.659016,0.005647
volume_41_slice_36,5,0.803489,0.671527,0.006171
volume_41_slice_37,6,0.830303,0.709845,0.008597
volume_41_slice_38,7,0.830204,0.709699,0.007809
volume_41_slice_39,7,0.814585,0.687174,0.009413
volume_41_slice_40,3,0.705882,0.545455,0.005589
volume_41_slice_41,3,0.675952,0.510520,0.005957
volume_41_slice_42,4,0.702302,0.541191,0.005845
volume_41_slice_43,2,0.737846,0.584593,0.005921
volume_41_slice_44,2,0.728426,0.572853,0.005942
volume_41_slice_45,2,0.725675,0.569459,0.005871
volume_41_slice_46,2,0.737395,0.584027,0.007138
volume_41_slice_47,1,0.756465,0.608318,0.006629
volume_41_slice_48,1,0.800880,0.667890,0.006799
volume_41_slice_49,2,0.830828,0.710613,0.005930
volume_41_slice_50,1,0.808173,0.678096,0.006655
volume_41_slice_51,1,0.882603,0.789874,0.006369
volume_41_slice_52,1,0.882040,0.788973,0.006707
volume_41_slice_53,1,0.877310,0.781435,0.006553
volume_41_slice_54,3,0.850064,0.739228,0.006609
volume_41_slice_55,2,0.850701,0.740191,0.006727
volume_41_slice_56,2,0.878893,0.783951,0.006810
volume_41_slice_57,2,0.883162,0.790770,0.006199
volume_41_slice_58,2,0.877269,0.781371,0.005748
volume_41_slice_59,1,0.854172,0.745463,0.005660
volume_41_slice_60,1,0.840838,0.725384,0.004606
volume_41_slice_61,1,0.820163,0.695150,0.004408
volume_41_slice_62,2,0.808768,0.678935,0.004299
volume_41_slice_63,1,0.801390,0.668599,0.004544
volume_41_slice_64,1,0.806870,0.676263,0.004311
volume_41_slice_65,4,0.815789,0.688889,0.005700
volume_41_slice_66,2,0.782715,0.643001,0.004416
volume_41_slice_67,4,0.767652,0.622918,0.005853
volume_41_slice_68,5,0.751869,0.602396,0.005998
volume_41_slice_69,4,0.783741,0.644387,0.006463
volume_41_slice_70,4,0.757080,0.609114,0.006075
volume_41_slice_71,6,0.788169,0.650395,0.005078
volume_41_slice_72,6,0.823694,0.700238,0.005263
volume_41_slice_73,2,0.834610,0.716164,0.004303
volume_41_slice_74,1,0.840257,0.724520,0.003162
volume_41_slice_75,1,0.873501,0.775412,0.003690
volume_41_slice_76,2,0.884195,0.792427,0.004455
volume_41_slice_77,2,0.902883,0.822960,0.003470
volume_41_slice_78,1,0.854206,0.745515,0.003248
volume_41_slice_79,2,0.816978,0.690586,0.004423
volume_41_slice_80,2,0.822656,0.698739,0.003580
volume_41_slice_81,2,0.800715,0.667660,0.004388
volume_41_slice_82,2,0.808101,0.677995,0.004104
volume_41_slice_83,2,0.816435,0.689811,0.004254
volume_41_slice_84,3,0.807811,0.677586,0.005075
volume_41_slice_85,2,0.809126,0.679439,0.003263
volume_41_slice_86,2,0.822353,0.698302,0.003996
volume_41_slice_87,1,0.815411,0.688350,0.002527
volume_41_slice_88,1,0.805054,0.673716,0.003223
volume_41_slice_89,2,0.787391,0.649336,0.003275
volume_41_slice_90,1,0.770774,0.627040,0.001977
volume_41_slice_91,1,0.726837,0.570891,0.002274
volume_41_slice_92,2,0.735450,0.581590,0.002586
volume_41_slice_93,1,0.728489,0.572932,0.001876
volume_41_slice_94,1,0.773157,0.630200,0.002253
volume_41_slice_95,1,0.747881,0.597293,0.001966
volume_41_slice_96,1,0.771214,0.627622,0.002017
volume_41_slice_97,2,0.771056,0.627413,0.002193
volume_41_slice_98,1,0.775819,0.633745,0.002059
volume_41_slice_99,2,0.772414,0.629213,0.001994
volume_41_slice_100,2,0.757862,0.610127,0.001915
volume_41_slice_101,1,0.763251,0.617143,0.001708
volume_41_slice_102,1,0.782979,0.643357,0.001554
volume_41_slice_103,1,0.771144,0.627530,0.001455
volume_41_slice_104,1,0.731861,0.577114,0.001445
volume_41_slice_105,3,0.670213,0.504000,0.002380
volume_41_slice_106,2,0.575342,0.403846,0.001265
volume_41_slice_107,1,0.000000,0.000000,0.000832
volume_185_slice_26,1,0.000000,0.000000,0.000142
volume_185_slice_27,1,0.833333,0.714286,0.001178
volume_185_slice_28,1,0.857143,0.750000,0.001168
volume_185_slice_29,2,0.746269,0.595238,0.001843
volume_185_slice_30,3,0.735849,0.582090,0.002156
volume_185_slice_31,1,0.890000,0.801802,0.001331
volume_185_slice_32,1,0.875000,0.777778,0.001446
volume_185_slice_33,1,0.868633,0.767773,0.001697
volume_185_slice_34,1,0.836292,0.718644,0.001664
volume_185_slice_35,3,0.803298,0.671260,0.002051
volume_185_slice_36,2,0.767018,0.622084,0.003020
volume_185_slice_37,1,0.793388,0.657534,0.002420
volume_185_slice_38,2,0.800499,0.667360,0.002625
volume_185_slice_39,3,0.819637,0.694394,0.004025
volume_185_slice_40,1,0.827388,0.705594,0.003274
volume_185_slice_41,1,0.864885,0.761935,0.003101
volume_185_slice_42,7,0.860968,0.755877,0.006673
