case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000622
volume_41_slice_26,3,0.000000,0.000000,0.022393
volume_41_slice_27,1,0.830287,0.709821,0.016756
volume_41_slice_28,1,0.760116,0.613054,0.017105
volume_41_slice_29,1,0.840336,0.724638,0.017387
volume_41_slice_30,2,0.846154,0.733333,0.017793
volume_41_slice_31,2,0.021918,0.011080,0.033067
volume_41_slice_32,3,0.784392,0.645267,0.020871
volume_41_slice_33,2,0.784884,0.645933,0.034251
volume_41_slice_34,6,0.804585,0.673059,0.049244
volume_41_slice_35,5,0.795466,0.660393,0.055242
volume_41_slice_36,5,0.789878,0.652726,0.069860
volume_41_slice_37,6,0.833402,0.714386,0.099170
volume_41_slice_38,7,0.802009,0.669461,0.082584
volume_41_slice_39,7,0.788950,0.651459,0.075319
volume_41_slice_40,3,0.714571,0.555901,0.041071
volume_41_slice_41,3,0.672705,0.506824,0.043541
volume_41_slice_42,4,0.709516,0.549806,0.043866
volume_41_slice_43,2,0.745185,0.593861,0.042516
volume_41_slice_44,2,0.760827,0.613980,0.031391
volume_41_slice_45,2,0.783692,0.644320,0.032083
volume_41_slice_46,2,0.827983,0.706460,0.030229
volume_41_slice_47,1,0.934687,0.877382,0.031708
volume_41_slice_48,1,0.947935,0.901023,0.035819
volume_41_slice_49,2,0.950499,0.905667,0.033163
volume_41_slice_50,1,0.954231,0.912468,0.034412
volume_41_slice_51,1,0.954172,0.912360,0.032436
volume_41_slice_52,1,0.949029,0.903001,0.033760
volume_41_slice_53,1,0.950782,0.906182,0.033624
volume_41_slice_54,3,0.942902,0.891972,0.036862
volume_41_slice_55,2,0.947390,0.900039,0.032824
volume_41_slice_56,2,0.013329,0.006709,0.030696
volume_41_slice_57,2,0.951991,0.908380,0.026273
volume_41_slice_58,2,0.929026,0.867459,0.025522
volume_41_slice_59,1,0.924261,0.859186,0.025134
volume_41_slice_60,1,0.918065,0.848540,0.025168
volume_41_slice_61,1,0.892515,0.805893,0.025092
volume_41_slice_62,2,0.868973,0.768304,0.037794
volume_41_slice_63,1,0.858594,0.752226,0.014859
volume_41_slice_64,1,0.847210,0.734921,0.013430
volume_41_slice_65,4,0.847259,0.734995,0.043874
volume_41_slice_66,2,0.798455,0.664523,0.013049
volume_41_slice_67,4,0.821192,0.696629,0.019101
volume_41_slice_68,5,0.833196,0.714085,0.018176
volume_41_slice_69,4,0.829084,0.708065,0.021665
volume_41_slice_70,4,0.861055,0.756011,0.020679
volume_41_slice_71,6,0.890127,0.802007,0.030038
volume_41_slice_72,6,0.870637,0.770909,0.028791
volume_41_slice_73,2,0.870835,0.771221,0.023698
volume_41_slice_74,1,0.883587,0.791452,0.012119
volume_41_slice_75,1,0.905660,0.827586,0.013930
volume_41_slice_76,2,0.911299,0.837052,0.031341
volume_41_slice_77,2,0.924395,0.859418,0.018718
volume_41_slice_78,1,0.890160,0.802062,0.009835
volume_41_slice_79,2,0.890052,0.801887,0.027764
volume_41_slice_80,2,0.891983,0.805027,0.019225
volume_41_slice_81,2,0.824705,0.701700,0.026274
volume_41_slice_82,2,0.871345,0.772021,0.026479
volume_41_slice_83,2,0.887074,0.797064,0.026536
volume_41_slice_84,3,0.894587,0.809278,0.035115
volume_41_slice_85,2,0.892374,0.805664,0.024069
volume_41_slice_86,2,0.881452,0.788032,0.031912
volume_41_slice_87,1,0.875210,0.778109,0.017110
volume_41_slice_88,1,0.867903,0.766633,0.013999
volume_41_slice_89,2,0.825193,0.702407,0.030367
volume_41_slice_90,1,0.752060,0.602641,0.021158
volume_41_slice_91,1,0.789515,0.652231,0.021090
volume_41_slice_92,2,0.790861,0.654070,0.037204
volume_41_slice_93,1,0.786453,0.648062,0.021295
volume_41_slice_94,1,0.780583,0.640127,0.020661
volume_41_slice_95,1,0.802432,0.670051,0.017880
volume_41_slice_96,1,0.811262,0.682456,0.011414
volume_41_slice_97,2,0.869848,0.769674,0.020099
volume_41_slice_98,1,0.842359,0.727651,0.019589
volume_41_slice_99,2,0.857881,0.751131,0.018605
volume_41_slice_100,2,0.847407,0.735219,0.017625
volume_41_slice_101,1,0.873977,0.776163,0.016956
volume_41_slice_102,1,0.882883,0.790323,0.007128
volume_41_slice_103,1,0.872017,0.773077,0.008276
volume_41_slice_104,1,0.831025,0.710900,0.006148
volume_41_slice_105,3,0.664062,0.497076,0.028575
volume_41_slice_106,2,0.000000,0.000000,0.010679
volume_41_slice_107,1,0.000000,0.000000,0.014478
volume_185_slice_26,1,0.000000,0.000000,0.000247
volume_185_slice_27,1,0.843373,0.729167,0.015237
volume_185_slice_28,1,0.875000,0.777778,0.015166
volume_185_slice_29,2,0.765957,0.620690,0.036600
volume_185_slice_30,3,0.790698,0.653846,0.035356
volume_185_slice_31,1,0.837004,0.719697,0.006635
volume_185_slice_32,1,0.035714,0.018182,0.006216
volume_185_slice_33,1,0.890511,0.802632,0.009578
volume_185_slice_34,1,0.872305,0.773529,0.009729
volume_185_slice_35,3,0.822134,0.697987,0.020964
volume_185_slice_36,2,0.804330,0.672702,0.019021
volume_185_slice_37,1,0.803089,0.670968,0.021538
volume_185_slice_38,2,0.849057,0.737705,0.006755
volume_185_slice_39,3,0.834715,0.716319,0.046404
volume_185_slice_40,1,0.835532,0.717523,0.017821
volume_185_slice_41,1,0.844480,0.730822,0.024602
volume_185_slice_42,7,0.853940,0.745110,0.060836
