case_id,n_boxes,dice,iou,runtime_s
volume_41_slice_25,1,0.000000,0.000000,0.000342
volume_41_slice_26,3,0.625000,0.454545,0.029221
volume_41_slice_27,1,0.607692,0.436464,0.032162
volume_41_slice_28,1,0.790941,0.654179,0.033365
volume_41_slice_29,1,0.822602,0.698661,0.036994
volume_41_slice_30,2,0.851964,0.742105,0.037314
volume_41_slice_31,2,0.823325,0.699704,0.071743
volume_41_slice_32,3,0.787220,0.649103,0.046713
volume_41_slice_33,2,0.762774,0.616519,0.071181
volume_41_slice_34,6,0.790378,0.653409,0.101758
volume_41_slice_35,5,0.795243,0.660086,0.138250
volume_41_slice_36,5,0.799052,0.665351,0.116092
volume_41_slice_37,6,0.799147,0.665483,0.140337
volume_41_slice_38,7,0.759145,0.611792,0.145526
volume_41_slice_39,7,0.823254,0.699602,0.144106
volume_41_slice_40,3,0.644892,0.475897,0.108716
volume_41_slice_41,3,0.664437,0.497495,0.088431
volume_41_slice_42,4,0.694556,0.532045,0.113277
volume_41_slice_43,2,0.735118,0.581176,0.127185
volume_41_slice_44,2,0.774000,0.631321,0.105203
volume_41_slice_45,2,0.769684,0.625599,0.108840
volume_41_slice_46,2,0.792546,0.656377,0.109241
volume_41_slice_47,1,0.835071,0.716842,0.111617
volume_41_slice_48,1,0.785270,0.646456,0.110790
volume_41_slice_49,2,0.787609,0.649633,0.118825
volume_41_slice_50,1,0.786105,0.647590,0.112877
volume_41_slice_51,1,0.773659,0.630867,0.111789
volume_41_slice_52,1,0.776463,0.634605,0.113375
volume_41_slice_53,1,0.784055,0.644812,0.114649
volume_41_slice_54,3,0.789116,0.651685,0.106403
volume_41_slice_55,2,0.788757,0.651196,0.104361
volume_41_slice_56,2,0.787390,0.649335,0.099975
volume_41_slice_57,2,0.802019,0.669476,0.080670
volume_41_slice_58,2,0.892166,0.805324,0.084178
volume_41_slice_59,1,0.879739,0.785299,0.083333
volume_41_slice_60,1,0.870516,0.770719,0.091398
volume_41_slice_61,1,0.864640,0.761555,0.091003
volume_41_slice_62,2,0.793012,0.657018,0.088605
volume_41_slice_63,1,0.775156,0.632861,0.088278
volume_41_slice_64,1,0.778761,0.637681,0.086911
volume_41_slice_65,4,0.770111,0.626164,0.086242
volume_41_slice_66,2,0.802813,0.670582,0.079880
volume_41_slice_67,4,0.624058,0.453550,0.100513
volume_41_slice_68,5,0.594318,0.422797,0.104123
volume_41_slice_69,4,0.646498,0.477648,0.128061
volume_41_slice_70,4,0.552688,0.381872,0.101760
volume_41_slice_71,6,0.560101,0.388986,0.102707
volume_41_slice_72,6,0.599465,0.428026,0.073029
volume_41_slice_73,2,0.657904,0.490207,0.102855
volume_41_slice_74,1,0.645735,0.476815,0.077903
volume_41_slice_75,1,0.690358,0.527135,0.075965
volume_41_slice_76,2,0.731882,0.577140,0.104362
volume_41_slice_77,2,0.740654,0.588125,0.075009
volume_41_slice_78,1,0.750875,0.601121,0.076163
volume_41_slice_79,2,0.660405,0.492989,0.073622
volume_41_slice_80,2,0.634454,0.464615,0.068973
volume_41_slice_81,2,0.664592,0.497670,0.098235
volume_41_slice_82,2,0.652935,0.484709,0.095988
volume_41_slice_83,2,0.681031,0.516336,0.091967
volume_41_slice_84,3,0.723264,0.566494,0.086531
volume_41_slice_85,2,0.731903,0.577167,0.055325
volume_41_slice_86,2,0.803855,0.672038,0.090554
volume_41_slice_87,1,0.786530,0.648166,0.062416
volume_41_slice_88,1,0.751142,0.601463,0.059299
volume_41_slice_89,2,0.719776,0.562227,0.083232
volume_41_slice_90,1,0.729851,0.574618,0.052683
volume_41_slice_91,1,0.734891,0.580892,0.049140
volume_41_slice_92,2,0.738568,0.585499,0.050507
volume_41_slice_93,1,0.744444,0.592920,0.049809
volume_41_slice_94,1,0.717217,0.559110,0.049752
volume_41_slice_95,1,0.736842,0.583333,0.040916
volume_41_slice_96,1,0.751357,0.601739,0.037942
volume_41_slice_97,2,0.801394,0.668605,0.036930
volume_41_slice_98,1,0.781170,0.640919,0.039031
volume_41_slice_99,2,0.787879,0.650000,0.035494
volume_41_slice_100,2,0.819315,0.693931,0.037560
volume_41_slice_101,1,0.812392,0.684058,0.035965
volume_41_slice_102,1,0.867188,0.765517,0.033600
volume_41_slice_103,1,0.787286,0.649194,0.033511
volume_41_slice_104,1,0.747664,0.597015,0.032642
volume_41_slice_105,3,0.627451,0.457143,0.031576
volume_41_slice_106,2,0.611765,0.440678,0.028114
volume_41_slice_107,1,0.000000,0.000000,0.028461
volume_185_slice_26,1,0.000000,0.000000,0.000146
volume_185_slice_27,1,0.417910,0.264151,0.033050
volume_185_slice_28,1,0.467532,0.305085,0.032785
volume_185_slice_29,2,0.660714,0.493333,0.032580
volume_185_slice_30,3,0.400000,0.250000,0.059913
volume_185_slice_31,1,0.780702,0.640288,0.028939
volume_185_slice_32,1,0.868327,0.767296,0.029888
volume_185_slice_33,1,0.851765,0.741803,0.030046
volume_185_slice_34,1,0.860558,0.755245,0.031094
volume_185_slice_35,3,0.813483,0.685606,0.036452
volume_185_slice_36,2,0.782768,0.643072,0.066668
volume_185_slice_37,1,0.607898,0.436677,0.047000
volume_185_slice_38,2,0.784362,0.645226,0.049197
volume_185_slice_39,3,0.797796,0.663611,0.078231
volume_185_slice_40,1,0.645766,0.476850,0.063043
volume_185_slice_41,1,0.799707,0.666259,0.068880
volume_185_slice_42,7,0.846797,0.734300,0.145338
