epoch,train_loss,val_loss,val_dice,val_iou,lr
1,0.395547,0.385219,0.880399,0.791309,0.00100000
2,0.310614,0.349778,0.892857,0.810829,0.00100000
3,0.286115,0.329999,0.898704,0.820164,0.00100000
4,0.277368,0.311223,0.893414,0.815074,0.00100000
5,0.275080,0.334503,0.897099,0.817493,0.00100000
6,0.262317,0.270374,0.913859,0.845720,0.00100000
7,0.250872,0.264452,0.916508,0.850040,0.00100000
8,0.237119,0.269828,0.910733,0.841101,0.00100000
9,0.217699,0.269153,0.921446,0.857840,0.00100000
10,0.207024,0.264638,0.923445,0.861360,0.00100000
11,0.201863,0.257689,0.927764,0.868527,0.00100000
12,0.192843,0.249774,0.927311,0.867456,0.00100000
13,0.181105,0.247153,0.929437,0.871103,0.00100000
14,0.175802,0.255653,0.925817,0.865513,0.00100000
15,0.172752,0.261488,0.924761,0.864038,0.00100000
16,0.165559,0.265560,0.927377,0.867991,0.00100000
17,0.158301,0.262584,0.927121,0.868066,0.00100000
18,0.148428,0.269335,0.927425,0.868036,0.00100000
19,0.148962,0.258818,0.930155,0.872633,0.00100000
20,0.143026,0.284793,0.926030,0.865527,0.00100000
