epoch,train_loss,val_loss,val_dice,val_iou,lr
1,0.465977,0.455126,0.864471,0.774410,0.00100000
2,0.322530,0.452107,0.856638,0.761911,0.00100000
3,0.297726,0.315500,0.905146,0.830912,0.00100000
4,0.281411,0.371316,0.889657,0.806142,0.00100000
5,0.278714,0.262689,0.917475,0.850897,0.00100000
6,0.259987,0.281345,0.911267,0.841510,0.00100000
7,0.254469,0.276944,0.915372,0.847289,0.00100000
8,0.241357,0.262488,0.917320,0.850623,0.00100000
9,0.225880,0.286826,0.915602,0.847919,0.00100000
10,0.218311,0.250653,0.924145,0.862294,0.00100000
11,0.210564,0.245281,0.922555,0.860209,0.00100000
12,0.198742,0.250756,0.924636,0.863084,0.00100000
13,0.193249,0.273604,0.920028,0.855901,0.00100000
14,0.193890,0.253834,0.924939,0.863813,0.00100000
15,0.183523,0.279535,0.918217,0.852959,0.00100000
16,0.174104,0.265835,0.925570,0.865021,0.00100000
17,0.164029,0.248850,0.930287,0.872956,0.00100000
18,0.163646,0.245176,0.930112,0.872393,0.00100000
19,0.163458,0.264649,0.928546,0.869820,0.00100000
20,0.152851,0.272068,0.926498,0.866979,0.00100000
