epoch,train_loss,val_loss,val_dice,val_iou,lr
1,0.402953,0.357903,0.869875,0.788786,0.00100000
2,0.338783,0.335813,0.872678,0.793076,0.00100000
3,0.323226,0.325078,0.875039,0.796593,0.00100000
4,0.314392,0.323477,0.876998,0.798758,0.00100000
5,0.306564,0.307127,0.880717,0.804813,0.00100000
6,0.302831,0.304945,0.880106,0.804413,0.00100000
7,0.296358,0.303494,0.881857,0.806268,0.00100000
8,0.290832,0.297409,0.885578,0.811697,0.00100000
9,0.285833,0.297506,0.887532,0.814491,0.00100000
10,0.279298,0.292277,0.885609,0.812240,0.00100000
11,0.273133,0.288164,0.887516,0.814816,0.00100000
12,0.266057,0.290071,0.887432,0.815129,0.00100000
13,0.258768,0.288721,0.888849,0.817204,0.00100000
14,0.251265,0.289917,0.885353,0.812511,0.00100000
15,0.242772,0.287947,0.891149,0.820577,0.00100000
16,0.234810,0.292132,0.886044,0.814014,0.00100000
17,0.225910,0.285840,0.888627,0.817604,0.00100000
18,0.217166,0.294327,0.888368,0.817408,0.00100000
19,0.208595,0.305482,0.886338,0.814934,0.00100000
20,0.198764,0.306975,0.882895,0.810606,0.00100000
